Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,PDN,PDN,PDN,PDN,PDN,PDN,PDN,PDN,PDN,PDN,PDN,PDN
date,,,,,,,,,,,,
2010-07-15,7.05,0.0,0.0,42.3,42.3,42.3,42.3,0,0,0,0,0
2010-07-16,7.05,0.0,0.0,42.3,42.3,42.3,42.3,0,0,0,0,0
2010-07-19,6.67,-2.3,-5.44,40.0,40.0,40.0,40.0,40000000,0,1000,0,1000
2010-07-20,6.67,0.0,0.0,40.0,40.0,40.0,40.0,80000000,0,2000,0,2000
2010-07-21,6.67,0.0,0.0,40.0,40.0,40.0,40.0,0,0,0,0,0
2010-07-22,6.67,0.0,0.0,40.0,40.0,40.0,40.0,44000000,0,1100,0,1100
2010-07-23,6.67,0.0,0.0,40.0,40.0,40.0,40.0,0,0,0,0,0
2010-07-26,6.67,0.0,0.0,40.0,40.0,40.0,40.0,0,0,0,0,0
2010-07-27,6.67,0.0,0.0,40.0,40.0,40.0,40.0,0,0,0,0,0
2010-07-28,6.67,0.0,0.0,40.0,40.0,40.0,40.0,0,0,0,0,0
2010-07-29,6.67,0.0,0.0,40.0,40.0,40.0,40.0,0,0,0,0,0
2010-07-30,6.67,0.0,0.0,40.0,40.0,40.0,40.0,0,0,0,0,0
2010-08-02,6.67,0.0,0.0,40.0,40.0,40.0,40.0,0,0,0,0,0
2010-08-03,6.67,0.0,0.0,40.0,40.0,40.0,40.0,0,0,0,0,0
2010-08-04,6.67,0.0,0.0,40.0,40.0,40.0,40.0,0,0,0,0,0
2010-08-05,6.0,-4.0,-10.0,36.0,36.0,36.0,36.0,7200000,0,200,0,200
2010-08-06,6.0,0.0,0.0,36.0,36.0,36.0,36.0,0,0,0,0,0
2010-08-09,6.0,0.0,0.0,36.0,36.0,36.0,36.0,0,0,0,0,0
2010-08-10,6.0,0.0,0.0,36.0,36.0,36.0,36.0,3600000,0,100,0,100
2010-08-11,5.4,-3.6,-10.0,32.4,32.4,32.4,32.4,6480000,0,200,0,200
2010-08-12,5.4,0.0,0.0,32.4,32.4,32.4,32.4,0,0,0,0,0
2010-08-13,5.4,0.0,0.0,32.4,32.4,32.4,32.4,0,0,0,0,0
2010-08-16,5.52,0.7,2.21,32.4,31.7,31.7,31.7,0,0,0,0,0
2010-08-17,5.52,0.7,2.21,32.4,31.7,31.7,31.7,0,0,0,0,0
2010-08-18,5.52,0.7,2.21,32.4,31.7,31.7,31.7,0,0,0,0,0
2010-08-19,5.93,3.1,9.78,34.8,34.8,34.8,34.8,3480000,0,100,0,100
2010-08-20,5.93,0.0,0.0,34.8,34.8,34.8,34.8,0,0,0,0,0
2010-08-23,5.93,0.0,0.0,34.8,34.8,34.8,34.8,0,0,0,0,0
2010-08-24,5.93,0.0,0.0,34.8,34.8,34.8,34.8,0,0,0,0,0
