,timestamp,delta_volume,date,note
0,1200502800,22723500,2008-01-17,"Niêm yết cổ phiếu bổ sung - 22,723,500 CP"
1,1200502800,22723500,2008-01-17,"Giao dịch bổ sung - 22,723,500 CP"
2,1260896400,7218500,2009-12-16,"Niêm yết cổ phiếu bổ sung - 7,218,500 CP"
3,1260896400,7218500,2009-12-16,"Giao dịch bổ sung - 7,218,500 CP"
4,1290531600,14370000,2010-11-24,"Niêm yết cổ phiếu bổ sung - 14,370,000 CP"
5,1290531600,14370000,2010-11-24,"Giao dịch bổ sung - 14,370,000 CP"
6,1436202000,13268124,2015-07-07,"Niêm yết cổ phiếu bổ sung - 13,268,124 CP"
7,1436893200,13268124,2015-07-15,"Giao dịch bổ sung - 13,268,124 CP"
8,1440349200,1490000,2015-08-24,"Niêm yết cổ phiếu bổ sung - 1,490,000 CP"
9,1440694800,1490000,2015-08-28,"Giao dịch bổ sung - 1,490,000 CP"
10,1462813200,2000000,2016-05-10,"Niêm yết cổ phiếu bổ sung - 2,000,000 CP"
11,1462813200,2000000,2016-05-10,"Giao dịch bổ sung - 2,000,000 CP"
12,1636045200,3850000,2021-11-05,"Niêm yết cổ phiếu bổ sung - 3,850,000 CP"
13,1692550800,3850000,2023-08-21,"Giao dịch bổ sung - 3,850,000 CP"
