Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,PGT,PGT,PGT,PGT,PGT,PGT,PGT,PGT,PGT,PGT,PGT,PGT
date,,,,,,,,,,,,
2009-12-25,8.39,-2.2,-15.71,11.8,14.0,14.0,14.0,2420900000,0,211400,0,211400
2009-12-28,7.61,-0.8,-6.96,10.7,11.5,11.6,11.5,476310000,321000000,42900,30000,72900
2009-12-29,7.4,-0.7,-6.31,10.4,11.0,11.0,11.1,324140000,0,31000,0,31000
2009-12-30,6.97,-0.7,-6.67,9.8,9.9,9.9,10.5,741400000,0,75600,0,75600
2009-12-31,6.54,-0.6,-6.12,9.2,9.8,9.8,9.8,821440000,0,88100,0,88100
2010-01-04,7.04,0.6,6.45,9.9,9.9,9.9,9.3,78210000,0,7900,0,7900
2010-01-05,7.47,0.6,6.06,10.5,10.5,10.5,9.9,203700000,0,19400,0,19400
2010-01-06,7.33,-0.2,-1.9,10.3,11.0,11.0,10.5,506020000,0,47900,0,47900
2010-01-07,7.04,-0.7,-6.6,9.9,10.3,10.4,10.6,789780000,0,79400,0,79400
2010-01-08,6.97,-0.1,-1.01,9.8,10.0,10.3,9.9,287960000,0,28700,0,28700
2010-01-11,6.83,-0.4,-4.0,9.6,10.0,10.0,10.0,333060000,0,35000,0,35000
2010-01-12,6.54,-0.3,-3.16,9.2,9.4,9.7,9.5,220420000,0,24000,0,24000
2010-01-13,6.69,0.2,2.17,9.4,9.4,9.4,9.2,246270000,0,26700,0,26700
2010-01-14,6.69,0.2,2.17,9.4,9.5,9.5,9.2,306690000,0,33000,0,33000
2010-01-15,6.33,-0.4,-4.3,8.9,9.5,9.5,9.3,115870000,0,12900,0,12900
2010-01-18,6.19,-0.3,-3.33,8.7,9.2,9.2,9.0,287880000,0,33400,0,33400
2010-01-19,6.12,0.0,0.0,8.6,9.0,9.0,8.6,131200000,0,15400,0,15400
2010-01-20,5.83,-0.3,-3.53,8.2,8.6,8.7,8.5,288070000,0,35200,0,35200
2010-01-21,5.62,-0.3,-3.66,7.9,7.9,8.1,8.2,216000000,0,27600,0,27600
2010-01-22,5.69,0.2,2.56,8.0,7.9,8.0,7.8,80720000,0,10300,0,10300
2010-01-25,5.69,0.2,2.56,8.0,8.0,8.2,7.8,136830000,0,17100,0,17100
2010-01-26,6.05,0.5,6.25,8.5,8.3,8.5,8.0,308480000,0,36700,0,36700
2010-01-27,5.69,-0.4,-4.76,8.0,8.2,8.2,8.4,210040000,267000000,26000,30000,56000
2010-01-28,5.76,0.0,0.0,8.1,8.2,8.2,8.1,196470000,258000000,24500,30000,54500
2010-01-29,5.83,0.2,2.5,8.2,8.4,8.5,8.0,219680000,0,26400,0,26400
2010-02-01,5.97,0.1,1.2,8.4,8.4,8.5,8.3,227680000,0,27100,0,27100
2010-02-02,5.83,-0.2,-2.38,8.2,8.3,8.3,8.4,78350000,0,9500,0,9500
2010-02-03,5.97,0.2,2.44,8.4,8.1,8.4,8.2,59590000,0,7300,0,7300
2010-02-04,6.05,0.3,3.66,8.5,8.4,8.5,8.2,208140000,0,24700,0,24700
2010-02-05,5.69,-0.4,-4.76,8.0,8.3,8.3,8.4,99810000,0,12400,0,12400
2010-02-08,5.9,0.3,3.75,8.3,8.2,8.3,8.0,57050000,0,7000,0,7000
2010-02-09,5.69,-0.2,-2.44,8.0,8.2,8.2,8.2,48840000,0,6100,0,6100
2010-02-10,5.69,0.0,0.0,8.0,8.0,8.1,8.0,67450000,0,8400,0,8400
2010-02-11,5.76,0.1,1.25,8.1,8.0,8.1,8.0,66130000,0,8300,0,8300
2010-02-12,5.83,0.2,2.5,8.2,8.3,8.3,8.0,39190000,0,4800,0,4800
2010-02-22,5.69,-0.2,-2.44,8.0,8.3,8.3,8.2,92290000,0,11500,0,11500
2010-02-23,5.62,-0.1,-1.25,7.9,8.0,8.0,8.0,48170000,0,6100,0,6100
2010-02-24,5.69,0.1,1.27,8.0,7.9,8.0,7.9,12710000,0,1600,0,1600
2010-02-25,5.62,0.0,0.0,7.9,8.1,8.1,7.9,47970000,0,6100,0,6100
2010-02-26,5.97,0.5,6.33,8.4,8.0,8.4,7.9,845210000,0,101900,0,101900
2010-03-01,6.26,0.5,6.02,8.8,8.8,8.8,8.3,848180000,0,96700,0,96700
2010-03-02,6.69,0.6,6.82,9.4,9.4,9.4,8.8,1335730000,0,142200,0,142200
2010-03-03,7.11,0.6,6.38,10.0,10.0,10.0,9.4,944160000,0,96200,0,96200
2010-03-04,6.69,-0.4,-4.08,9.4,10.0,10.0,9.8,767670000,0,81900,0,81900
2010-03-05,6.76,0.1,1.06,9.5,9.0,9.5,9.4,769600000,0,83600,0,83600
2010-03-08,6.97,0.6,6.52,9.8,9.3,9.8,9.2,1379740000,0,142100,0,142100
2010-03-09,6.76,-0.2,-2.06,9.5,10.3,10.3,9.7,298840000,0,31400,0,31400
2010-03-10,6.54,-0.3,-3.16,9.2,9.3,9.4,9.5,523450000,0,57200,0,57200
2010-03-11,6.76,0.3,3.26,9.5,9.5,9.5,9.2,465590000,0,50000,0,50000
2010-03-12,6.76,0.2,2.15,9.5,9.6,9.8,9.3,635810000,0,67400,0,67400
2010-03-15,6.9,0.3,3.19,9.7,9.5,9.7,9.4,1027300000,0,108200,0,108200
2010-03-16,6.69,-0.1,-1.05,9.4,9.5,9.6,9.5,452440000,0,47800,0,47800
2010-03-17,6.76,0.0,0.0,9.0,9.1,9.2,9.0,404060000,0,44300,0,44300
2010-03-18,6.91,0.1,1.1,9.2,9.0,9.2,9.1,520990000,0,57400,0,57400
2010-03-19,6.83,0.0,0.0,9.1,9.2,9.2,9.1,232590000,0,25700,0,25700
2010-03-22,6.61,-0.3,-3.3,8.8,9.0,9.1,9.1,152600000,0,17100,0,17100
2010-03-23,6.68,0.0,0.0,8.9,8.7,8.9,8.9,355170000,0,40200,0,40200
2010-03-24,6.76,0.2,2.27,9.0,8.8,9.0,8.8,338920000,0,37900,0,37900
2010-03-25,6.38,-0.4,-4.49,8.5,8.8,8.8,8.9,157210000,0,18400,0,18400
2010-03-26,6.46,0.1,1.18,8.6,8.7,9.0,8.5,105310000,0,12300,0,12300
2010-03-29,6.46,0.0,0.0,8.6,8.6,8.7,8.6,157860000,0,18400,0,18400
2010-03-30,6.16,-0.4,-4.65,8.2,8.6,8.7,8.6,282120000,0,33900,0,33900
2010-03-31,6.16,-0.1,-1.2,8.2,8.4,8.4,8.3,84180000,0,10300,0,10300
2010-04-01,6.23,0.1,1.22,8.3,8.3,8.4,8.2,145270000,0,17700,0,17700
2010-04-02,6.31,0.2,2.44,8.4,8.7,8.7,8.2,88110000,0,10600,0,10600
2010-04-05,6.23,0.0,0.0,8.3,8.3,8.4,8.3,163380000,0,19700,0,19700
2010-04-06,6.23,0.0,0.0,8.3,8.3,8.4,8.3,256010000,0,30800,0,30800
2010-04-07,6.31,0.1,1.2,8.4,8.3,8.5,8.3,391950000,0,47100,0,47100
2010-04-08,6.53,0.4,4.82,8.7,8.5,8.8,8.3,882800000,63960000,102200,8200,110400
2010-04-09,6.83,0.5,5.81,9.1,8.9,9.2,8.6,722580000,0,79500,0,79500
2010-04-12,7.28,0.6,6.59,9.7,9.4,9.7,9.1,1145750000,0,118300,0,118300
2010-04-13,7.13,-0.2,-2.06,9.5,10.3,10.3,9.7,1341910000,0,135300,0,135300
2010-04-14,6.98,-0.6,-6.06,9.3,9.3,9.5,9.9,855880000,0,92000,0,92000
2010-04-15,7.43,0.6,6.45,9.9,9.5,9.9,9.3,3200780000,0,326100,0,326100
2010-04-16,7.81,0.6,6.12,10.4,10.0,10.4,9.8,3085750000,0,297500,0,297500
2010-04-19,8.33,0.7,6.73,11.1,11.0,11.1,10.4,1904270000,0,171700,0,171700
2010-04-20,8.86,0.7,6.31,11.8,11.8,11.8,11.1,1825460000,0,154700,0,154700
2010-04-21,9.46,0.8,6.78,12.6,12.6,12.6,11.8,3127320000,0,248200,0,248200
2010-04-22,9.23,-0.3,-2.38,12.3,13.4,13.4,12.6,10527740000,0,797100,0,797100
2010-04-26,9.23,-0.9,-6.82,12.3,13.0,13.2,13.2,387230000,0,31400,0,31400
2010-04-27,8.86,-0.5,-4.07,11.8,11.5,12.3,12.3,3768440000,0,322600,0,322600
2010-04-28,9.38,0.8,6.84,12.5,11.7,12.5,11.7,2397050000,0,192700,0,192700
2010-04-29,9.91,0.8,6.45,13.2,13.2,13.2,12.4,3799200000,0,288400,0,288400
2010-05-04,10.58,0.9,6.82,14.1,14.0,14.1,13.2,3291260000,0,233600,0,233600
2010-05-05,10.43,-0.2,-1.42,13.9,14.5,14.9,14.1,3725940000,0,266500,0,266500
2010-05-06,11.19,0.9,6.43,14.9,13.9,14.9,14.0,2674000000,0,181800,0,181800
2010-05-07,10.58,-0.6,-4.08,14.1,14.9,15.2,14.7,4717270000,0,326500,0,326500
2010-05-10,10.06,-1.0,-6.94,13.4,14.1,14.3,14.4,2858650000,0,211800,0,211800
2010-05-11,9.68,-0.6,-4.44,12.9,14.2,14.2,13.5,2323940000,0,181400,0,181400
2010-05-12,9.01,-0.8,-6.25,12.0,12.2,12.8,12.8,717940000,0,59800,0,59800
2010-05-13,8.56,-0.6,-5.0,11.4,11.3,12.0,12.0,1700690000,0,149100,0,149100
2010-05-14,9.08,0.7,6.14,12.1,11.3,12.1,11.4,996130000,0,82500,0,82500
2010-05-17,9.23,0.2,1.65,12.3,12.9,12.9,12.1,1132320000,0,89400,0,89400
2010-05-18,8.93,-0.8,-6.3,11.9,12.8,12.8,12.7,589870000,0,49300,0,49300
2010-05-19,8.41,-0.8,-6.67,11.2,11.5,11.5,12.0,443600000,0,39500,0,39500
2010-05-20,8.03,-0.5,-4.46,10.7,11.2,11.4,11.2,1983840000,0,186900,0,186900
2010-05-21,7.51,-0.6,-5.66,10.0,10.7,10.8,10.6,1395790000,0,140200,0,140200
2010-05-24,8.03,0.7,7.0,10.7,10.3,10.7,10.0,420140000,0,39800,0,39800
2010-05-25,8.48,0.7,6.6,11.3,10.8,11.3,10.6,1971230000,0,175200,0,175200
2010-05-26,9.01,0.7,6.19,12.0,11.8,12.0,11.3,1610780000,0,135100,0,135100
2010-05-27,8.93,0.0,0.0,11.9,12.0,12.0,11.9,1406290000,0,119200,0,119200
2010-05-28,9.38,0.7,5.93,12.5,12.2,12.6,11.8,2003800000,0,160700,0,160700
2010-05-31,8.78,-0.8,-6.4,11.7,12.6,12.6,12.5,601660000,0,51200,0,51200
2010-06-01,8.41,-0.6,-5.08,11.2,11.3,11.4,11.8,1159990000,0,104600,0,104600
2010-06-02,8.63,0.4,3.6,11.5,11.1,11.7,11.1,985040000,0,88700,0,88700
2010-06-03,8.86,0.7,6.31,11.8,11.8,11.8,11.1,1451110000,0,123000,0,123000
2010-06-04,8.63,-0.3,-2.54,11.5,12.4,12.4,11.8,322750000,0,27600,0,27600
2010-06-07,8.18,-0.8,-6.84,10.9,11.3,11.3,11.7,1047600000,0,95700,0,95700
2010-06-08,8.33,0.2,1.83,11.1,10.9,11.3,10.9,720730000,0,65700,0,65700
2010-06-09,8.26,0.0,0.0,11.0,11.5,11.5,11.0,295330000,0,26600,0,26600
2010-06-10,8.26,-0.1,-0.9,11.0,11.3,11.3,11.1,826290000,0,76100,0,76100
2010-06-11,8.63,0.6,5.5,11.5,11.2,11.6,10.9,1032200000,0,91700,0,91700
2010-06-14,8.56,0.1,0.88,11.4,11.6,11.8,11.3,797350000,0,69400,0,69400
2010-06-15,8.41,-0.3,-2.61,11.2,11.5,11.5,11.5,617000000,0,55300,0,55300
2010-06-16,8.48,0.1,0.89,11.3,11.5,11.7,11.2,715600000,0,63400,0,63400
2010-06-17,8.18,-0.4,-3.54,10.9,11.2,11.2,11.3,1397230000,0,127100,0,127100
2010-06-18,8.26,0.0,0.0,11.0,11.0,11.3,11.0,833600000,0,75300,0,75300
2010-06-21,8.86,0.7,6.31,11.8,11.1,11.8,11.1,1708090000,0,146400,0,146400
2010-06-22,9.38,0.8,6.84,12.5,12.3,12.5,11.7,5354850000,0,430100,0,430100
2010-06-23,9.98,0.8,6.4,13.3,12.5,13.3,12.5,6047920000,0,458400,0,458400
2010-06-24,10.58,0.9,6.82,14.1,14.1,14.1,13.2,3044860000,0,216100,0,216100
2010-06-25,10.58,0.0,0.0,14.1,14.9,14.9,14.1,5792510000,0,409500,0,409500
2010-06-28,9.98,-0.8,-5.67,13.3,13.9,13.9,14.1,3597940000,0,269500,0,269500
2010-06-29,9.76,-0.4,-2.99,13.0,13.0,13.8,13.4,2417260000,0,183000,0,183000
2010-06-30,9.53,-0.5,-3.79,12.7,12.9,12.9,13.2,1297360000,0,103200,0,103200
2010-07-01,10.06,0.8,6.35,13.4,12.0,13.4,12.6,3535630000,0,265600,0,265600
2010-07-02,9.76,-0.3,-2.26,13.0,13.8,13.8,13.3,1284120000,0,97200,0,97200
2010-07-05,9.98,0.1,0.76,13.3,13.0,13.4,13.2,1316790000,0,100400,0,100400
2010-07-06,9.53,-0.4,-3.05,12.7,13.3,13.3,13.1,1516400000,0,120200,0,120200
2010-07-07,9.98,0.7,5.56,13.3,12.7,13.4,12.6,3035490000,0,230200,0,230200
2010-07-08,9.61,-0.4,-3.03,12.8,13.1,13.5,13.2,495810000,0,38000,0,38000
2010-07-09,9.68,-0.1,-0.77,12.9,12.8,13.0,13.0,1057360000,0,82800,0,82800
2010-07-12,9.68,0.1,0.78,12.9,13.0,13.1,12.8,715570000,0,55300,0,55300
2010-07-13,10.06,0.5,3.88,13.4,12.9,13.8,12.9,3104030000,0,231900,0,231900
2010-07-14,9.91,-0.2,-1.49,13.2,13.8,13.8,13.4,2440950000,0,182200,0,182200
2010-07-15,10.73,0.9,6.72,14.3,13.5,14.3,13.4,9087440000,0,648900,0,648900
2010-07-16,11.19,0.9,6.43,14.9,14.3,14.9,14.0,5025810000,0,337900,0,337900
2010-07-19,11.94,1.0,6.71,15.9,15.6,15.9,14.9,7067290000,0,445200,0,445200
2010-07-20,12.01,0.1,0.63,16.0,16.8,16.9,15.9,5801180000,0,366000,0,366000
2010-07-21,11.34,-0.8,-5.03,15.1,15.9,15.9,15.9,4649040000,0,302800,0,302800
2010-07-22,11.11,-0.6,-3.9,14.8,15.0,15.9,15.4,5370390000,0,355700,0,355700
2010-07-23,11.03,-0.4,-2.65,14.7,15.0,15.2,15.1,2353090000,0,157800,0,157800
2010-07-26,10.66,-0.7,-4.7,14.2,14.8,15.0,14.9,1687640000,0,117900,0,117900
2010-07-27,10.51,-0.3,-2.1,14.0,14.3,14.5,14.3,833460000,0,58800,0,58800
2010-07-28,10.28,-0.5,-3.52,13.7,14.2,14.2,14.2,3000220000,0,221400,0,221400
2010-07-29,10.43,0.3,2.21,13.9,13.6,14.0,13.6,2435200000,0,176900,0,176900
2010-07-30,10.51,0.2,1.45,14.0,14.0,14.2,13.8,1298890000,0,92800,0,92800
2010-08-02,10.13,-0.5,-3.57,13.5,13.7,14.0,14.0,1677240000,0,124400,0,124400
2010-08-03,9.76,-0.5,-3.7,13.0,14.0,14.0,13.5,1516450000,0,115100,0,115100
2010-08-04,9.53,-0.5,-3.79,12.7,12.9,13.0,13.2,2572010000,0,205900,0,205900
2010-08-05,9.98,0.8,6.4,13.3,12.8,13.3,12.5,4347680000,0,328600,0,328600
2010-08-06,9.68,-0.3,-2.27,12.9,13.4,13.8,13.2,1234870000,0,93400,0,93400
2010-08-09,9.38,-0.7,-5.3,12.5,12.9,12.9,13.2,1611120000,0,128800,0,128800
2010-08-10,9.01,-0.5,-4.0,12.0,12.5,12.5,12.5,2184680000,0,183800,0,183800
2010-08-11,9.31,0.5,4.2,12.4,11.3,12.4,11.9,2021510000,0,166900,0,166900
2010-08-12,8.48,-0.8,-6.61,11.3,12.1,12.1,12.1,2456430000,0,216600,0,216600
2010-08-13,8.71,0.3,2.65,11.6,11.0,11.7,11.3,1588720000,0,140000,0,140000
2010-08-16,9.01,0.7,6.19,12.0,11.3,12.0,11.3,833040000,0,69700,0,69700
2010-08-17,9.31,0.4,3.33,12.4,12.8,12.8,12.0,1190980000,0,96100,0,96100
2010-08-18,8.78,-0.7,-5.65,11.7,12.1,12.3,12.4,1054760000,0,88800,0,88800
2010-08-19,8.86,-0.1,-0.84,11.8,12.0,12.0,11.9,995120000,0,85600,0,85600
2010-08-20,8.86,0.2,1.72,11.8,11.5,12.0,11.6,1040460000,0,89500,0,89500
2010-08-23,8.63,-0.1,-0.86,11.5,12.0,12.0,11.6,340570000,0,29500,0,29500
2010-08-24,8.03,-0.8,-6.96,10.7,11.4,11.4,11.5,1647960000,0,153300,0,153300
2010-08-25,7.58,-0.7,-6.48,10.1,10.5,10.7,10.8,2236990000,0,220700,0,220700
2010-08-26,8.03,0.6,5.94,10.7,10.5,10.8,10.1,952140000,0,89800,0,89800
2010-08-27,7.73,-0.3,-2.83,10.3,10.3,11.0,10.6,527480000,0,50700,0,50700
2010-08-30,8.33,0.7,6.73,11.1,11.0,11.1,10.4,702380000,0,63300,0,63300
2010-08-31,8.86,0.7,6.31,11.8,11.1,11.8,11.1,2035250000,0,173900,0,173900
2010-09-01,9.23,0.6,5.13,12.3,12.0,12.3,11.7,1832780000,0,153600,0,153600
2010-09-06,9.53,0.8,6.72,12.7,12.5,12.7,11.9,2337050000,0,184300,0,184300
2010-09-07,9.08,-0.6,-4.72,12.1,12.8,12.8,12.7,1734460000,0,142800,0,142800
2010-09-08,8.71,-0.5,-4.13,11.6,11.5,11.8,12.1,1150810000,0,99900,0,99900
2010-09-09,9.23,0.8,6.96,12.3,11.8,12.3,11.5,1120670000,0,93500,0,93500
2010-09-10,8.56,-0.6,-5.0,11.4,11.7,12.2,12.0,2623220000,0,227500,0,227500
2010-09-13,8.26,-0.5,-4.35,11.0,11.4,11.4,11.5,1727100000,0,158900,0,158900
2010-09-14,8.71,0.7,6.42,11.6,10.9,11.6,10.9,1079350000,0,94400,0,94400
2010-09-15,8.41,-0.2,-1.75,11.2,11.3,11.4,11.4,571780000,0,51200,0,51200
2010-09-16,8.56,0.2,1.79,11.4,11.1,11.4,11.2,769660000,0,68900,0,68900
2010-09-17,8.93,0.7,6.25,11.9,11.4,11.9,11.2,2381130000,0,201800,0,201800
2010-09-20,8.71,-0.2,-1.69,11.6,12.2,12.5,11.8,1070120000,0,90900,0,90900
2010-09-21,8.63,-0.3,-2.54,11.5,11.0,11.8,11.8,759930000,0,66100,0,66100
2010-09-22,8.48,-0.2,-1.74,11.3,11.5,11.5,11.5,386610000,0,33900,0,33900
2010-09-23,8.56,0.0,0.0,11.4,11.2,11.5,11.4,777760000,0,69400,0,69400
2010-09-24,8.41,0.0,0.0,11.2,11.4,11.4,11.2,449330000,0,39800,0,39800
2010-09-27,8.56,0.1,0.88,11.4,11.4,11.8,11.3,439630000,0,38400,0,38400
2010-09-28,8.63,0.1,0.88,11.5,11.7,11.8,11.4,1012570000,0,87900,0,87900
2010-09-29,8.41,-0.3,-2.61,11.2,11.4,11.4,11.5,574160000,0,51200,0,51200
2010-09-30,8.41,0.0,0.0,11.2,11.3,11.3,11.2,220620000,0,19800,0,19800
2010-10-01,8.33,0.0,0.0,11.1,11.4,11.4,11.1,170980000,70800000,15500,6000,21500
2010-10-04,7.81,-0.6,-5.45,10.4,10.8,10.8,11.0,1168180000,0,112200,0,112200
2010-10-05,8.03,0.3,2.88,10.7,10.4,10.8,10.4,334810000,0,31700,0,31700
2010-10-06,8.26,0.4,3.77,11.0,10.7,11.1,10.6,308810000,0,28400,0,28400
2010-10-07,7.88,-0.4,-3.67,10.5,11.0,11.1,10.9,208200000,0,19600,0,19600
2010-10-08,7.81,-0.2,-1.89,10.4,10.7,10.8,10.6,288140000,0,27600,0,27600
2010-10-11,7.73,-0.1,-0.96,10.3,10.7,10.7,10.4,140210000,0,13500,0,13500
2010-10-12,7.58,-0.3,-2.88,10.1,10.6,10.6,10.4,403380000,0,39600,0,39600
2010-10-13,7.66,0.0,0.0,10.2,10.3,10.3,10.2,231520000,0,22800,0,22800
2010-10-14,7.58,-0.1,-0.98,10.1,10.3,10.3,10.2,227460000,0,22200,0,22200
2010-10-15,7.51,-0.2,-1.96,10.0,10.1,10.1,10.2,486320000,0,48800,0,48800
2010-10-18,7.43,-0.1,-1.0,9.9,10.0,10.0,10.0,397800000,0,40000,0,40000
2010-10-19,7.13,-0.4,-4.04,9.5,9.8,9.8,9.9,284270000,0,29600,0,29600
2010-10-20,6.83,-0.5,-5.21,9.1,9.5,9.5,9.6,752900000,0,83000,0,83000
2010-10-21,6.91,0.1,1.1,9.2,9.3,9.4,9.1,313040000,0,34100,0,34100
2010-10-22,6.68,-0.3,-3.26,8.9,8.6,9.1,9.2,471310000,0,53900,0,53900
