Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,PNC,PNC,PNC,PNC,PNC,PNC,PNC,PNC,PNC,PNC,PNC,PNC
date,,,,,,,,,,,,
2005-07-11,7.36,0.0,0.0,16.0,16.0,16.0,16.0,182880,0,11430,0,11430
2005-07-12,7.59,0.5,3.13,16.5,16.5,16.0,16.0,329135,0,20190,0,20190
2005-07-13,7.96,0.8,4.85,17.3,17.3,17.1,17.1,823976,0,47680,0,47680
2005-07-14,7.96,0.0,0.0,17.3,17.5,17.3,17.5,701186,0,40380,0,40380
2005-07-15,8.05,0.2,1.16,17.5,17.5,17.3,17.3,555263,173000,31870,10000,41870
2005-07-18,8.05,0.0,0.0,17.5,17.5,17.5,17.5,480200,0,27440,0,27440
2005-07-19,8.0,-0.1,-0.57,17.4,17.4,17.4,17.4,204450,0,11750,0,11750
2005-07-20,7.86,-0.3,-1.72,17.1,17.3,17.1,17.3,196408,0,11460,0,11460
2005-07-21,7.77,-0.2,-1.17,16.9,17.0,16.9,17.0,212836,0,12580,0,12580
2005-07-22,7.54,-0.5,-2.96,16.4,16.5,16.4,16.5,708526,0,43130,0,43130
2005-07-25,7.82,0.6,3.66,17.0,17.0,16.4,16.4,194656,0,11840,0,11840
2005-07-26,7.73,-0.2,-1.18,16.8,17.0,16.8,17.0,29480,0,1740,0,1740
2005-07-27,7.73,0.0,0.0,16.8,16.8,16.8,16.8,16800,0,1000,0,1000
2005-07-28,7.54,-0.4,-2.38,16.4,16.4,16.3,16.3,157483,0,9610,0,9610
2005-07-29,7.54,0.0,0.0,16.4,16.4,16.4,16.4,19680,0,1200,0,1200
2005-08-01,7.63,0.2,1.22,16.6,16.6,16.5,16.5,31326,0,1890,0,1890
2005-08-02,7.63,0.0,0.0,16.6,16.6,16.6,16.6,22410,0,1350,0,1350
2005-08-03,7.77,0.3,1.81,16.9,16.9,16.6,16.6,161850,170000,9660,10000,19660
2005-08-04,7.96,0.4,2.37,17.3,17.3,17.1,17.1,79095,0,4590,0,4590
2005-08-05,7.82,-0.3,-1.73,17.0,17.5,17.0,17.5,295340,0,17010,0,17010
2005-08-08,7.77,-0.1,-0.59,16.9,17.0,16.9,17.0,49378,0,2920,0,2920
