Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,PTL,PTL,PTL,PTL,PTL,PTL,PTL,PTL,PTL,PTL,PTL,PTL
date,,,,,,,,,,,,
2010-09-22,16.53,-5.0,-20.0,20.0,20.0,20.0,20.0,8117800000,0,405890,0,405890
2010-09-23,15.71,-1.0,-5.0,19.0,19.0,19.0,19.0,1241080000,1414260000,65320,70713,136033
2010-09-24,14.96,-0.9,-4.74,18.1,18.1,18.1,18.1,983192000,0,54320,0,54320
2010-09-27,14.8,-0.2,-1.1,17.9,18.1,17.2,17.2,31906519000,1810000000,1810210,100000,1910210
2010-09-28,15.21,0.5,2.79,18.4,18.7,18.0,18.0,22611599000,0,1222650,0,1222650
2010-09-29,14.55,-0.8,-4.35,17.6,18.4,17.6,18.4,4873099000,3600000000,272750,200000,472750
2010-09-30,14.47,-0.1,-0.57,17.5,17.9,17.2,17.5,5105360000,0,293220,0,293220
2010-10-01,13.8,-0.8,-4.57,16.7,17.4,16.7,17.4,10989180000,0,647910,0,647910
2010-10-04,13.14,-0.8,-4.79,15.9,16.3,15.9,16.3,10085958000,525000000,632910,30000,662910
2010-10-05,12.98,-0.2,-1.26,15.7,15.7,15.2,15.2,9296139000,0,607200,0,607200
2010-10-06,13.06,0.1,0.64,15.8,16.0,15.2,15.5,9065007000,0,579300,0,579300
2010-10-07,12.48,-0.7,-4.43,15.1,15.8,15.1,15.8,8242529000,0,536770,0,536770
2010-10-08,12.23,-0.3,-1.99,14.8,15.3,14.7,14.8,2890163000,474000000,194510,30000,224510
2010-10-11,11.82,-0.5,-3.38,14.3,14.8,14.3,14.5,2493600000,434000000,173030,28000,201030
2010-10-12,11.41,-0.5,-3.5,13.8,14.3,13.7,14.1,3016326000,1515000000,217150,101000,318150
2010-10-13,11.41,0.0,0.0,13.8,13.9,13.5,13.6,2511810000,576000000,182630,40000,222630
2010-10-14,11.41,0.0,0.0,13.8,14.2,13.8,14.2,2180367000,1056000000,156320,80000,236320
