,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2010Q3,472204.0,149713.0,209724.0,158654.0,153552.0,3390598.0,4526130.0,2348070.0,1821903.0,1945238.0,232822.0,2552.0,20949.0,12.14,33.6,15.79,6.79
1,2010Q4,11963.0,1874.0,3243.0,56598.0,55111.0,0.0,0.0,0.0,0.0,0.0,0.0,2416.0,0.0,11.22,473.1,5.67,11022165181600.0
2,2011Q1,31164.0,12629.0,40026.0,28773.0,28773.0,4174393.0,5347124.0,2697976.0,1428736.0,2356800.0,292348.0,2401.0,19395.0,8.33,92.33,1.23,0.55
3,2011Q2,116694.0,18049.0,-29708.0,33851.0,28019.0,3967678.0,5271415.0,2567133.0,1282134.0,2385844.0,318438.0,2525.0,19634.0,7.76,29.01,1.18,0.53
4,2011Q3,52749.0,6250.0,-30146.0,-28229.0,-26492.0,4184975.0,5450590.0,2790331.0,1300660.0,2359352.0,300907.0,736.0,19416.0,29.09,-53.52,-1.12,-0.49
5,2011Q4,248733.0,14845.0,-93659.0,-103559.0,-103559.0,4179881.0,5545332.0,3049836.0,1204213.0,2206867.0,288629.0,-603.0,18161.0,-22.23,-41.63,-4.54,-1.88
6,2012Q1,88381.0,9285.0,-15382.0,-3836.0,-3836.0,4092984.0,5463040.0,2945367.0,1824933.0,2224258.0,293415.0,-871.0,18304.0,-11.59,-4.34,-0.17,-0.07
7,2012Q2,42200.0,13190.0,-1162.0,2396.0,2396.0,4255010.0,5642656.0,3061643.0,1966684.0,2285517.0,295497.0,-1082.0,17985.0,-9.15,5.68,0.11,0.04
8,2012Q3,59766.0,19184.0,-1227.0,-468.0,-468.0,4223588.0,5705547.0,3126131.0,1931408.0,2285125.0,294291.0,-863.0,17982.0,-8.23,-0.78,-0.02,-0.01
9,2012Q4,1226404.0,69612.0,3237.0,12455.0,12455.0,4255373.0,5613839.0,3028703.0,1404645.0,2296770.0,288366.0,85.0,18074.0,85.63,1.02,0.54,0.22
10,2013Q1,119938.0,13784.0,-1453.0,1109.0,1082.0,5071350.0,6686196.0,4096034.0,1942611.0,2295826.0,294336.0,124.0,18066.0,56.59,0.92,0.05,0.02
11,2013Q2,130145.0,37184.0,-16096.0,4502.0,4663.0,5056618.0,6672290.0,4181106.0,1952984.0,2300489.0,190694.0,140.0,18103.0,53.47,3.46,0.2,0.07
12,2013Q3,37193.0,11129.0,-2560.0,237.0,361.0,4989464.0,6711219.0,4228766.0,2695764.0,2300453.0,182000.0,146.0,18103.0,43.82,0.64,0.02,0.01
13,2013Q4,685869.0,-5340.0,-14289.0,-2683.0,1260.0,4630699.0,6384734.0,3905310.0,2238765.0,2301367.0,178057.0,58.0,18110.0,112.14,-0.39,0.05,0.02
14,2014Q1,41960.0,10354.0,1723.0,1563.0,1679.0,4655979.0,6537853.0,4033784.0,1719997.0,2311208.0,192861.0,63.0,18187.0,188.32,3.72,0.07,0.03
15,2014Q2,196060.0,1316.0,-8013.0,1689.0,1865.0,4750913.0,6588101.0,4116650.0,1860628.0,2348782.0,122669.0,41.0,18067.0,206.69,0.86,0.08,0.03
16,2014Q3,161475.0,35240.0,3247.0,2404.0,2581.0,4575031.0,6900451.0,4414120.0,2228740.0,2351666.0,134665.0,58.0,18089.0,161.76,1.49,0.11,0.04
17,2014Q4,124034.0,9222.0,51287.0,49970.0,50053.0,5395030.0,6968045.0,3014622.0,814786.0,3818846.0,134576.0,442.0,13880.0,21.94,40.29,1.62,0.72
18,2015Q1,43012.0,6282.0,919.0,504.0,600.0,5363931.0,6956996.0,3033508.0,713014.0,3923488.0,,406.0,14261.0,21.93,1.17,0.02,0.01
19,2015Q2,60724.0,6601.0,1694.0,3923.0,3671.0,5835140.0,7483400.0,3545136.0,893091.0,3938264.0,,331.0,14314.0,22.36,6.46,0.09,0.05
20,2015Q3,103391.0,32702.0,13516.0,13461.0,13514.0,5929495.0,7680806.0,3749364.0,1908408.0,3931442.0,,322.0,14289.0,18.63,13.02,0.34,0.18
21,2015Q4,178639.0,6434.0,5322.0,5304.0,5317.0,5991922.0,7979866.0,4038954.0,2043913.0,3940912.0,,92.0,14324.0,55.19,2.97,0.14,0.07
22,2016Q1,82967.0,7124.0,-606.0,1513.0,1571.0,7152452.0,9213570.0,5272630.0,3500814.0,3940940.0,,88.0,14324.0,55.92,1.82,0.04,0.02
23,2016Q2,181727.0,3528.0,34694.0,26411.0,26422.0,7445591.0,8751661.0,4798483.0,3662321.0,3953177.0,,170.0,14368.0,27.62,14.53,0.67,0.29
24,2016Q3,586029.0,-21177.0,-21893.0,-5172.0,-5140.0,7259789.0,8567373.0,4569427.0,3446572.0,3997945.0,,102.0,14531.0,41.02,-0.88,-0.13,-0.06
25,2016Q4,737663.0,73968.0,26167.0,37681.0,37743.0,6627934.0,8176546.0,4159926.0,3648226.0,4016620.0,,220.0,14599.0,17.25,5.11,0.94,0.45
26,2017Q1,268805.0,24908.0,13394.0,2412.0,2497.0,6691720.0,8237235.0,4249292.0,4010354.0,3987943.0,,224.0,14495.0,28.62,0.9,0.06,0.03
27,2017Q2,299316.0,47724.0,268161.0,212551.0,212645.0,8156399.0,9681147.0,5590476.0,5079044.0,4090671.0,,900.0,14868.0,29.98,71.01,5.26,2.37
28,2017Q3,117565.0,12098.0,201626.0,165641.0,165654.0,8758741.0,10872485.0,6764038.0,6127566.0,4108448.0,,1521.0,14933.0,10.85,140.89,4.04,1.61
29,2017Q4,130677.0,16246.0,43101.0,29460.0,29466.0,9684814.0,11549973.0,7412193.0,6747429.0,4137780.0,,1491.0,15039.0,9.99,22.54,0.71,0.26
30,2018Q1,350985.0,61475.0,46790.0,35205.0,30678.0,9320627.0,11486665.0,7311774.0,6829997.0,4174891.0,,1594.0,15174.0,8.47,10.03,0.74,0.27
31,2018Q2,86459.0,11329.0,11087.0,4527.0,4654.0,9769953.0,12082764.0,7991860.0,7591823.0,4090904.0,,838.0,14869.0,10.74,5.24,0.11,0.04
32,2018Q3,82452.0,11737.0,2004.0,1274.0,1418.0,9977588.0,12393327.0,8378978.0,7918795.0,4014349.0,,241.0,14591.0,35.57,1.54,0.03,0.01
33,2018Q4,213061.0,37411.0,43996.0,54534.0,54744.0,8876782.0,11035614.0,6893597.0,6465612.0,4142018.0,,333.0,15055.0,13.83,25.6,1.34,0.47
34,2019Q1,377895.0,21367.0,7457.0,5557.0,5358.0,8430099.0,10648083.0,6484371.0,6057741.0,4163712.0,,241.0,15134.0,22.41,1.47,0.13,0.05
35,2019Q2,195550.0,36709.0,37149.0,31384.0,31244.0,8574268.0,10860705.0,6680607.0,6264047.0,4180098.0,,337.0,15193.0,13.44,16.05,0.75,0.29
