Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,S4A,S4A,S4A,S4A,S4A,S4A,S4A,S4A,S4A,S4A,S4A,S4A
date,,,,,,,,,,,,
2016-05-27,10.17,-0.4,-2.5,15.6,16.0,15.1,16.0,1476000000,0,94010,0,94010
2016-05-30,10.3,0.2,1.28,15.8,16.5,15.6,16.5,254000000,0,16090,0,16090
2016-05-31,10.43,0.2,1.27,16.0,16.0,15.2,16.0,20000000,0,1330,0,1330
2016-06-01,10.3,-0.2,-1.25,15.8,15.8,15.4,15.4,102000000,0,6500,0,6500
2016-06-02,10.24,-0.1,-0.63,15.7,15.7,15.4,15.5,145000000,0,9280,0,9280
2016-06-03,9.91,-0.5,-3.18,15.2,15.5,15.2,15.2,154000000,0,10030,0,10030
2016-06-06,9.91,0.0,0.0,15.2,15.2,15.1,15.2,214000000,0,14060,0,14060
2016-06-07,9.85,-0.1,-0.66,15.1,15.2,15.0,15.0,33000000,0,2210,0,2210
2016-06-08,9.78,-0.1,-0.66,15.0,15.0,14.8,15.0,193000000,0,12900,0,12900
2016-06-09,9.59,-0.3,-2.0,14.7,14.8,14.7,14.8,154000000,0,10430,0,10430
2016-06-10,9.52,-0.1,-0.68,14.6,14.6,14.6,14.6,388000000,0,26600,0,26600
2016-06-13,9.52,0.0,0.0,14.6,14.7,14.2,14.7,116000000,0,8130,0,8130
2016-06-14,9.32,-0.3,-2.05,14.3,14.3,14.3,14.3,30000000,0,2100,0,2100
2016-06-15,9.32,0.0,0.0,14.3,14.3,14.3,14.3,0,0,0,0,0
2016-06-16,9.72,0.6,4.2,14.9,15.0,14.2,15.0,32000000,0,2220,0,2220
2016-06-17,9.65,-0.1,-0.67,14.8,14.8,14.2,14.4,26000000,0,1760,0,1760
2016-06-20,9.78,0.2,1.35,15.0,15.0,15.0,15.0,0,0,10,0,10
2016-06-21,9.78,0.0,0.0,15.0,15.0,15.0,15.0,0,0,0,0,0
2016-06-22,9.78,0.0,0.0,15.0,15.0,14.2,14.3,96000000,0,6730,0,6730
2016-06-23,9.78,0.0,0.0,15.0,15.0,14.5,14.5,22000000,0,1510,0,1510
2016-06-24,9.45,-0.5,-3.33,14.5,14.6,14.5,14.6,30000000,0,2050,0,2050
2016-06-27,9.78,0.5,3.45,15.0,15.0,13.6,13.6,82000000,0,6010,0,6010
2016-06-28,9.19,-0.9,-6.0,14.1,14.5,14.1,14.2,24000000,0,1710,0,1710
2016-06-29,9.19,0.0,0.0,14.1,14.4,14.1,14.4,2000000,0,110,0,110
2016-06-30,9.39,0.3,2.13,14.4,14.4,14.0,14.0,36000000,0,2550,0,2550
2016-07-01,9.13,-0.4,-2.78,14.0,14.2,14.0,14.2,47000000,0,3310,0,3310
2016-07-04,9.19,0.1,0.71,14.1,14.1,13.7,13.7,2000000,0,130,0,130
2016-07-05,9.13,-0.1,-0.71,14.0,14.1,13.8,14.1,104000000,0,7510,0,7510
2016-07-06,9.26,0.2,1.43,14.2,14.2,13.8,14.0,32000000,0,2280,0,2280
2016-07-07,9.0,-0.4,-2.82,13.8,14.2,13.8,14.2,5000000,0,350,0,350
2016-07-08,9.13,0.2,1.45,14.0,14.2,14.0,14.2,92000000,0,6500,0,6500
2016-07-11,8.61,-0.8,-5.71,13.2,14.5,13.2,14.0,1508000000,0,105670,0,105670
2016-07-12,8.93,0.5,3.79,13.7,14.1,13.7,14.0,108000000,0,7670,0,7670
2016-07-13,9.52,0.9,6.57,14.6,14.6,13.7,13.7,1038000000,0,71100,0,71100
2016-07-14,9.13,-0.6,-4.11,14.0,14.7,14.0,14.7,2000000,2720000000,120,200000,200120
2016-07-15,9.13,0.0,0.0,14.0,14.0,14.0,14.0,0,0,20,0,20
2016-07-18,9.45,0.5,3.57,14.5,14.5,13.9,14.1,365000000,0,26050,0,26050
2016-07-19,9.13,-0.5,-3.45,14.0,14.8,14.0,14.8,5000000,0,390,0,390
2016-07-20,9.19,0.1,0.71,14.1,14.5,14.1,14.1,354000000,0,24930,0,24930
2016-07-21,9.19,0.0,0.0,14.1,14.5,14.0,14.5,636000000,0,44860,0,44860
2016-07-22,9.39,0.3,2.13,14.4,14.4,14.0,14.0,112000000,0,8030,0,8030
2016-07-25,9.26,-0.2,-1.39,14.2,14.6,14.2,14.5,502000000,0,34500,0,34500
2016-07-26,9.45,0.3,2.11,14.5,14.7,14.2,14.5,1178000000,0,80480,0,80480
2016-07-27,9.72,0.4,2.76,14.9,14.9,14.2,14.9,7000000,0,520,0,520
2016-07-28,9.39,-0.5,-3.36,14.4,14.4,14.3,14.3,0,0,20,0,20
2016-07-29,9.52,0.2,1.39,14.6,14.7,14.2,14.7,109000000,0,7470,0,7470
2016-08-01,9.45,-0.1,-0.68,14.5,15.2,14.2,15.2,295000000,0,20410,0,20410
2016-08-02,9.26,-0.3,-2.07,14.2,14.2,14.2,14.2,0,0,10,0,10
