,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2006Q4,69733.0,4288.0,2236.0,2243.0,2243.0,39125.0,56944.0,18781.0,18490.0,38162.0,0.0,829.0,13273.0,50.66,3.22,11.76,7.88
1,2007Q1,87431.0,5047.0,2808.0,2818.0,2818.0,43486.0,59893.0,24456.0,24147.0,35437.0,0.0,1870.0,12325.0,27.0,3.22,7.66,4.82
2,2007Q2,84390.0,4480.0,2660.0,2664.0,2664.0,44089.0,59887.0,21785.0,21462.0,38102.0,0.0,2855.0,13252.0,14.89,3.16,7.25,4.45
3,2007Q3,87259.0,4845.0,2542.0,2627.0,2627.0,49176.0,64521.0,23792.0,23457.0,40729.0,0.0,3826.0,14166.0,12.02,3.01,6.67,4.22
4,2007Q4,74125.0,5544.0,2703.0,2742.0,2742.0,59762.0,74570.0,31099.0,30754.0,43471.0,0.0,4010.0,15120.0,13.71,3.7,6.51,3.94
5,2008Q1,110117.0,6224.0,3173.0,3275.0,3275.0,56556.0,74586.0,28231.0,27870.0,46355.0,0.0,4179.0,16123.0,7.75,2.97,7.29,4.39
6,2008Q2,105696.0,7932.0,3468.0,3152.0,3152.0,66628.0,83323.0,39454.0,39048.0,43869.0,0.0,4359.0,15258.0,4.91,2.98,6.99,3.99
7,2008Q3,105317.0,8309.0,3971.0,3429.0,3429.0,60921.0,80805.0,36019.0,35637.0,44786.0,0.0,4655.0,16550.0,4.64,3.26,7.73,4.18
8,2008Q4,90011.0,6001.0,3208.0,1785.0,1785.0,44356.0,61826.0,20667.0,20345.0,41159.0,0.0,4302.0,15210.0,4.09,1.98,4.15,2.5
9,2009Q1,60059.0,12721.0,3820.0,3355.0,3355.0,53659.0,70037.0,27470.0,27069.0,42567.0,0.0,4331.0,15731.0,3.53,5.59,8.01,5.09
10,2009Q2,62421.0,14397.0,3914.0,3460.0,3460.0,63471.0,78752.0,32976.0,32565.0,45777.0,0.0,4445.0,16917.0,5.17,5.54,7.83,4.65
11,2009Q3,89069.0,10753.0,3958.0,3465.0,3465.0,73285.0,87513.0,38391.0,37922.0,49122.0,0.0,4459.0,18153.0,6.28,3.89,7.3,4.17
12,2009Q4,145884.0,6173.0,4408.0,3819.0,3819.0,76007.0,92101.0,44867.0,44586.0,47234.0,0.0,5211.0,17455.0,6.45,2.62,7.93,4.25
13,2010Q1,98153.0,10078.0,3912.0,3670.0,3670.0,71222.0,87187.0,36527.0,36272.0,50660.0,0.0,5327.0,18721.0,6.51,3.74,7.51,4.09
14,2010Q2,107086.0,10316.0,3103.0,3076.0,3076.0,79254.0,94455.0,45147.0,44887.0,49307.0,0.0,5185.0,18221.0,6.73,2.87,6.15,3.39
15,2010Q3,94422.0,10576.0,3772.0,3480.0,3480.0,82757.0,97135.0,41401.0,41091.0,55734.0,0.0,5151.0,18390.0,4.91,3.69,6.63,3.63
16,2010Q4,128063.0,13151.0,5839.0,5167.0,5167.0,85784.0,105959.0,45609.0,45429.0,60350.0,0.0,5473.0,19913.0,6.92,4.03,8.9,5.09
17,2011Q1,134115.0,10991.0,5535.0,4888.0,4888.0,95238.0,113455.0,48166.0,47976.0,65289.0,0.0,5753.0,21543.0,5.2,3.64,7.78,4.46
18,2011Q2,131127.0,12068.0,5636.0,4965.0,4965.0,99405.0,116531.0,47712.0,47478.0,68819.0,0.0,6234.0,22707.0,3.21,3.79,7.4,4.32
19,2011Q3,110283.0,15933.0,4726.0,4246.0,4246.0,104177.0,122115.0,49080.0,48772.0,73035.0,0.0,5830.0,16067.0,3.05,3.85,5.99,3.56
20,2011Q4,131152.0,17496.0,5736.0,5268.0,5268.0,105638.0,127976.0,50416.0,50049.0,77560.0,0.0,5231.0,17062.0,2.68,4.02,7.0,4.21
21,2012Q1,140769.0,16676.0,6046.0,4870.0,4870.0,108324.0,128247.0,45772.0,45436.0,82475.0,,4772.0,18143.0,5.97,3.46,6.09,3.8
22,2012Q2,137961.0,16685.0,6519.0,4839.0,4839.0,108646.0,128697.0,54446.0,54021.0,74251.0,,4344.0,16334.0,5.75,3.51,6.17,3.77
23,2012Q3,123596.0,19522.0,6879.0,5343.0,5343.0,114270.0,133686.0,54305.0,54032.0,79381.0,,4470.0,17463.0,5.59,4.32,6.96,4.07
24,2012Q4,137716.0,15700.0,5856.0,4913.0,4913.0,102327.0,126483.0,43737.0,43527.0,82746.0,,4392.0,18203.0,5.19,3.57,6.06,3.78
