,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2006Q4,11630.0,6616.0,8324.0,6853.0,6853.0,137652.0,177432.0,138571.0,47092.0,38703.0,159.0,3426.0,19351.0,16.78,58.92,35.41,7.72
1,2007Q1,10278.0,5753.0,5456.0,5500.0,5493.0,142999.0,194686.0,155994.0,63367.0,38528.0,164.0,6173.0,19264.0,40.5,53.51,14.35,2.95
2,2007Q2,9179.0,5321.0,4086.0,4161.0,4162.0,172308.0,229705.0,187426.0,93446.0,42116.0,162.0,8254.0,20845.0,38.28,45.33,10.32,1.96
3,2007Q3,47297.0,12037.0,10781.0,10973.0,10983.0,230589.0,275993.0,184695.0,91232.0,91146.0,152.0,13746.0,12953.0,7.83,23.2,16.48,4.34
4,2007Q4,49850.0,9934.0,8970.0,5633.0,5602.0,272269.0,311733.0,215173.0,118258.0,96377.0,183.0,12256.0,13752.0,14.12,11.3,5.97,1.91
5,2008Q1,3726.0,3629.0,7677.0,6601.0,6601.0,275260.0,337630.0,232589.0,134985.0,105041.0,0.0,8261.0,14990.0,7.32,177.18,6.53,2.01
6,2008Q2,24919.0,8459.0,12066.0,10309.0,10289.0,311372.0,365044.0,251743.0,151241.0,113083.0,218.0,7389.0,16129.0,3.23,41.37,9.43,2.93
7,2008Q3,10449.0,4184.0,10670.0,9464.0,9464.0,344680.0,405551.0,282311.0,181198.0,123014.0,225.0,5485.0,17480.0,7.53,90.58,8.02,2.46
8,2008Q4,17204.0,3638.0,9342.0,9041.0,9041.0,345073.0,430566.0,298370.0,211465.0,131958.0,237.0,4996.0,14443.0,4.4,52.55,7.09,2.16
9,2009Q1,5553.0,2987.0,5826.0,5245.0,5268.0,337103.0,422877.0,291656.0,210991.0,131013.0,208.0,4496.0,14322.0,4.34,94.46,4.1,1.25
10,2009Q2,8953.0,3794.0,5650.0,5240.0,5263.0,338682.0,429938.0,295471.0,227556.0,134281.0,185.0,3588.0,14642.0,7.58,58.53,3.97,1.23
11,2009Q3,36324.0,6929.0,8653.0,8325.0,8325.0,294004.0,411831.0,268099.0,203755.0,143733.0,0.0,3232.0,15671.0,14.02,22.92,5.99,1.98
12,2009Q4,108503.0,20150.0,19124.0,16750.0,16767.0,207300.0,324068.0,174823.0,127124.0,149106.0,139.0,3915.0,16361.0,11.57,15.44,11.45,4.56
13,2010Q1,3477.0,2632.0,4916.0,2156.0,2326.0,201259.0,334307.0,172264.0,116303.0,162043.0,0.0,3591.0,17773.0,13.09,61.99,1.46,0.71
