Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,SDN,SDN,SDN,SDN,SDN,SDN,SDN,SDN,SDN,SDN,SDN,SDN
date,,,,,,,,,,,,
2006-12-25,14.26,0.0,0.0,70.0,70.0,70.0,70.0,700,0,10,0,10
2006-12-26,14.26,0.0,0.0,70.0,70.0,70.0,70.0,350000,0,5000,0,5000
2006-12-27,14.26,0.0,0.0,70.0,70.0,70.0,70.0,0,0,0,0,0
2006-12-28,14.26,0.0,0.0,70.0,70.0,70.0,70.0,0,0,0,0,0
2006-12-29,13.55,-3.5,-5.0,66.5,70.0,70.0,70.0,665,0,10,0,10
2007-01-02,12.94,-3.0,-4.51,63.5,66.5,63.5,66.5,1000000,0,10,0,10
2007-01-03,12.33,-3.0,-4.72,60.5,60.5,60.5,63.5,0,0,10,0,10
2007-01-04,11.72,-3.0,-4.96,57.5,57.5,57.5,60.5,6000000,0,110,0,110
2007-01-05,11.21,-2.5,-4.35,55.0,57.5,57.5,57.5,0,0,1010,0,1010
2007-01-08,10.7,-2.5,-4.55,52.5,52.5,52.5,55.0,5000000,0,110,0,110
2007-01-09,10.17,-2.6,-4.95,49.9,52.5,49.9,52.5,15000000,0,310,0,310
2007-01-10,9.68,-2.4,-4.81,47.5,47.5,47.5,49.9,1329000000,0,27970,0,27970
2007-01-11,9.27,-2.0,-4.21,45.5,47.5,47.5,47.5,1335000000,0,28710,0,28710
2007-01-12,9.07,-1.0,-2.2,44.5,45.5,46.0,45.5,526000000,0,11700,0,11700
2007-01-15,8.63,-2.1,-4.82,41.5,44.5,44.5,43.6,408000000,0,9660,0,9660
2007-01-16,8.63,0.0,0.0,41.5,41.5,41.5,41.5,181000000,0,4360,0,4360
2007-01-17,8.53,-0.5,-1.2,41.0,42.0,42.0,41.5,200000000,0,4810,0,4810
2007-01-18,8.11,-2.0,-4.88,39.0,39.0,39.0,41.0,217000000,0,5570,0,5570
2007-01-19,7.86,-1.2,-3.08,37.8,39.0,39.0,39.0,99000000,0,2600,0,2600
2007-01-22,7.49,-1.8,-4.76,36.0,37.8,36.0,37.8,176000000,0,4900,0,4900
2007-01-23,7.11,-1.8,-5.0,34.2,34.2,34.2,36.0,219000000,0,6400,0,6400
2007-01-24,6.76,-1.7,-4.97,32.5,32.5,32.5,34.2,336000000,0,10350,0,10350
2007-01-25,7.09,1.6,4.92,34.1,31.0,34.1,32.5,455000000,0,14180,0,14180
2007-01-26,7.44,1.7,4.99,35.8,34.1,35.8,34.1,46000000,0,1280,0,1280
2007-01-29,7.8,1.7,4.75,37.5,37.5,37.5,35.8,82000000,0,2190,0,2190
2007-01-30,8.17,1.8,4.8,39.3,39.3,39.3,37.5,97000000,0,2480,0,2480
2007-01-31,8.57,1.9,4.83,41.2,39.3,41.2,39.3,204000000,0,2040,0,2040
2007-02-01,8.98,2.0,4.85,43.2,43.2,43.2,41.2,717000000,0,7170,0,7170
2007-02-02,9.21,1.1,2.55,44.3,43.2,44.3,43.2,233000000,0,2330,0,2330
2007-02-05,8.8,-2.0,-4.51,42.3,42.3,43.2,44.3,218000000,0,5140,0,5140
2007-02-06,8.36,-2.1,-4.96,40.2,40.2,41.0,42.3,177000000,0,4370,0,4370
2007-02-07,8.73,1.8,4.48,42.0,42.0,42.0,40.2,391000000,0,9580,0,9580
2007-02-08,9.05,1.5,3.57,43.5,43.5,44.1,42.0,258000000,0,5880,0,5880
2007-02-09,9.05,0.0,0.0,43.5,43.5,43.5,43.5,35000000,0,800,0,800
2007-02-12,9.05,0.0,0.0,43.5,44.0,44.0,43.5,359000000,0,8220,0,8220
2007-02-13,9.15,0.5,1.15,44.0,44.0,44.0,43.5,205000000,0,4680,0,4680
2007-02-14,8.8,-1.7,-3.86,42.3,42.3,45.0,44.0,189000000,0,4300,0,4300
2007-02-15,9.15,1.7,4.02,44.0,44.0,44.0,42.3,128000000,0,2960,0,2960
2007-02-26,9.61,2.2,5.0,46.2,46.2,46.2,44.0,173000000,0,3800,0,3800
2007-02-27,10.09,2.3,4.98,48.5,48.5,48.5,46.2,494000000,0,10180,0,10180
2007-02-28,10.5,2.0,4.12,50.5,50.5,50.5,48.5,489000000,0,9680,0,9680
2007-03-01,10.5,0.0,0.0,50.5,50.5,51.0,50.5,498000000,0,9820,0,9820
2007-03-02,9.98,-2.5,-4.95,48.0,48.0,48.0,50.5,554000000,0,11540,0,11540
2007-03-05,10.4,2.0,4.17,50.0,50.0,50.0,48.0,516000000,0,10570,0,10570
2007-03-06,10.92,2.5,5.0,52.5,52.5,52.5,50.0,1539000000,0,30010,0,30010
2007-03-07,11.44,2.5,4.76,55.0,54.0,55.0,52.5,1079000000,0,19680,0,19680
2007-03-08,11.96,2.5,4.55,57.5,57.0,57.5,55.0,602000000,0,10550,0,10550
2007-03-09,12.48,2.5,4.35,60.0,60.0,60.0,57.5,1923000000,0,32050,0,32050
2007-03-12,13.1,3.0,5.0,63.0,63.0,63.0,60.0,1274000000,0,20230,0,20230
2007-03-13,13.73,3.0,4.76,66.0,66.0,66.0,63.0,1296000000,0,19700,0,19700
2007-03-14,13.1,-3.0,-4.55,63.0,63.0,69.0,66.0,1400000000,0,20970,0,20970
2007-03-15,12.48,-3.0,-4.76,60.0,63.0,63.0,63.0,82000000,0,1360,0,1360
2007-03-16,11.85,-3.0,-5.0,57.0,57.0,57.0,60.0,576000000,0,10110,0,10110
2007-03-19,12.37,2.5,4.39,59.5,57.0,59.5,57.0,444000000,0,7580,0,7580
2007-03-20,12.37,0.0,0.0,59.5,59.5,59.5,59.5,488000000,0,8210,0,8210
