Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,SFI,SFI,SFI,SFI,SFI,SFI,SFI,SFI,SFI,SFI,SFI,SFI
date,,,,,,,,,,,,
2006-12-29,4.46,0.0,0.0,110.0,110.0,110.0,110.0,787600,0,7160,0,7160
2007-01-02,4.66,0.0,0.0,115.0,115.0,115.0,115.0,7401000000,0,64360,0,64360
2007-01-03,4.86,5.0,4.35,120.0,120.0,120.0,120.0,0,0,37390,0,37390
2007-01-04,5.1,6.0,5.0,126.0,126.0,126.0,126.0,1089000000,0,8640,0,8640
2007-01-05,5.35,6.0,4.76,132.0,132.0,132.0,132.0,0,0,14300,0,14300
2007-01-08,5.59,6.0,4.55,138.0,138.0,138.0,138.0,1118000000,0,39820,0,39820
2007-01-09,5.83,6.0,4.35,144.0,144.0,144.0,144.0,4317000000,0,29980,0,29980
2007-01-10,6.12,7.0,4.86,151.0,151.0,151.0,151.0,12744000000,0,84400,0,84400
2007-01-11,6.4,7.0,4.64,158.0,158.0,158.0,158.0,4287000000,0,27130,0,27130
2007-01-12,6.68,7.0,4.43,165.0,165.0,165.0,165.0,1525000000,0,9240,0,9240
2007-01-15,6.48,-5.0,-3.03,160.0,165.0,157.0,165.0,6009000000,0,37480,0,37480
2007-01-16,6.4,-2.0,-1.25,158.0,160.0,158.0,160.0,8160000000,0,51300,0,51300
2007-01-17,6.12,-7.0,-4.43,151.0,158.0,151.0,158.0,12410000000,0,80570,0,80570
2007-01-18,6.4,7.0,4.64,158.0,158.0,151.0,151.0,4922000000,0,32210,0,32210
2007-01-19,6.68,7.0,4.43,165.0,165.0,165.0,165.0,8519000000,0,51630,0,51630
2007-01-22,6.36,-8.0,-4.85,157.0,165.0,157.0,165.0,5700000000,0,35520,0,35520
2007-01-23,6.48,3.0,1.91,160.0,160.0,155.0,155.0,5663000000,0,35930,0,35930
2007-01-24,6.44,-1.0,-0.63,159.0,167.0,159.0,167.0,3606000000,0,21890,0,21890
2007-01-25,6.44,0.0,0.0,159.0,159.0,159.0,159.0,2317000000,0,14570,0,14570
2007-01-26,6.48,1.0,0.63,160.0,160.0,155.0,51.5,1842000000,0,11680,0,11680
2007-01-29,6.76,7.0,4.38,167.0,167.0,165.0,167.0,6778000000,0,40800,0,40800
2007-01-30,7.09,8.0,4.79,175.0,175.0,175.0,175.0,2571000000,0,14690,0,14690
2007-01-31,7.41,8.0,4.57,183.0,183.0,183.0,175.0,3120000000,0,31200,0,31200
2007-02-01,7.41,0.0,0.0,183.0,192.0,183.0,192.0,4428000000,0,44280,0,44280
2007-02-02,7.05,-9.0,-4.92,174.0,174.0,174.0,183.0,3471000000,0,34710,0,34710
2007-02-05,6.89,-4.0,-2.3,170.0,174.0,170.0,170.0,5938000000,0,34540,0,34540
2007-02-06,6.89,0.0,0.0,170.0,172.0,170.0,170.0,3916000000,0,22960,0,22960
2007-02-07,7.21,8.0,4.71,178.0,178.0,176.0,178.0,3963000000,0,22330,0,22330
2007-02-08,6.89,-8.0,-4.49,170.0,186.0,170.0,170.0,4327000000,0,23870,0,23870
2007-02-09,6.89,0.0,0.0,170.0,170.0,162.0,170.0,5845000000,0,35230,0,35230
2007-02-12,7.21,8.0,4.71,178.0,178.0,178.0,178.0,3286000000,0,18460,0,18460
2007-02-13,7.53,8.0,4.49,186.0,186.0,186.0,186.0,5000000000,0,26880,0,26880
2007-02-14,7.9,9.0,4.84,195.0,195.0,195.0,195.0,6423000000,0,32940,0,32940
2007-02-15,8.26,9.0,4.62,204.0,204.0,204.0,204.0,7146000000,0,35030,0,35030
2007-02-26,8.67,10.0,4.93,213.0,213.0,210.0,213.0,1669000000,0,7910,0,7910
2007-02-27,9.08,10.0,4.69,223.0,223.0,221.0,223.0,1610000000,0,7260,0,7260
2007-02-28,9.52,11.0,4.93,234.0,234.0,234.0,234.0,6580000000,0,28120,0,28120
2007-03-01,9.2,-8.0,-3.42,226.0,245.0,226.0,226.0,6821000000,0,28130,0,28130
2007-03-02,9.36,4.0,1.77,230.0,230.0,226.0,226.0,4299000000,0,18840,0,18840
2007-03-05,9.81,11.0,4.78,241.0,241.0,241.0,241.0,7652000000,0,31750,0,31750
2007-03-06,9.81,0.0,0.0,241.0,241.0,241.0,241.0,3309000000,0,13730,0,13730
2007-03-07,9.32,-12.0,-4.98,229.0,241.0,229.0,241.0,449000000,0,1930,0,1930
2007-03-08,8.87,-11.0,-4.8,218.0,220.0,218.0,220.0,1744000000,0,7990,0,7990
2007-03-09,8.87,0.0,0.0,218.0,218.0,218.0,218.0,3976000000,0,18240,0,18240
2007-03-12,9.28,10.0,4.59,228.0,228.0,228.0,228.0,3919000000,0,17190,0,17190
2007-03-13,8.83,-11.0,-4.82,217.0,228.0,217.0,217.0,1773000000,0,8030,0,8030
2007-03-14,8.43,-10.0,-4.61,207.0,207.0,207.0,207.0,1948000000,0,9410,0,9410
2007-03-15,8.02,-10.0,-4.83,197.0,199.0,197.0,199.0,2063000000,0,10410,0,10410
2007-03-16,8.38,9.0,4.57,206.0,206.0,188.0,188.0,2693000000,0,13660,0,13660
2007-03-19,8.02,-9.0,-4.37,197.0,215.0,197.0,215.0,2710000000,0,13290,0,13290
2007-03-20,8.02,0.0,0.0,197.0,204.0,197.0,200.0,3574000000,0,17740,0,17740
2007-03-21,7.94,-2.0,-1.02,195.0,195.0,190.0,195.0,2468000000,0,12770,0,12770
2007-03-22,7.94,0.0,0.0,195.0,195.0,191.0,191.0,3268000000,0,16850,0,16850
2007-03-23,7.94,0.0,0.0,195.0,195.0,195.0,195.0,2036000000,0,10440,0,10440
2007-03-26,8.02,2.0,1.03,197.0,197.0,195.0,195.0,5575000000,0,28370,0,28370
2007-03-27,7.65,-9.0,-4.57,188.0,195.0,188.0,195.0,1575000000,0,8120,0,8120
2007-03-28,7.33,-8.0,-4.26,180.0,180.0,179.0,179.0,1894000000,0,10560,0,10560
2007-03-29,7.69,9.0,5.0,189.0,189.0,189.0,189.0,2353000000,0,12450,0,12450
2007-03-30,7.69,0.0,0.0,189.0,197.0,189.0,197.0,3344000000,0,17100,0,17100
2007-04-02,7.33,-9.0,-4.76,180.0,189.0,180.0,189.0,2521000000,0,13540,0,13540
2007-04-03,7.33,0.0,0.0,180.0,180.0,175.0,175.0,1128000000,0,6360,0,6360
2007-04-04,7.12,-5.0,-2.78,175.0,179.0,175.0,179.0,2777000000,0,15740,0,15740
2007-04-05,7.2,2.0,1.14,177.0,180.0,177.0,179.0,1490000000,0,8330,0,8330
2007-04-06,6.92,-7.0,-3.95,170.0,170.0,169.0,169.0,2342000000,0,13840,0,13840
2007-04-09,6.88,-1.0,-0.59,169.0,174.0,169.0,174.0,699000000,0,4080,0,4080
2007-04-10,7.2,8.0,4.73,177.0,177.0,175.0,175.0,3925000000,0,22280,0,22280
2007-04-11,7.53,8.0,4.52,185.0,185.0,185.0,185.0,10763000000,0,58180,0,58180
2007-04-12,7.41,-3.0,-1.62,182.0,194.0,182.0,194.0,16997000000,0,88270,0,88270
2007-04-13,7.49,2.0,1.1,184.0,184.0,182.0,182.0,2161000000,0,11840,0,11840
2007-04-16,7.12,-9.0,-4.89,175.0,175.0,175.0,175.0,1614000000,0,9220,0,9220
2007-04-17,6.92,-5.0,-2.86,170.0,175.0,167.0,167.0,3028000000,0,17990,0,17990
2007-04-18,7.24,8.0,4.71,178.0,178.0,175.0,175.0,976000000,0,5520,0,5520
2007-04-19,6.92,-8.0,-4.49,170.0,183.0,170.0,183.0,4007000000,0,22980,0,22980
2007-04-20,7.04,3.0,1.76,173.0,173.0,170.0,170.0,1452000000,0,8460,0,8460
2007-04-23,6.92,-3.0,-1.73,170.0,173.0,170.0,173.0,2167000000,0,12630,0,12630
