,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2012Q3,22660.0,14451.0,10411.0,12751.0,11881.0,276138.0,917937.0,437353.0,437232.0,480026.0,559.0,297.0,12001.0,36.02,56.27,4.95,2.59
1,2012Q4,26277.0,2105.0,34281.0,34777.0,34102.0,231327.0,864459.0,349104.0,348983.0,514120.0,1235.0,1150.0,12853.0,11.83,132.35,6.86,3.83
2,2013Q1,199.0,161.0,23693.0,27862.0,27988.0,163744.0,594269.0,108849.0,108849.0,484301.0,1119.0,1849.0,12108.0,7.9,14015.07,5.59,3.83
3,2013Q2,8262.0,2951.0,-6080.0,-8383.0,-8293.0,144471.0,763215.0,278174.0,131674.0,475971.0,9070.0,1642.0,11899.0,9.07,-101.47,-1.73,-1.22
4,2013Q3,17720.0,1752.0,15646.0,-14636.0,-14449.0,373670.0,730206.0,261485.0,136845.0,459837.0,8883.0,984.0,11496.0,15.25,-82.6,-3.09,-1.94
5,2013Q4,10720.0,3330.0,-5062.0,-4930.0,-4552.0,530595.0,901675.0,134261.0,54761.0,758908.0,8506.0,17.0,13002.0,1011.34,-45.98,-0.75,-0.56
6,2014Q1,12907.0,4244.0,569.0,2534.0,2258.0,525763.0,896427.0,126479.0,46979.0,761166.0,8782.0,-551.0,13040.0,-33.91,19.63,0.3,0.25
7,2014Q2,14156.0,3812.0,3315.0,4455.0,4528.0,533155.0,905946.0,131543.0,57791.0,765694.0,8708.0,-245.0,13118.0,-71.93,31.47,0.59,0.5
8,2014Q3,12062.0,3956.0,2704.0,2699.0,2784.0,571707.0,954893.0,163753.0,59782.0,768727.0,22412.0,92.0,13170.0,236.64,22.38,0.36,0.3
9,2014Q4,47153.0,10346.0,4387.0,4878.0,3921.0,509441.0,1026084.0,223976.0,101248.0,772400.0,29709.0,231.0,13233.0,105.13,10.34,0.51,0.4
10,2015Q1,18900.0,5626.0,686.0,1085.0,867.0,487725.0,1026737.0,214451.0,65223.0,773266.0,39020.0,207.0,13248.0,113.36,5.74,0.11,0.08
11,2015Q2,15424.0,4614.0,2833.0,2894.0,2829.0,386257.0,1121776.0,297894.0,146684.0,823882.0,,178.0,14115.0,154.33,18.76,0.35,0.26
12,2015Q3,398869.0,146040.0,139350.0,109230.0,94510.0,983840.0,1967985.0,1034873.0,780987.0,933112.0,,1750.0,15986.0,19.83,27.38,10.76,6.12
13,2015Q4,158668.0,24085.0,27796.0,23747.0,23247.0,892834.0,2891799.0,1619248.0,229486.0,1272551.0,,2081.0,21801.0,12.93,14.97,2.11,0.96
