,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2006Q4,37880.0,3892.0,962.0,866.0,866.0,35490.0,40988.0,11904.0,11841.0,29084.0,0.0,433.0,14542.0,78.52,2.29,5.96,4.23
1,2007Q1,27761.0,3116.0,1088.0,979.0,979.0,35610.0,40951.0,11166.0,11129.0,29785.0,0.0,923.0,14893.0,55.82,3.53,3.34,2.39
2,2007Q2,35596.0,3986.0,1881.0,1693.0,1693.0,44748.0,49773.0,18295.0,18295.0,31478.0,0.0,1769.0,15739.0,26.0,4.76,5.53,3.73
3,2007Q3,44009.0,4097.0,1716.0,1544.0,1544.0,62443.0,67249.0,33560.0,33560.0,33689.0,0.0,2541.0,16844.0,16.92,3.51,4.74,2.64
4,2007Q4,38187.0,4234.0,1605.0,1601.0,1601.0,80897.0,87068.0,12601.0,12601.0,74467.0,0.0,2719.0,21276.0,14.34,4.19,2.96,2.08
5,2008Q1,22902.0,2718.0,1548.0,1364.0,1364.0,80174.0,91053.0,20337.0,20337.0,70716.0,0.0,2491.0,20205.0,11.08,5.96,1.95,1.55
6,2008Q2,39009.0,2999.0,-1913.0,3073.0,3073.0,86484.0,97231.0,24766.0,24766.0,72465.0,0.0,2662.0,20704.0,7.14,7.88,4.29,3.26
7,2008Q3,47143.0,7102.0,5781.0,5525.0,5525.0,86728.0,97488.0,20569.0,20569.0,76920.0,0.0,3567.0,21977.0,4.71,11.72,7.4,5.67
8,2008Q4,55247.0,4531.0,3732.0,3376.0,3376.0,81587.0,94289.0,14565.0,14344.0,79725.0,0.0,3811.0,22778.0,3.2,6.11,4.31,3.52
9,2009Q1,46279.0,6214.0,2449.0,2002.0,2002.0,77320.0,90526.0,17150.0,17083.0,73376.0,0.0,4033.0,20965.0,3.52,4.33,2.77,2.25
10,2009Q2,28887.0,2459.0,2270.0,1816.0,1816.0,75055.0,95315.0,20123.0,20123.0,75192.0,0.0,3705.0,21484.0,4.7,6.29,2.44,1.95
11,2009Q3,38063.0,6192.0,3799.0,3063.0,3063.0,95781.0,117607.0,39352.0,39352.0,78256.0,0.0,3022.0,22359.0,7.78,8.05,3.99,2.88
12,2009Q4,45328.0,4427.0,4011.0,3505.0,3505.0,78993.0,109284.0,27523.0,23773.0,81761.0,0.0,3095.0,23360.0,7.24,7.73,4.38,3.09
13,2010Q1,38263.0,7710.0,4599.0,3449.0,3449.0,64053.0,97273.0,20021.0,20021.0,77252.0,0.0,3526.0,22072.0,7.12,9.01,4.57,3.39
14,2010Q2,46234.0,8173.0,4084.0,3063.0,3063.0,63212.0,105877.0,25562.0,25562.0,80315.0,0.0,3898.0,22947.0,6.29,6.63,3.89,3.02
15,2010Q3,45190.0,4799.0,2936.0,2202.0,2202.0,59207.0,109467.0,26949.0,26949.0,82518.0,0.0,3641.0,23576.0,7.03,4.87,2.7,2.05
16,2010Q4,66475.0,3395.0,2410.0,1792.0,1792.0,50029.0,114993.0,27084.0,27084.0,87909.0,0.0,3096.0,25117.0,7.56,2.7,2.1,1.6
17,2011Q1,38184.0,6323.0,3589.0,2697.0,2697.0,40471.0,108736.0,26352.0,26352.0,82385.0,0.0,2846.0,23538.0,9.38,7.06,3.34,2.45
18,2011Q2,51225.0,6965.0,2801.0,2118.0,2118.0,63157.0,139828.0,55325.0,55325.0,84503.0,0.0,2544.0,24144.0,8.96,4.14,2.54,1.7
