Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
Symbols,SKG,SKG,SKG,SKG,SKG,SKG,SKG,SKG,SKG,SKG,SKG,SKG
date,,,,,,,,,,,,
2014-07-08,5.8,20.0,34.8,34.8,34.8,34.8,2680,0,7.06,93264000,0,2680
2014-07-09,2.4,6.9,37.2,37.2,37.2,37.2,100,513963,7.55,3720000,16652401000,514063
2014-07-10,2.6,6.99,39.8,39.8,39.8,39.8,2640,0,8.07,105072000,0,2640
2014-07-11,2.7,6.78,42.5,42.5,42.5,42.5,21660,0,8.62,920550000,0,21660
2014-07-14,-2.4,-5.65,45.4,45.4,39.7,40.1,6870,0,8.13,301096000,0,6870
2014-07-15,2.8,6.98,42.9,42.9,42.8,42.9,8860,0,8.7,380024000,0,8860
2014-07-16,2.9,6.76,45.9,45.9,45.4,45.8,17270,0,9.29,789286000,0,17270
2014-07-17,0.2,0.44,46.0,46.0,44.8,46.0,2360,0,9.33,107758000,0,2360
2014-07-18,2.0,4.35,49.0,49.0,46.0,48.0,4950,0,9.74,233000000,0,4950
2014-07-21,1.3,2.71,45.3,50.0,45.3,49.3,13880,0,10.0,679000000,0,13880
2014-07-22,-0.5,-1.01,49.9,49.9,47.5,48.8,2340,0,9.9,113000000,0,2340
2014-07-23,0.0,0.0,49.0,49.0,48.0,48.8,2380,0,9.9,115000000,0,2380
2014-07-24,-3.0,-6.15,48.2,49.0,45.8,45.8,10370,0,9.29,489985000,0,10370
2014-07-25,-0.1,-0.22,47.0,47.0,43.5,45.7,5270,0,9.27,238000000,0,5270
2014-07-28,0.0,0.0,45.3,46.0,42.6,45.7,3280,0,9.27,147000000,0,3280
2014-07-29,0.1,0.22,46.0,46.0,43.0,45.8,5180,0,9.29,228000000,0,5180
2014-07-30,0.2,0.44,46.0,46.0,45.0,46.0,3190,0,9.33,146000000,0,3190
2014-07-31,-0.3,-0.65,46.0,46.7,45.2,45.7,3910,0,9.27,179000000,0,3910
2014-08-01,0.3,0.66,45.8,46.0,45.0,46.0,2270,0,9.33,103000000,0,2270
2014-08-04,1.2,2.61,45.9,47.2,45.9,47.2,9860,0,9.57,457000000,0,9860
2014-08-05,1.6,3.39,46.7,49.0,46.7,48.8,15420,0,9.9,738000000,0,15420
2014-08-06,-1.3,-2.66,48.8,48.8,47.0,47.5,3250,0,9.63,156000000,0,3250
2014-08-07,0.3,0.63,47.8,47.8,47.8,47.8,760,0,9.7,36000000,0,760
2014-08-08,-0.4,-0.84,46.6,48.0,46.5,47.4,1790,0,9.61,84000000,0,1790
2014-08-11,0.9,1.9,47.9,48.3,46.6,48.3,8400,0,9.8,396000000,0,8400
2014-08-12,-0.3,-0.62,47.1,48.0,46.0,48.0,3550,0,9.74,167000000,0,3550
2014-08-13,-0.4,-0.83,48.0,48.0,46.0,47.6,3320,0,9.65,155000000,0,3320
2014-08-14,0.0,0.0,47.5,47.6,47.1,47.6,1140,0,9.65,53750000,0,1140
2014-08-15,-1.6,-3.36,46.0,47.5,46.0,46.0,860,0,9.33,40000000,0,860
2014-08-18,1.0,2.17,46.0,47.3,46.0,47.0,4770,0,9.53,221000000,0,4770
2014-08-19,-0.4,-0.85,46.6,46.6,46.6,46.6,200,0,9.45,9000000,0,200
2014-08-20,-2.0,-4.29,45.6,45.7,44.6,44.6,10570,0,9.05,477000000,0,10570
2014-08-21,0.9,2.02,45.4,45.5,44.8,45.5,1550,0,9.23,69000000,0,1550
2014-08-22,0.0,0.0,45.8,45.9,44.5,45.5,12400,0,9.23,558470000,0,12400
2014-08-25,-0.7,-1.54,45.5,45.5,44.5,44.8,8370,0,9.09,377000000,0,8370
2014-08-26,0.1,0.22,45.7,46.2,44.0,44.9,11220,0,9.11,497000000,0,11220
2014-08-27,-0.7,-1.56,44.0,44.4,43.0,44.2,12060,0,8.97,522060000,0,12060
2014-08-28,0.7,1.58,44.3,44.9,44.0,44.9,2190,0,9.11,96850000,0,2190
2014-08-29,0.0,0.0,44.2,44.9,43.6,44.9,4600,0,9.11,201000000,0,4600
2014-09-03,-0.2,-0.45,44.9,44.9,44.7,44.7,7870,0,9.07,352000000,0,7870
2014-09-04,1.0,2.24,46.3,47.5,44.8,45.7,32700,0,9.27,1493000000,0,32700
2014-09-05,-0.1,-0.22,46.4,46.4,45.0,45.6,13480,0,9.25,617000000,0,13480
2014-09-08,1.2,2.63,46.6,46.8,45.8,46.8,10300,0,9.49,476730000,0,10300
2014-09-09,-1.0,-2.14,46.0,46.0,45.7,45.8,15060,0,9.29,690150000,0,15060
2014-09-10,0.0,0.0,45.0,45.8,45.0,45.8,32290,0,9.29,1472216000,0,32290
2014-09-11,0.5,1.09,45.8,46.4,45.8,46.3,3440,0,9.39,157870000,0,3440
2014-09-12,0.7,1.51,46.3,48.5,46.3,47.0,36320,0,9.53,1712321000,0,36320
2014-09-15,1.0,2.13,48.0,48.1,47.2,48.0,19740,0,9.74,943090000,0,19740
2014-09-16,-4.9,-10.21,41.0,43.1,41.0,43.1,20230,0,10.22,857741000,0,20230
2014-09-17,-0.1,-0.23,43.2,44.0,42.0,43.0,4350,0,10.2,185260000,0,4350
2014-09-18,-1.1,-2.56,42.9,42.9,41.0,41.9,9910,0,9.93,413938000,0,9910
2014-09-19,-0.3,-0.72,40.3,41.6,40.3,41.6,2530,0,9.86,102739000,0,2530
2014-09-22,0.7,1.68,41.0,42.3,41.0,42.3,3230,0,10.03,133821000,0,3230
2014-09-23,-1.3,-3.07,41.6,42.2,41.0,41.0,4140,0,9.72,171358000,0,4140
2014-09-24,0.1,0.24,41.0,42.0,41.0,41.1,2760,0,9.74,113282000,0,2760
2014-09-25,0.0,0.0,41.1,41.5,41.0,41.1,8710,0,9.74,357679000,0,8710
2014-09-26,0.8,1.95,41.9,41.9,41.0,41.9,3100,0,9.93,127974000,0,3100
2014-09-29,-0.1,-0.24,41.7,41.8,41.6,41.8,1630,0,9.91,67900000,0,1630
2014-09-30,0.2,0.48,41.5,42.0,41.5,42.0,490,0,9.96,20460000,0,490
2014-10-01,2.0,4.76,42.0,44.6,42.0,44.0,44420,0,10.43,1892260000,0,44420
2014-10-02,0.5,1.14,44.5,44.5,42.5,44.5,4070,0,10.55,179830000,0,4070
2014-10-03,-1.5,-3.37,42.6,44.0,42.6,43.0,6690,0,10.2,286750000,0,6690
2014-10-06,1.1,2.56,42.1,46.0,42.1,44.1,5030,0,10.46,217640000,0,5030
2014-10-07,1.9,4.31,44.5,46.0,44.5,46.0,610,0,10.91,27310000,0,610
2014-10-08,-1.2,-2.61,46.0,46.0,43.6,44.8,5760,0,10.62,264620000,0,5760
2014-10-09,-0.6,-1.34,44.8,44.8,43.5,44.2,4210,0,10.48,185630000,0,4210
2014-10-10,-0.6,-1.36,43.2,44.0,43.2,43.6,3170,0,10.34,138360000,0,3170
2014-10-13,0.4,0.92,44.0,45.8,43.6,44.0,3110,0,10.43,136286000,0,3110
2014-10-14,0.6,1.36,43.6,44.6,43.1,44.6,6870,0,10.57,298767000,0,6870
2014-10-15,-1.0,-2.24,44.0,44.0,43.0,43.6,27770,0,10.34,1200478000,0,27770
2014-10-16,-1.4,-3.21,44.0,45.8,42.0,42.2,10580,0,10.01,453403000,0,10580
2014-10-17,2.6,6.16,45.0,45.0,43.9,44.8,1970,0,10.62,87377000,0,1970
2014-10-20,1.9,4.24,44.8,47.0,44.0,46.7,121670,0,11.07,5550844000,0,121670
2014-10-21,2.2,4.71,47.0,49.2,47.0,48.9,134480,0,11.59,6488320000,0,134480
2014-10-22,-0.8,-1.64,48.9,49.8,47.3,48.1,30760,0,11.4,1486479000,0,30760
2014-10-23,-0.4,-0.83,48.1,49.2,46.0,47.7,27300,0,11.31,1275424000,0,27300
2014-10-24,-1.6,-3.35,46.0,47.7,45.6,46.1,25370,0,10.93,1169333000,0,25370
2014-10-27,-0.8,-1.74,46.9,46.9,44.6,45.3,16540,0,10.74,747883000,0,16540
2014-10-28,-0.8,-1.77,47.0,47.0,44.4,44.5,10210,0,10.55,459707000,0,10210
2014-10-29,1.1,2.47,44.5,45.8,44.5,45.6,12920,0,10.81,585584000,0,12920
2014-10-30,0.3,0.66,46.9,46.9,45.0,45.9,1790,0,10.88,81483000,0,1790
2014-10-31,-0.1,-0.22,44.6,45.9,44.6,45.8,25630,0,10.86,1154575000,0,25630
2014-11-03,-1.1,-2.4,45.6,46.2,44.7,44.7,19740,0,10.6,887557000,0,19740
2014-11-04,-0.6,-1.34,45.4,45.4,44.0,44.1,18270,0,10.46,808145000,0,18270
2014-11-05,0.5,1.13,45.5,45.5,44.0,44.6,11660,0,10.57,513802000,0,11660
2014-11-06,0.0,0.0,44.5,46.0,44.5,44.6,17080,0,10.57,762173000,0,17080
2014-11-07,1.0,2.24,44.6,45.9,44.5,45.6,7060,0,10.81,316485000,0,7060
2014-11-10,0.4,0.88,45.9,46.0,45.1,46.0,11880,0,10.91,542260000,0,11880
2014-11-11,-0.1,-0.22,46.0,46.0,45.0,45.9,22340,0,10.88,1015889000,0,22340
2014-11-12,-0.9,-1.96,45.0,45.8,44.0,45.0,55470,0,10.67,2478597000,0,55470
2014-11-13,0.3,0.67,45.0,45.5,44.8,45.3,3830,0,10.74,171939000,0,3830
2014-11-14,-0.3,-0.66,45.3,45.5,44.9,45.0,20880,0,10.67,941245000,0,20880
2014-11-17,-0.7,-1.56,45.7,45.7,44.2,44.3,61580,0,10.5,2728420000,0,61580
2014-11-18,0.6,1.35,45.0,45.7,44.0,44.9,42410,0,10.65,1872261000,0,42410
2014-11-19,0.1,0.22,44.9,45.0,44.7,45.0,3740,0,10.67,167871000,0,3740
2014-11-20,0.0,0.0,44.8,45.2,44.3,45.0,17410,0,10.67,780350000,0,17410
2014-11-21,-1.2,-2.67,45.0,45.0,43.8,43.8,72300,0,10.38,3181700000,0,72300
2014-11-24,-0.8,-1.83,44.0,45.0,43.0,43.0,12230,0,10.2,527030000,0,12230
2014-11-25,0.2,0.47,43.0,44.9,43.0,43.2,59680,0,10.24,2569730000,0,59680
2014-11-26,0.3,0.69,44.9,44.9,43.0,43.5,40190,0,10.31,1747470000,0,40190
2014-11-27,0.0,0.0,44.0,44.4,43.0,43.5,26640,0,10.31,1150860000,0,26640
2014-11-28,0.9,2.07,44.0,44.5,43.0,44.4,37820,0,10.53,1644850000,0,37820
2014-12-01,-0.9,-2.03,44.0,44.2,43.5,43.5,11740,0,10.31,512020000,0,11740
2014-12-02,-1.0,-2.3,43.5,43.5,42.5,42.5,62900,0,10.08,2715970000,0,62900
2014-12-03,0.7,1.65,42.6,43.5,42.6,43.2,30110,0,10.24,1296260000,0,30110
2014-12-04,0.0,0.0,43.0,43.6,43.0,43.2,35930,0,10.24,1559580000,0,35930
2014-12-05,0.8,1.85,43.2,44.0,43.2,44.0,12250,0,10.43,534530000,0,12250
2014-12-08,-1.2,-2.73,44.0,44.0,42.8,42.8,25510,0,10.15,1094750000,0,25510
2014-12-09,-2.8,-6.54,43.6,43.9,39.9,40.0,76620,0,9.48,3124710000,0,76620
2014-12-10,2.5,6.25,41.0,42.5,40.0,42.5,31200,0,10.08,1278390000,0,31200
2014-12-11,-0.5,-1.18,42.5,43.5,41.8,42.0,45270,0,9.96,1910960000,0,45270
2014-12-12,0.3,0.71,42.0,42.3,42.0,42.3,10720,0,10.03,450376000,0,10720
2014-12-15,-0.3,-0.71,43.0,43.0,42.0,42.0,10730,0,9.96,452760000,0,10730
2014-12-16,-1.4,-3.33,42.0,42.0,40.5,40.6,47350,0,9.63,1930440000,0,47350
2014-12-17,0.4,0.99,41.9,42.0,39.5,41.0,24780,0,9.72,991630000,0,24780
2014-12-18,0.4,0.98,41.9,41.9,41.4,41.4,37730,0,9.82,1568650000,0,37730
2014-12-19,0.0,0.0,41.0,41.4,40.0,41.4,3520,0,9.82,142730000,0,3520
2014-12-22,0.5,1.21,41.3,42.0,41.3,41.9,26430,0,9.93,1097390000,0,26430
2014-12-23,0.1,0.24,42.0,42.0,41.9,42.0,35720,0,9.96,1499140000,0,35720
2014-12-24,1.5,3.57,42.0,44.0,42.0,43.5,75160,0,10.31,3213330000,0,75160
2014-12-25,-0.3,-0.69,44.3,44.4,43.0,43.2,31890,0,10.24,1401710000,0,31890
2014-12-26,-0.1,-0.23,42.5,43.8,42.5,43.1,24750,0,10.22,1069640000,0,24750
2014-12-29,-0.1,-0.23,43.5,43.5,42.7,43.0,16150,0,10.2,693714000,0,16150
2014-12-30,0.5,1.16,43.1,43.5,42.0,43.5,16630,0,10.31,705480000,0,16630
2014-12-31,0.5,1.15,43.4,45.5,43.4,44.0,7800,0,10.43,341080000,0,7800
2015-01-05,0.4,0.91,43.5,45.0,43.5,44.4,23000,0,10.53,1015844000,0,23000
2015-01-06,0.1,0.23,44.0,45.0,44.0,44.5,14960,0,10.55,664661000,0,14960
2015-01-07,1.5,3.37,44.9,47.4,44.5,46.0,65870,0,10.91,2982738000,0,65870
2015-01-08,2.4,5.22,46.8,48.5,46.5,48.4,116650,0,11.48,5570878000,0,116650
2015-01-09,0.1,0.21,48.7,48.7,48.0,48.5,11450,0,11.5,554660000,0,11450
2015-01-12,-0.4,-0.82,48.5,48.5,47.5,48.1,53050,0,11.4,2561196000,0,53050
2015-01-13,0.2,0.42,47.9,48.3,47.5,48.3,28260,0,11.45,1358378000,0,28260
2015-01-14,-0.3,-0.62,48.0,48.0,47.5,48.0,30440,0,11.38,1455797000,0,30440
2015-01-15,-0.1,-0.21,47.5,48.0,47.5,47.9,8260,0,11.36,395859000,0,8260
2015-01-16,0.1,0.21,47.9,48.0,47.5,48.0,32580,0,11.38,1553228000,0,32580
2015-01-19,0.1,0.21,48.0,48.3,47.5,48.1,44990,0,11.4,2154743000,0,44990
2015-01-20,-0.1,-0.21,47.6,48.0,47.5,48.0,15840,0,11.38,753775000,0,15840
2015-01-21,-0.5,-1.04,47.8,47.8,47.5,47.5,17360,0,11.26,826271000,0,17360
2015-01-22,0.0,0.0,47.9,47.9,47.0,47.5,7760,0,11.26,365688000,0,7760
2015-01-23,-0.2,-0.42,47.5,47.5,45.8,47.3,34770,0,11.21,1618358000,0,34770
2015-01-26,-0.5,-1.06,46.9,47.3,46.5,46.8,51110,0,11.1,2392103000,0,51110
2015-01-27,0.1,0.21,47.0,47.0,46.1,46.9,59120,0,11.12,2769617000,0,59120
2015-01-28,0.1,0.21,47.0,47.3,46.9,47.0,61830,0,11.14,2908639000,0,61830
2015-01-29,-0.1,-0.21,47.0,47.1,46.9,46.9,5390,0,11.12,253432000,0,5390
2015-01-30,0.0,0.0,46.5,46.9,46.5,46.9,17240,0,11.12,804260000,0,17240
2015-02-02,-1.2,-2.56,47.2,47.2,45.5,45.7,11850,0,10.84,544000000,0,11850
2015-02-03,-0.8,-1.75,46.4,46.4,44.8,44.9,15470,0,10.65,700000000,0,15470
2015-02-04,0.0,0.0,44.1,45.0,43.0,44.9,30630,0,10.65,1340000000,0,30630
2015-02-05,-0.1,-0.22,43.6,44.9,43.5,44.8,3890,0,10.62,170000000,0,3890
2015-02-06,-0.8,-1.79,44.2,44.8,44.0,44.0,23100,0,10.43,1021000000,0,23100
2015-02-09,0.9,2.05,44.5,45.2,44.0,44.9,16460,0,10.65,729000000,0,16460
2015-02-10,-0.6,-1.34,44.9,44.9,44.3,44.3,9750,0,10.5,434000000,0,9750
2015-02-11,1.1,2.48,45.6,45.6,44.6,45.4,12430,0,10.76,561000000,0,12430
2015-02-12,0.0,0.0,45.6,46.0,45.4,45.4,10160,0,10.76,463000000,0,10160
2015-02-13,0.3,0.66,45.4,45.8,45.4,45.7,7040,0,10.84,321000000,0,7040
2015-02-24,0.8,1.75,46.0,46.5,45.7,46.5,5590,0,11.02,257000000,0,5590
2015-02-25,-0.3,-0.65,46.5,46.5,45.3,46.2,7260,0,10.95,334000000,0,7260
2015-02-26,-1.1,-2.38,46.0,46.2,45.1,45.1,15920,0,10.69,720000000,0,15920
2015-02-27,-0.1,-0.22,45.2,46.0,45.0,45.0,31810,0,10.67,1435000000,0,31810
2015-03-02,-0.1,-0.22,45.1,45.5,44.8,44.9,13640,0,10.65,614000000,0,13640
2015-03-03,0.6,1.34,45.1,45.5,44.9,45.5,4100,0,10.79,185000000,0,4100
2015-03-04,0.2,0.44,45.4,45.9,45.4,45.7,10120,0,10.84,460000000,0,10120
2015-03-05,-0.1,-0.22,46.0,46.0,45.6,45.6,3120,0,10.81,143000000,0,3120
2015-03-06,0.0,0.0,45.8,45.9,45.5,45.6,2230,0,10.81,102000000,0,2230
2015-03-09,0.0,0.0,45.9,46.0,45.6,45.6,4340,0,10.81,198000000,0,4340
2015-03-10,0.1,0.22,45.6,45.7,45.5,45.7,1840,0,10.84,84000000,0,1840
2015-03-11,-0.2,-0.44,45.9,46.5,45.5,45.5,4790,0,10.79,219000000,0,4790
2015-03-12,0.0,0.0,45.5,45.5,45.1,45.5,6760,0,10.79,305000000,0,6760
2015-03-13,0.0,0.0,45.5,45.5,45.0,45.5,6170,0,10.79,278000000,0,6170
2015-03-16,-0.3,-0.66,45.1,45.7,44.8,45.2,26480,0,10.72,1191000000,0,26480
2015-03-17,0.1,0.22,45.0,45.5,44.9,45.3,730,0,10.74,33000000,0,730
2015-03-18,-0.4,-0.88,45.1,45.1,44.8,44.9,14020,0,10.65,629000000,0,14020
2015-03-19,-0.2,-0.45,45.1,45.4,44.7,44.7,7640,0,10.6,342000000,0,7640
2015-03-20,0.3,0.67,45.4,45.0,44.5,45.0,9190,0,10.67,410000000,0,9190
2015-03-23,0.0,0.0,44.7,45.0,44.5,45.0,21760,0,10.67,971000000,0,21760
2015-03-24,-0.5,-1.11,44.5,45.0,44.5,44.5,10460,0,10.55,466000000,0,10460
2015-03-25,0.2,0.45,44.5,44.7,44.5,44.7,7420,0,10.6,330000000,0,7420
2015-03-26,0.3,0.67,44.5,45.0,43.5,45.0,3450,0,10.67,152000000,0,3450
2015-03-27,0.5,1.11,45.8,45.8,44.5,45.5,3460,0,10.79,154000000,0,3460
2015-03-30,-0.1,-0.22,44.6,45.4,44.0,45.4,14080,0,10.76,623000000,0,14080
2015-03-31,0.0,0.0,44.6,45.5,44.1,45.4,7440,0,10.76,337000000,0,7440
2015-04-01,-0.9,-1.98,45.4,45.4,44.5,44.5,3170,0,10.55,142000000,0,3170
2015-04-02,0.5,1.12,44.5,45.0,44.5,45.0,10690,0,10.67,476000000,0,10690
2015-04-03,0.5,1.11,45.4,46.0,44.5,45.5,10900,0,10.79,493000000,0,10900
2015-04-06,-0.1,-0.22,45.4,45.4,44.9,45.4,8060,0,10.76,364000000,0,8060
2015-04-07,1.6,3.52,45.5,47.0,45.5,47.0,23840,0,11.14,1111000000,0,23840
2015-04-08,1.3,2.77,47.4,48.6,47.0,48.3,44820,0,11.45,2148000000,0,44820
2015-04-09,0.0,0.0,48.3,48.6,48.0,48.3,11880,0,11.45,575000000,0,11880
2015-04-10,0.2,0.41,48.3,48.5,48.2,48.5,13360,0,11.5,645000000,0,13360
2015-04-13,3.0,6.19,48.9,51.5,48.9,51.5,61010,0,12.21,3127000000,0,61010
2015-04-14,1.0,1.94,52.5,55.0,52.0,52.5,22880,0,12.45,1214000000,0,22880
2015-04-15,0.5,0.95,50.0,53.5,50.0,53.0,970,0,12.57,51000000,0,970
2015-04-16,-0.5,-0.94,51.0,53.0,51.0,52.5,11840,0,12.45,614000000,0,11840
2015-04-17,2.5,4.76,54.0,55.0,54.0,55.0,41100,0,13.04,2246000000,0,41100
2015-04-20,-0.5,-0.91,53.5,55.5,53.5,54.5,16620,0,12.92,909000000,0,16620
2015-04-21,-1.5,-2.75,56.0,56.0,52.5,53.0,31720,0,12.57,1694000000,0,31720
2015-04-22,0.0,0.0,54.0,54.0,51.5,53.0,12280,0,12.57,644000000,0,12280
2015-04-23,0.0,0.0,52.5,53.0,52.0,53.0,8960,0,12.57,470000000,0,8960
2015-04-24,1.0,1.89,53.0,54.0,52.0,54.0,16850,0,12.8,902000000,0,16850
2015-04-27,-0.5,-0.93,55.0,55.0,53.5,53.5,830,0,12.68,45000000,0,830
2015-05-04,-1.0,-1.87,53.0,53.5,52.5,52.5,31670,0,12.45,1675000000,0,31670
2015-05-05,2.5,4.76,53.5,56.0,52.0,55.0,33960,0,13.04,1798000000,0,33960
2015-05-06,1.0,1.82,55.5,56.0,54.0,56.0,6530,0,13.28,359000000,0,6530
2015-05-07,-1.0,-1.79,54.0,55.5,53.5,55.0,1890,0,13.04,104000000,0,1890
2015-05-08,0.0,0.0,54.5,55.0,54.0,55.0,4830,0,13.04,264000000,0,4830
2015-05-11,0.0,0.0,54.5,55.0,53.0,55.0,2540,0,13.04,136000000,0,2540
2015-05-12,-2.0,-3.64,54.5,54.5,52.5,53.0,29910,0,12.57,1588000000,0,29910
2015-05-13,0.5,0.94,54.0,54.0,53.0,53.5,4690,0,12.68,249000000,0,4690
2015-05-14,0.0,0.0,53.5,53.5,52.5,53.5,6320,0,12.68,334000000,0,6320
2015-05-15,-0.5,-0.93,53.5,54.5,53.0,53.0,13110,0,12.57,699000000,0,13110
2015-05-18,1.0,1.89,53.0,54.0,52.5,54.0,15110,0,12.8,799000000,0,15110
2015-05-19,1.0,1.85,54.0,55.0,54.0,55.0,3440,0,13.04,186000000,0,3440
2015-05-20,1.0,1.82,54.0,56.0,54.0,56.0,17800,0,13.28,982000000,0,17800
2015-05-21,3.5,6.25,56.0,59.5,56.0,59.5,55280,0,14.11,3200000000,0,55280
2015-05-22,1.0,1.68,60.5,60.5,60.0,60.5,7450,0,14.34,448000000,0,7450
2015-05-25,2.5,4.13,61.0,63.5,61.0,63.0,32390,0,14.94,2026000000,0,32390
2015-05-26,0.0,0.0,62.0,63.0,61.5,63.0,4210,0,14.94,263000000,0,4210
2015-05-27,-2.0,-3.17,63.0,63.0,61.0,61.0,7810,0,14.46,481000000,0,7810
2015-05-28,0.5,0.82,62.5,62.5,59.0,61.5,6610,0,14.58,402000000,0,6610
2015-05-29,1.0,1.63,61.5,62.5,61.5,62.5,1660,0,14.82,103000000,0,1660
2015-06-01,-0.5,-0.8,61.5,62.0,59.5,62.0,4860,0,14.7,294000000,0,4860
2015-06-02,0.0,0.0,60.5,62.5,60.5,62.0,17260,0,14.7,1073000000,0,17260
2015-06-03,-1.0,-1.61,61.0,61.5,61.0,61.0,41270,0,14.46,2528000000,0,41270
2015-06-04,-1.0,-1.64,61.5,61.5,60.0,60.0,7030,0,14.23,425000000,0,7030
2015-06-05,0.0,0.0,60.0,61.5,60.0,60.0,3760,0,14.23,226000000,0,3760
2015-06-08,1.5,2.5,61.0,62.0,61.0,61.5,5920,0,14.58,363000000,0,5920
2015-06-09,-0.5,-0.81,61.5,62.5,61.0,61.0,14480,0,14.46,891000000,0,14480
2015-06-10,0.5,0.82,61.0,62.5,60.5,61.5,9030,0,14.58,551000000,0,9030
2015-06-11,0.5,0.81,61.5,62.5,61.0,62.0,9900,0,14.7,608000000,0,9900
2015-06-12,-1.0,-1.61,62.0,63.0,61.0,61.0,6590,0,14.46,407000000,0,6590
2015-06-15,0.5,0.82,62.5,62.5,61.0,61.5,13050,0,14.58,804000000,0,13050
2015-06-16,-0.5,-0.81,61.5,61.5,61.0,61.0,13990,0,14.46,855000000,0,13990
2015-06-17,-1.0,-1.64,60.0,61.0,60.0,60.0,10720,0,14.23,645000000,0,10720
2015-06-18,0.5,0.83,60.0,60.5,59.0,60.5,21120,0,14.34,1264000000,0,21120
2015-06-19,0.5,0.83,60.0,61.0,60.0,61.0,25530,0,14.46,1541000000,0,25530
2015-06-22,1.0,2.0,51.5,51.5,50.0,51.0,1550,0,14.75,78000000,0,1550
2015-06-23,-1.8,-3.53,51.0,51.0,49.2,49.2,3980,0,14.23,199000000,0,3980
2015-06-24,0.7,1.42,50.0,50.0,48.7,49.9,8010,0,14.43,394000000,0,8010
2015-06-25,-1.8,-3.61,50.0,50.0,48.1,48.1,10330,0,13.91,503000000,0,10330
2015-06-26,0.0,0.0,48.1,48.9,48.1,48.1,36940,0,13.91,1785000000,0,36940
2015-06-29,-1.1,-2.29,47.9,48.2,47.0,47.0,18150,0,13.59,858000000,0,18150
2015-06-30,0.8,1.7,47.0,48.0,46.0,47.8,15030,0,13.83,717000000,0,15030
2015-07-01,0.0,0.0,48.1,48.1,46.8,47.8,11920,0,13.83,563000000,0,11920
2015-07-02,-0.5,-1.05,47.3,47.5,47.0,47.3,9730,0,13.68,459000000,0,9730
2015-07-03,-0.3,-0.63,47.0,47.3,46.7,47.0,7330,0,13.59,345000000,0,7330
2015-07-06,-0.1,-0.21,47.0,47.0,46.5,46.9,50900,0,13.57,2388000000,0,50900
2015-07-07,0.0,0.0,46.9,47.0,46.6,46.9,7440,0,13.57,348000000,0,7440
2015-07-08,-0.2,-0.43,46.9,46.9,46.7,46.7,2450,0,13.51,115000000,0,2450
2015-07-09,0.0,0.0,46.5,46.7,46.4,46.7,4020,0,13.51,187000000,0,4020
2015-07-10,0.0,0.0,46.5,47.0,46.5,46.7,17990,0,13.51,839000000,0,17990
2015-07-13,0.0,0.0,46.8,46.8,46.7,46.7,12160,0,13.51,568000000,0,12160
2015-07-14,0.0,0.0,46.8,46.8,46.6,46.7,4120,0,13.51,192000000,0,4120
