,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2008Q1,44395.0,19451.0,13003.0,12208.0,12208.0,119219.0,325796.0,162903.0,116053.0,162892.0,0.0,1221.0,16289.0,0.0,27.5,7.78,4.48
1,2008Q2,49589.0,17815.0,13120.0,12417.0,12417.0,136955.0,343279.0,167952.0,132359.0,175327.0,0.0,2462.0,17533.0,0.0,25.04,7.34,3.71
2,2009Q4,69941.0,22188.0,6721.0,9855.0,9855.0,158232.0,478392.0,235848.0,235681.0,242543.0,0.0,986.0,24254.0,0.0,14.09,8.13,4.12
3,2010Q1,79185.0,30429.0,21597.0,20782.0,20782.0,357970.0,819913.0,305386.0,305218.0,514528.0,0.0,2188.0,36752.0,0.0,26.24,5.49,3.2
4,2010Q2,80617.0,28934.0,23675.0,23079.0,23079.0,296457.0,855231.0,317972.0,317812.0,537259.0,0.0,3837.0,38376.0,20.33,28.63,4.39,2.76
5,2010Q3,91269.0,31948.0,25072.0,23998.0,23998.0,398085.0,898482.0,337188.0,337061.0,561294.0,0.0,5551.0,40092.0,12.25,26.29,4.37,2.74
6,2010Q4,98602.0,27328.0,76234.0,62541.0,62541.0,469200.0,986262.0,385060.0,384957.0,601202.0,0.0,9314.0,42943.0,6.17,63.43,10.76,6.64
7,2011Q1,65500.0,20383.0,14145.0,13656.0,13656.0,475182.0,1011389.0,395509.0,395317.0,615879.0,0.0,8805.0,43991.0,6.02,20.85,2.24,1.37
8,2011Q2,97810.0,27802.0,18429.0,17568.0,17568.0,530186.0,1064506.0,441096.0,440654.0,623411.0,0.0,8412.0,44529.0,4.86,17.96,2.84,1.69
9,2011Q3,73540.0,25983.0,20533.0,19875.0,19875.0,545710.0,1076712.0,461021.0,460726.0,615691.0,0.0,8146.0,43978.0,5.77,27.03,3.21,1.86
