Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
Symbols,SSB,SSB,SSB,SSB,SSB,SSB,SSB,SSB,SSB,SSB,SSB,SSB
date,,,,,,,,,,,,
2021-03-24,0.0,0.0,20.15,20.15,20.15,20.15,6007500,0,13.59,121051000000,0,6007500
2021-03-25,1.4,6.95,21.55,21.55,21.55,21.55,1464100,135335,14.53,31551000000,2537531250,1599435
2021-03-26,1.5,6.96,23.05,23.05,23.05,23.05,1078500,0,15.54,24859000000,0,1078500
2021-03-29,1.6,6.94,24.65,24.65,24.0,24.65,3992200,250000,16.62,98263000000,6162500000,4242200
2021-03-30,1.7,6.9,26.35,26.35,26.25,26.35,1896300,220000,17.77,49963000000,5729000000,2116300
2021-03-31,1.8,6.83,28.15,28.15,27.2,28.15,4138700,0,18.98,115776000000,0,4138700
2021-04-01,0.05,0.18,28.1,28.2,27.1,28.2,3793500,0,19.02,105722000000,0,3793500
2021-04-02,0.05,0.18,27.7,28.25,27.7,28.25,2990700,0,19.05,84029000000,0,2990700
2021-04-05,-0.15,-0.53,28.05,28.15,27.4,28.1,1564100,0,18.95,43641000000,0,1564100
2021-04-06,-0.1,-0.36,28.0,28.0,27.3,28.0,1881700,0,18.88,52233000000,0,1881700
2021-04-07,0.0,0.0,28.0,28.0,27.5,28.0,1208100,0,18.88,33665000000,0,1208100
2021-04-08,-0.4,-1.43,27.8,27.8,27.5,27.6,911300,0,18.61,25234000000,0,911300
2021-04-09,0.1,0.36,27.0,27.7,27.0,27.7,955900,0,18.68,26269000000,0,955900
2021-04-12,0.0,0.0,27.3,27.7,27.0,27.7,846900,0,18.68,23099000000,0,846900
2021-04-13,-0.4,-1.44,27.1,27.5,27.1,27.3,433600,0,18.41,11819000000,0,433600
2021-04-14,-0.5,-1.83,27.0,27.25,26.8,26.8,579800,0,18.07,15651000000,0,579800
2021-04-15,0.2,0.75,26.4,27.0,25.5,27.0,1409400,0,18.21,37140000000,0,1409400
2021-04-16,0.3,1.11,27.0,27.3,26.5,27.3,574400,0,18.41,15416000000,0,574400
2021-04-19,0.2,0.73,27.35,27.5,27.1,27.5,886900,0,18.55,24252000000,0,886900
2021-04-20,0.0,0.0,27.6,27.6,27.4,27.5,1465400,0,18.55,40323000000,0,1465400
