,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2010Q3,34970.0,2360.0,662.0,849.0,849.0,,,,,,,0.0,0.0,0.0,2.43,0.0,0.0
1,2011Q2,75604.0,4019.0,1312.0,1119.0,1119.0,69446.0,143336.0,34428.0,25283.0,108908.0,0.0,226.0,12518.0,0.0,1.48,2.06,1.56
2,2011Q3,60596.0,3884.0,1654.0,1499.0,1499.0,59422.0,142978.0,32571.0,21105.0,110407.0,0.0,301.0,12690.0,0.0,2.47,1.37,1.05
3,2011Q4,67292.0,2547.0,-849.0,-239.0,-239.0,65220.0,147924.0,37756.0,26431.0,110168.0,0.0,273.0,12663.0,28.52,-0.35,-0.22,-0.16
4,2012Q1,32948.0,1926.0,-160.0,20.0,20.0,58943.0,141529.0,31277.0,20426.0,110251.0,,276.0,12673.0,28.28,0.06,0.02,0.01
5,2012Q2,8301.0,1770.0,2043.0,2008.0,2008.0,54280.0,138461.0,26201.0,15824.0,112260.0,,378.0,12903.0,19.31,24.19,1.81,1.43
6,2012Q3,18790.0,1964.0,438.0,438.0,438.0,50676.0,131689.0,30726.0,20823.0,100964.0,,256.0,11605.0,34.37,2.33,0.41,0.32
7,2012Q4,14978.0,2044.0,687.0,687.0,687.0,64904.0,140174.0,29823.0,20595.0,110351.0,,358.0,11531.0,37.74,4.59,0.65,0.51
8,2013Q1,5181.0,1535.0,34.0,26.0,26.0,55004.0,130376.0,19898.0,11144.0,110478.0,,350.0,11544.0,27.4,0.5,0.02,0.02
9,2013Q2,19643.0,2526.0,1886.0,1414.0,1414.0,53981.0,129753.0,17861.0,9581.0,111891.0,,278.0,11692.0,24.84,7.2,1.27,1.09
10,2013Q3,37145.0,2602.0,1924.0,1478.0,1478.0,57833.0,133910.0,19998.0,12192.0,113912.0,,381.0,11903.0,24.66,3.98,1.31,1.12
11,2013Q4,15212.0,1829.0,-1099.0,-825.0,-825.0,54846.0,129334.0,16452.0,9321.0,112882.0,,219.0,11795.0,30.63,-5.42,-0.73,-0.63
12,2014Q1,25376.0,1640.0,629.0,491.0,491.0,72381.0,145460.0,33975.0,27318.0,111485.0,,267.0,11649.0,26.93,1.94,0.44,0.36
13,2014Q2,13379.0,2207.0,2652.0,2055.0,2055.0,57126.0,130268.0,16780.0,10597.0,113488.0,,334.0,11859.0,20.93,15.36,1.83,1.49
14,2014Q3,9475.0,2453.0,2296.0,1964.0,1964.0,57665.0,130839.0,15743.0,10033.0,115096.0,,385.0,12027.0,16.62,20.73,1.72,1.5
15,2014Q4,7435.0,1516.0,277.0,211.0,211.0,51501.0,127863.0,12555.0,7320.0,115308.0,,493.0,12049.0,14.19,2.84,0.18,0.16
16,2015Q1,11303.0,1489.0,885.0,690.0,690.0,39623.0,144337.0,28223.0,23462.0,116114.0,,514.0,12133.0,13.03,6.1,0.6,0.51
17,2015Q2,27750.0,2166.0,1175.0,923.0,923.0,39551.0,143884.0,27161.0,22873.0,116724.0,,396.0,12197.0,16.67,3.33,0.79,0.64
18,2015Q3,45072.0,1762.0,1548.0,1335.0,1335.0,62432.0,167467.0,47085.0,47085.0,120382.0,,330.0,12579.0,72.4,2.96,1.13,0.86
19,2015Q4,18297.0,1566.0,2410.0,1880.0,1880.0,47676.0,152331.0,30069.0,30069.0,122262.0,,504.0,12776.0,24.78,10.27,1.55,1.18
