,Quý,Thu nhập lãi thuần(MilVND),Chi phí hoạt động(MilVND),Tổng TNTT(MilVND),Tổng LNST(MilVND),LNST của CĐ Ngân hàng mẹ(MilVND),Tổng tài sản(MilVND)," - Tiền, vàng gửi và cho vay các TCTD(MilVND)", - Cho vay khách hàng(MilVND),Nợ phải trả(MilVND), - Tiền gửi và vay các TCTD(MilVND), - Tiền gửi của khách hàng(MilVND),Vốn và các quỹ(MilVND), - Vốn của TCTD(MilVND), - Lợi nhuận chưa phân phối(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROEA(%),ROAA(%)
0,2012Q2,,,,,,179792220.0,38513264.0,61714457.0,165882821.0,39998211.0,96739034.0,13909399.0,8788449.0,1892289.0,0.0,15828.0,0.0,0.0,0.0
1,2012Q3,1413714.0,614786.0,603429.0,603429.0,603429.0,178266915.0,28783220.0,60456058.0,163862667.0,39991867.0,99560159.0,14404248.0,8848449.0,2291303.0,682.0,16280.0,0.0,4.26,0.34
2,2012Q4,951241.0,1263207.0,-1216002.0,-1216002.0,-1216002.0,179732817.0,31256256.0,67134007.0,166443241.0,39170405.0,111462288.0,13289576.0,8848079.0,966445.0,-692.0,15020.0,0.0,-8.78,-0.68
3,2013Q1,1290026.0,912386.0,397390.0,397390.0,397390.0,175862903.0,25109332.0,66988527.0,162187967.0,34203437.0,114096318.0,13674936.0,8848079.0,1355051.0,-243.0,15455.0,0.0,2.95,0.22
4,2013Q2,920543.0,770789.0,255181.0,255181.0,255181.0,171444198.0,25680754.0,68592952.0,157660996.0,33990447.0,111640894.0,13783202.0,8848079.0,627051.0,45.0,15578.0,0.0,1.86,0.15
5,2013Q3,1018211.0,872972.0,97315.0,97315.0,97315.0,165878786.0,27103991.0,68405752.0,152030952.0,24686177.0,117236302.0,13847834.0,8848079.0,718020.0,-527.0,15651.0,0.0,0.7,0.06
6,2013Q4,1106882.0,799519.0,128320.0,96240.0,96240.0,158896663.0,15420747.0,69088680.0,144976594.0,15224974.0,119977924.0,13920069.0,8878079.0,672394.0,953.0,15679.0,0.0,0.69,0.06
7,2014Q1,1293783.0,789929.0,673136.0,525173.0,525173.0,164134583.0,13972496.0,70582712.0,149685836.0,16197678.0,124013777.0,14448747.0,8878079.0,1194413.0,1097.0,16275.0,0.0,3.7,0.33
8,2014Q2,1283870.0,776290.0,275595.0,214872.0,214872.0,171081078.0,16532740.0,72900054.0,156420257.0,21506875.0,124742612.0,14660821.0,8878079.0,1409646.0,1052.0,16514.0,0.0,1.48,0.13
9,2014Q3,1604103.0,765986.0,214245.0,161895.0,161895.0,170768267.0,17878838.0,70532930.0,155946006.0,24864221.0,121733162.0,14822261.0,8878079.0,1571541.0,1124.0,16695.0,0.0,1.1,0.09
