Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
Symbols,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB
date,,,,,,,,,,,,
2018-06-04,-25.6,-20.0,102.4,105.0,102.4,102.4,2811840,0,34.13,288192000000,0,2811840
2018-06-05,-6.4,-6.25,99.1,106.0,96.0,96.0,1357500,332000,32.0,136004000000,34212600000,1689500
2018-06-06,-4.0,-4.17,95.0,96.0,91.0,92.0,1605480,296200,30.66,149273000000,28146740000,1901680
2018-06-07,6.4,6.96,94.5,98.4,93.1,98.4,1376540,100000,32.8,133518000000,9588000000,1476540
2018-06-08,6.8,6.91,101.0,105.2,99.5,105.2,2008500,0,35.06,208546000000,0,2008500
2018-06-11,3.8,3.61,104.8,109.0,103.2,109.0,1229830,0,36.33,131239000000,0,1229830
2018-06-12,-4.0,-3.67,108.0,108.0,102.9,105.0,1139130,44500,35.0,119534000000,5188700000,1183630
2018-06-13,0.4,0.38,105.0,108.0,104.5,105.4,772670,115660,35.13,81435000000,12988618000,888330
2018-06-14,-0.4,-0.38,106.5,106.5,103.5,105.0,617130,175000,35.0,64816000000,19722500000,792130
2018-06-15,0.2,0.19,105.5,105.5,103.5,105.2,723460,1835473,35.06,75845000000,206123617900,2558933
2018-06-18,-5.2,-4.94,104.1,105.0,98.0,100.0,825810,1216997,33.33,84139000000,124024494300,2042807
2018-06-19,-5.0,-5.0,95.1,97.0,93.0,95.0,2092720,2109000,31.66,195913000000,225663000000,4201720
2018-06-20,0.2,0.21,95.0,96.5,93.1,95.2,554870,22000,31.73,52735000000,1958000000,576870
2018-06-21,0.0,0.0,95.4,95.4,93.3,95.2,497790,0,31.73,46936000000,0,497790
2018-06-22,-0.2,-0.21,95.1,95.1,93.6,95.0,328710,0,31.66,31006000000,0,328710
2018-06-25,0.9,0.95,96.0,97.0,95.7,95.9,918340,181000,31.96,88228000000,18046400000,1099340
2018-06-26,-0.9,-0.94,94.4,95.5,94.2,95.0,493790,0,31.66,46844000000,0,493790
2018-06-27,-1.4,-1.47,93.5,95.0,93.5,93.6,394860,0,31.2,37123000000,0,394860
2018-06-28,-1.4,-1.5,93.0,93.5,88.5,92.2,1319230,89000,30.73,120962000000,8908900000,1408230
2018-06-29,-0.5,-0.54,91.0,92.0,87.0,91.7,1583700,171300,30.56,143625000000,16890180000,1755000
2018-07-02,-3.8,-4.14,91.8,91.8,87.0,87.9,669570,0,29.3,59374000000,0,669570
2018-07-03,-6.1,-6.94,87.5,88.3,81.8,81.8,2112230,964382,27.26,174442000000,83322470000,3076612
2018-07-04,-0.8,-0.98,80.5,81.0,76.1,81.0,1102650,993117,27.0,86048000000,75576203700,2095767
2018-07-05,1.15,4.27,28.85,28.85,27.0,28.15,1583450,0,28.15,45290000000,0,1583450
2018-07-06,0.65,2.31,28.0,29.0,27.0,28.8,1160990,0,28.8,32803000000,0,1160990
2018-07-09,-0.3,-1.04,29.0,29.2,27.85,28.5,631240,62660,28.5,18031000000,1929928000,693900
2018-07-10,-0.85,-2.98,28.5,28.5,27.5,27.65,549100,0,27.65,15383000000,0,549100
2018-07-11,-1.9,-6.87,27.1,27.1,25.75,25.75,1134570,480000,25.75,29636000000,14184000000,1614570
2018-07-12,0.25,0.97,26.0,26.0,25.1,26.0,686180,167900,26.0,17682000000,4625645000,854080
2018-07-13,0.2,0.77,26.4,26.5,26.0,26.2,406500,22400,26.2,10651000000,622720000,428900
2018-07-16,0.0,0.0,26.0,26.2,25.75,26.2,430160,0,26.2,11198000000,0,430160
2018-07-17,0.9,3.44,26.2,27.5,25.7,27.1,1174520,0,27.1,31371000000,0,1174520
2018-07-18,0.85,3.14,27.5,28.5,27.3,27.95,1139340,0,27.95,31966000000,0,1139340
2018-07-19,-0.05,-0.18,28.0,28.0,27.5,27.9,680430,28000,27.9,18920000000,837200000,708430
2018-07-20,0.0,0.0,27.9,27.9,27.2,27.9,1473990,44200,27.9,40599000000,1319370000,1518190
2018-07-23,-1.3,-4.66,26.6,27.85,26.6,26.6,878370,42320,26.6,23959000000,1263252000,920690
2018-07-24,-0.2,-0.75,27.0,27.5,26.3,26.4,1019120,0,26.4,27296000000,0,1019120
2018-07-25,0.35,1.33,26.8,26.85,24.9,26.75,3348190,889820,26.75,87498000000,25092924000,4238010
2018-07-26,-0.95,-3.55,26.0,26.25,25.5,25.8,645430,132000,25.8,16685000000,3775200000,777430
2018-07-27,0.15,0.58,25.8,26.2,25.6,25.95,1427670,1779990,25.95,36996000000,49127724000,3207660
2018-07-30,0.15,0.58,25.95,26.2,25.9,26.1,1438740,110498,26.1,37484000000,2829194700,1549238
