,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2010Q2,,,,,,20646.0,52035.0,27426.0,20775.0,24609.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0
1,2012Q1,43015.0,3324.0,192.0,182.0,182.0,34703.0,63416.0,27730.0,26885.0,35686.0,,51.0,10000.0,0.0,0.42,0.51,0.29
2,2013Q3,,,,,,37545.0,71195.0,35383.0,18223.0,35812.0,,0.0,11937.0,0.0,0.0,0.0,0.0
3,2013Q4,40148.0,3483.0,-802.0,290.0,290.0,34452.0,67459.0,31357.0,15621.0,36102.0,,97.0,12034.0,67.31,0.72,0.81,0.42
4,2014Q1,36749.0,2424.0,-463.0,342.0,342.0,41077.0,73520.0,37165.0,21443.0,36356.0,,211.0,12119.0,35.15,0.93,0.94,0.49
5,2014Q2,50307.0,2268.0,-536.0,431.0,431.0,33463.0,65367.0,30727.0,15860.0,34641.0,,354.0,11547.0,33.59,0.86,1.22,0.62
6,2014Q3,29628.0,2810.0,235.0,901.0,901.0,34965.0,66296.0,30790.0,15201.0,35505.0,0.0,655.0,11835.0,11.0,3.04,2.57,1.37
7,2014Q4,37058.0,3894.0,228.0,840.0,840.0,30263.0,60926.0,26743.0,12707.0,34184.0,,839.0,11395.0,7.51,2.27,2.41,1.32
8,2015Q1,50138.0,3007.0,368.0,799.0,799.0,27484.0,60767.0,27858.0,14608.0,32909.0,,1014.0,10970.0,7.1,1.59,2.38,1.32
9,2015Q2,62933.0,3107.0,20.0,704.0,704.0,28554.0,62136.0,28523.0,16123.0,33613.0,,1136.0,11204.0,5.9,1.12,2.12,1.15
10,2015Q3,37300.0,2850.0,220.0,652.0,652.0,37316.0,75369.0,41247.0,30122.0,34122.0,,1078.0,11374.0,6.68,1.75,1.93,0.95
11,2015Q4,46136.0,3685.0,-642.0,1157.0,1157.0,37513.0,75072.0,39789.0,28664.0,35283.0,,1227.0,11761.0,5.63,2.51,3.33,1.54
12,2016Q1,63384.0,3074.0,-101.0,-19.0,-19.0,39623.0,77152.0,41900.0,31625.0,35252.0,,924.0,11751.0,8.23,-0.03,-0.05,-0.02
13,2016Q2,70791.0,3515.0,-68.0,2814.0,2814.0,30760.0,70355.0,35133.0,24858.0,35221.0,,1705.0,11740.0,5.04,3.98,7.99,3.82
14,2016Q3,46377.0,2695.0,-11.0,349.0,349.0,35740.0,77023.0,41336.0,31061.0,35687.0,,1593.0,11896.0,4.77,0.75,0.98,0.47
15,2016Q4,49908.0,6790.0,1758.0,1739.0,1739.0,35685.0,76689.0,39263.0,29588.0,37426.0,,1808.0,13861.0,4.2,3.48,4.76,2.26
16,2017Q1,77015.0,2815.0,-292.0,170.0,170.0,46556.0,87500.0,53703.0,44028.0,33796.0,,1878.0,12517.0,4.31,0.22,0.48,0.21
17,2017Q2,86586.0,4279.0,773.0,794.0,794.0,40963.0,81362.0,46771.0,37096.0,34591.0,,1130.0,12811.0,7.79,0.92,2.32,0.94
18,2017Q3,46412.0,5278.0,1455.0,1297.0,1297.0,39459.0,79138.0,43271.0,33896.0,35868.0,,1482.0,13284.0,5.53,2.8,3.68,1.62
19,2017Q4,61522.0,5192.0,521.0,469.0,469.0,44871.0,83893.0,47557.0,38482.0,36336.0,,1011.0,13458.0,8.9,0.76,1.3,0.57
20,2018Q1,79319.0,3776.0,374.0,307.0,307.0,49542.0,88503.0,54270.0,45795.0,34233.0,,1062.0,12679.0,8.48,0.39,0.87,0.36
21,2018Q2,74900.0,7516.0,3091.0,5873.0,5873.0,42144.0,67973.0,27867.0,27867.0,40106.0,,2943.0,14854.0,3.26,7.84,15.8,7.51
22,2018Q3,52443.0,4038.0,384.0,311.0,311.0,40467.0,66188.0,25790.0,25790.0,40398.0,,2578.0,14962.0,4.27,0.59,0.77,0.46
23,2018Q4,58773.0,6185.0,881.0,727.0,727.0,60343.0,85589.0,44464.0,44464.0,41125.0,,2674.0,15231.0,4.23,1.24,1.78,0.96
24,2019Q1,73859.0,3584.0,126.0,323.0,323.0,75580.0,100225.0,58958.0,58958.0,41267.0,,2680.0,15284.0,4.81,0.44,0.79,0.35
25,2019Q2,99318.0,5146.0,715.0,1205.0,1205.0,56275.0,81726.0,45072.0,45072.0,36655.0,,951.0,13576.0,10.2,1.21,3.09,1.32
26,2019Q3,58331.0,5022.0,866.0,764.0,764.0,48843.0,74216.0,36800.0,36800.0,37416.0,,1118.0,13858.0,8.85,1.31,2.06,0.98
27,2019Q4,55115.0,4834.0,-322.0,839.0,839.0,41389.0,67885.0,29630.0,29630.0,38255.0,,1160.0,14169.0,7.76,1.52,2.22,1.18
28,2020Q1,67751.0,4145.0,834.0,701.0,701.0,56697.0,83844.0,47704.0,47704.0,36140.0,,1300.0,13385.0,6.92,1.03,1.88,0.92
29,2020Q2,95247.0,5405.0,1054.0,1227.0,1227.0,42045.0,69809.0,32442.0,32442.0,37367.0,,1308.0,13840.0,5.5,1.29,3.34,1.6
30,2020Q3,50138.0,4098.0,446.0,426.0,426.0,40497.0,67604.0,29812.0,29812.0,37793.0,,1183.0,13997.0,6.09,0.85,1.13,0.62
31,2020Q4,49899.0,5545.0,865.0,774.0,774.0,50387.0,76788.0,38222.0,38222.0,38566.0,,1158.0,14284.0,6.22,1.55,2.03,1.07
32,2021Q1,69384.0,4228.0,335.0,389.0,389.0,88529.0,114212.0,77962.0,77962.0,36250.0,,1043.0,13426.0,5.95,0.56,1.04,0.41
33,2021Q2,109519.0,6181.0,1352.0,1159.0,1159.0,58603.0,83592.0,46183.0,46183.0,37410.0,,1018.0,13855.0,18.76,1.06,3.15,1.17
34,2021Q3,49014.0,3811.0,613.0,683.0,683.0,39361.0,63708.0,25615.0,25615.0,38093.0,,1114.0,14109.0,23.79,1.39,1.81,0.93
35,2021Q4,50481.0,6071.0,1843.0,1547.0,1547.0,49803.0,74001.0,34361.0,34361.0,39640.0,,1401.0,14681.0,12.92,3.06,3.98,2.25
36,2022Q1,69129.0,4204.0,297.0,351.0,351.0,68067.0,91603.0,54490.0,54490.0,37112.0,,1387.0,13745.0,22.72,0.51,0.92,0.42
37,2022Q2,90336.0,5246.0,1310.0,1038.0,1038.0,47961.0,70843.0,32693.0,32693.0,38150.0,,1341.0,14130.0,13.72,1.15,2.76,1.28
