Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
Symbols,TLG,TLG,TLG,TLG,TLG,TLG,TLG,TLG,TLG,TLG,TLG,TLG
date,,,,,,,,,,,,
2010-03-26,-3.0,-7.89,38.0,38.0,35.0,35.0,112440,0,5.19,4079681000,0,112440
2010-03-29,-1.0,-2.86,34.0,35.0,33.5,34.0,44380,0,5.04,1508208000,0,44380
2010-03-30,1.6,4.71,32.4,35.7,32.4,35.6,88950,0,5.28,3142795000,0,88950
2010-03-31,1.6,4.49,35.6,37.2,35.0,37.2,18750,0,5.51,685380000,0,18750
2010-04-01,-0.2,-0.54,38.0,38.0,36.5,37.0,43270,0,5.48,1594110000,0,43270
2010-04-02,0.2,0.54,37.1,37.2,35.5,37.2,57030,0,5.51,2108451000,0,57030
2010-04-05,0.0,0.0,36.1,37.3,36.1,37.2,35660,0,5.51,1324512000,0,35660
2010-04-06,-0.7,-1.88,36.6,37.0,36.5,36.5,56670,0,5.41,2074025000,0,56670
2010-04-07,-0.1,-0.27,35.0,36.4,35.0,36.4,18530,0,5.39,671192000,0,18530
2010-04-08,-1.4,-3.85,36.5,36.6,35.0,35.0,4820,0,5.19,173632000,0,4820
2010-04-09,0.0,0.0,36.0,36.0,34.0,35.0,4160,0,5.19,143280000,0,4160
2010-04-12,0.0,0.0,36.0,36.0,34.0,35.0,47370,0,5.19,1654510000,0,47370
2010-04-13,0.5,1.43,35.0,35.5,35.0,35.5,5610,0,5.26,197155000,0,5610
2010-04-14,-0.5,-1.41,35.4,35.5,35.0,35.0,22350,0,5.19,792530000,0,22350
2010-04-15,0.0,0.0,34.0,36.0,34.0,35.0,45190,0,5.19,1579888000,0,45190
2010-04-16,1.0,2.86,34.2,36.2,34.0,36.0,46840,0,5.34,1680235000,0,46840
2010-04-19,0.0,0.0,36.0,36.0,34.3,36.0,5110,0,5.34,183773000,0,5110
2010-04-20,-1.5,-4.17,36.0,36.0,34.5,34.5,6000,0,5.11,208500000,0,6000
2010-04-21,1.5,4.35,36.0,36.1,35.0,36.0,24890,0,5.34,889790000,0,24890
2010-04-22,0.0,0.0,36.5,36.9,36.0,36.0,2700,0,5.34,98000000,0,2700
2010-04-26,0.0,0.0,34.5,36.0,34.2,36.0,3140,0,5.34,111125000,0,3140
2010-04-27,-1.5,-4.17,34.7,35.0,34.5,34.5,2800,0,5.11,96665000,0,2800
2010-04-28,1.0,2.9,35.7,35.7,35.0,35.5,4640,0,5.26,164626000,0,4640
2010-04-29,-0.5,-1.41,35.9,35.9,35.0,35.0,15500,0,5.19,542590000,0,15500
2010-05-04,0.0,0.0,34.1,35.0,34.0,35.0,6090,0,5.19,212200000,0,6090
2010-05-05,-1.3,-3.71,34.1,34.1,33.7,33.7,9500,0,4.99,321881000,0,9500
2010-05-06,0.3,0.89,35.0,35.0,34.0,34.0,2950,0,5.04,101350000,0,2950
2010-05-07,0.8,2.35,34.8,34.8,34.8,34.8,3010,0,5.16,104748000,0,3010
2010-05-10,-1.7,-4.89,33.1,33.4,33.1,33.1,6460,0,4.91,213916000,0,6460
2010-05-11,0.3,0.91,33.4,33.4,33.4,33.4,40,0,4.95,1336000,0,40
2010-05-12,0.5,1.5,33.9,33.9,33.9,33.9,10,0,5.02,339000,0,10
2010-05-13,-0.9,-2.65,33.0,33.0,32.3,33.0,18630,0,4.89,605150000,0,18630
2010-05-14,-1.6,-4.85,31.6,31.6,31.4,31.4,9780,0,4.65,307142000,0,9780
2010-05-17,-1.5,-4.78,30.0,30.0,29.9,29.9,10390,0,4.43,310706000,0,10390
2010-05-18,-0.8,-2.68,29.0,29.9,29.0,29.1,17430,0,4.31,509212000,0,17430
2010-05-19,-1.4,-4.81,29.0,29.0,27.7,27.7,12250,0,4.11,346475000,0,12250
2010-05-20,1.0,3.61,27.0,28.7,27.0,28.7,4100,0,4.25,111972000,0,4100
