,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2009Q2,376787.0,13914.0,3401.0,2807.0,2807.0,,,,,,,0.0,0.0,0.0,0.75,0.0,0.0
1,2009Q3,476324.0,59069.0,47356.0,36330.0,36330.0,,,,,,,0.0,0.0,0.0,7.63,0.0,0.0
2,2009Q4,800108.0,88929.0,70476.0,63496.0,62320.0,1377130.0,1588110.0,816850.0,816677.0,760131.0,11129.0,1879.0,14076.0,0.0,7.94,16.4,7.85
3,2010Q1,651061.0,76734.0,53482.0,39861.0,39199.0,1449154.0,1696481.0,882463.0,882289.0,802589.0,11429.0,2605.0,14863.0,11.13,6.12,5.02,2.39
4,2010Q2,927180.0,83591.0,20942.0,16636.0,16368.0,1514513.0,1806568.0,1003852.0,984348.0,791040.0,11677.0,2856.0,14649.0,7.18,1.79,2.05,0.93
5,2010Q3,713077.0,47277.0,15037.0,12505.0,12336.0,1473716.0,1833360.0,1017684.0,999993.0,803830.0,11846.0,2412.0,14886.0,6.3,1.75,1.55,0.68
6,2010Q4,710131.0,52570.0,15135.0,10980.0,10731.0,1442368.0,1798521.0,960855.0,944976.0,826554.0,11112.0,1456.0,14323.0,8.65,1.55,1.32,0.59
7,2011Q1,726978.0,118509.0,46236.0,35633.0,34306.0,1580925.0,1937887.0,1085300.0,1071233.0,839208.0,13379.0,1354.0,14543.0,6.5,4.9,4.18,1.85
8,2011Q2,790032.0,94825.0,6926.0,5232.0,5101.0,1725076.0,2088476.0,1309698.0,1297443.0,764685.0,14093.0,1128.0,13251.0,7.09,0.66,0.64,0.25
9,2011Q3,853450.0,50923.0,12431.0,12393.0,11849.0,1264777.0,1625814.0,842905.0,832462.0,768282.0,14627.0,1111.0,13314.0,6.93,1.45,1.55,0.64
