,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2006Q4,234486.0,6813.0,2071.0,2044.0,2044.0,72576.0,97184.0,56975.0,56342.0,40209.0,0.0,777.0,14892.0,66.96,0.87,10.17,4.21
1,2007Q1,224527.0,8938.0,4754.0,4361.0,4210.0,98588.0,125372.0,84604.0,84006.0,40767.0,0.0,2435.0,15099.0,28.75,1.94,10.4,3.78
2,2007Q2,253621.0,9045.0,3881.0,3426.0,3270.0,94921.0,137565.0,93528.0,93003.0,44037.0,0.0,3711.0,16310.0,13.07,1.35,7.71,2.49
3,2007Q3,263997.0,8258.0,3221.0,3042.0,2891.0,94976.0,139875.0,87581.0,87063.0,52294.0,0.0,4484.0,14712.0,11.93,1.15,6.0,2.08
4,2007Q4,324383.0,16112.0,5262.0,4536.0,4536.0,98606.0,151039.0,94368.0,93775.0,56672.0,0.0,5008.0,15944.0,10.38,1.4,8.33,3.12
5,2008Q1,357921.0,22293.0,13032.0,11337.0,11036.0,124185.0,175456.0,92829.0,92271.0,82627.0,0.0,6774.0,20657.0,3.93,3.17,15.82,6.75
6,2008Q2,373449.0,13584.0,3969.0,3846.0,3605.0,152782.0,206201.0,125069.0,124576.0,81132.0,0.0,6222.0,20283.0,3.42,1.03,4.4,1.89
7,2008Q3,329023.0,16522.0,6260.0,5773.0,5450.0,118423.0,196448.0,113116.0,112624.0,83331.0,0.0,6536.0,20833.0,4.96,1.75,6.63,2.71
8,2008Q4,279221.0,7066.0,-963.0,-576.0,-966.0,115481.0,194717.0,115152.0,114762.0,79565.0,0.0,4920.0,19891.0,4.45,-0.21,-1.19,-0.49
9,2009Q1,251437.0,12028.0,4823.0,4502.0,3885.0,111632.0,188395.0,107536.0,107193.0,80859.0,0.0,2999.0,20215.0,8.04,1.79,4.83,2.03
10,2009Q2,287656.0,16603.0,7664.0,6832.0,6559.0,137196.0,213613.0,130443.0,130189.0,83169.0,0.0,3732.0,20792.0,8.25,2.37,8.0,3.26
11,2009Q3,297700.0,19777.0,8926.0,7548.0,7350.0,131033.0,209009.0,118376.0,118124.0,90633.0,0.0,4207.0,22658.0,13.0,2.54,8.46,3.48
12,2009Q4,347449.0,22115.0,8464.0,12089.0,11920.0,172302.0,270124.0,171172.0,170878.0,98952.0,0.0,7428.0,24738.0,6.93,3.48,12.58,4.98
13,2010Q1,346836.0,18757.0,7733.0,6056.0,5831.0,201390.0,300670.0,169879.0,169707.0,130790.0,0.0,6400.0,16349.0,4.53,1.75,5.06,2.04
14,2010Q2,432597.0,14685.0,5860.0,5058.0,4915.0,206379.0,310411.0,175007.0,174725.0,135404.0,0.0,5077.0,16926.0,6.4,1.17,3.69,1.61
15,2010Q3,392520.0,19795.0,7805.0,6307.0,6027.0,200144.0,317554.0,184212.0,172797.0,133342.0,0.0,4132.0,16668.0,6.29,1.61,4.49,1.92
16,2010Q4,479652.0,21525.0,6450.0,4877.0,4645.0,266088.0,392784.0,259789.0,248904.0,132995.0,0.0,2677.0,16624.0,9.34,1.02,3.49,1.31
17,2011Q1,455454.0,23994.0,7977.0,6890.0,6795.0,238933.0,377256.0,238414.0,228154.0,138842.0,0.0,2798.0,17355.0,6.79,1.51,5.01,1.81
18,2011Q2,546088.0,28128.0,8845.0,7673.0,7596.0,229176.0,375242.0,239805.0,230081.0,135437.0,0.0,3133.0,16930.0,4.56,1.41,5.54,2.02
19,2011Q3,560369.0,17316.0,4085.0,3998.0,3860.0,182249.0,334767.0,195688.0,177428.0,139079.0,0.0,2862.0,17385.0,5.17,0.71,2.81,1.09
20,2011Q4,503113.0,11977.0,545.0,1913.0,1900.0,179550.0,339591.0,199312.0,181613.0,140279.0,0.0,2519.0,17535.0,3.57,0.38,1.36,0.56
21,2012Q1,520877.0,17940.0,1902.0,4361.0,4481.0,207560.0,373303.0,195394.0,177832.0,177909.0,,2230.0,14210.0,4.48,0.84,2.82,1.26
22,2012Q2,528786.0,20773.0,6596.0,5865.0,5831.0,166300.0,333367.0,155908.0,139160.0,177460.0,,1858.0,14174.0,5.87,1.11,3.28,1.65
23,2012Q3,543107.0,18632.0,5307.0,5307.0,5329.0,157092.0,330109.0,147558.0,131581.0,181789.0,762.0,1794.0,14660.0,5.69,0.98,2.97,1.61
24,2012Q4,589137.0,17813.0,3611.0,4071.0,4092.0,193131.0,395004.0,209001.0,193448.0,185258.0,745.0,1807.0,14940.0,6.03,0.69,2.23,1.13
25,2013Q1,541160.0,16929.0,711.0,1656.0,1523.0,220211.0,420046.0,247767.0,232522.0,171540.0,739.0,1403.0,13834.0,7.13,0.31,0.85,0.37
26,2013Q2,572324.0,22675.0,7050.0,6154.0,6204.0,199924.0,403049.0,225250.0,210713.0,177540.0,259.0,1383.0,14318.0,7.59,1.08,3.55,1.51
27,2013Q3,561615.0,21754.0,4722.0,4290.0,4281.0,187299.0,388501.0,213013.0,199185.0,175219.0,269.0,1298.0,14131.0,7.16,0.76,2.43,1.08
28,2013Q4,588254.0,20561.0,2709.0,3095.0,3045.0,163345.0,365483.0,187518.0,174398.0,177647.0,318.0,1214.0,14326.0,7.91,0.53,1.73,0.81
29,2014Q1,591563.0,19392.0,62.0,6539.0,6526.0,159220.0,351343.0,175703.0,162725.0,175309.0,331.0,1617.0,14138.0,6.92,1.11,3.7,1.82
