Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
Symbols,TN1,TN1,TN1,TN1,TN1,TN1,TN1,TN1,TN1,TN1,TN1,TN1
date,,,,,,,,,,,,
2019-05-30,6.0,20.0,36.0,36.0,36.0,36.0,30,0,9.06,1000000,0,30
2019-05-31,2.5,6.94,38.5,38.5,38.5,38.5,30,0,9.69,1000000,0,30
2019-06-03,2.65,6.88,41.15,41.15,41.15,41.15,30,0,10.36,1000000,0,30
2019-06-04,0.0,0.0,41.15,41.15,41.15,41.15,0,0,10.36,0,0,0
2019-06-05,2.85,6.93,44.0,44.0,44.0,44.0,30,0,11.08,1000000,0,30
2019-06-06,3.05,6.93,47.05,47.05,47.05,47.05,30,0,11.84,1000000,0,30
2019-06-07,0.95,2.02,48.0,48.0,48.0,48.0,3000,0,12.08,144000000,0,3000
2019-06-10,3.3,6.87,51.3,51.3,51.3,51.3,40,0,12.91,2000000,0,40
2019-06-11,1.7,3.31,54.8,54.8,53.0,53.0,470,0,13.34,26000000,0,470
2019-06-12,3.7,6.98,56.7,56.7,56.7,56.7,380,0,14.27,22000000,0,380
2019-06-13,3.9,6.88,60.6,60.6,60.6,60.6,430,0,15.26,26000000,0,430
2019-06-14,-2.6,-4.29,64.8,64.8,58.0,58.0,1000,0,14.6,58000000,0,1000
2019-06-17,-4.0,-6.9,56.0,56.0,54.0,54.0,440,0,13.59,24000000,0,440
2019-06-18,0.5,0.93,50.3,54.5,50.3,54.5,590,0,13.72,30000000,0,590
2019-06-19,0.0,0.0,54.5,54.5,50.7,54.5,1030,0,13.72,52000000,0,1030
2019-06-20,-3.8,-6.97,50.7,50.7,50.7,50.7,1340,0,12.76,68000000,0,1340
2019-06-21,3.5,6.9,54.2,54.2,47.2,54.2,1120,0,13.64,54000000,0,1120
2019-06-24,0.8,1.48,54.0,55.0,54.0,55.0,1320,0,13.85,72000000,0,1320
2019-06-25,0.0,0.0,55.0,55.0,54.9,55.0,2030,0,13.85,112000000,0,2030
2019-06-26,1.0,1.82,56.0,56.0,55.5,56.0,330,0,14.1,18000000,0,330
2019-06-27,-0.5,-0.89,55.5,56.0,53.5,55.5,570,0,13.97,32000000,0,570
2019-06-28,0.0,0.0,55.5,55.5,55.4,55.5,680,0,13.97,38000000,0,680
2019-07-01,-0.5,-0.9,55.0,59.3,51.7,55.0,1630,0,13.85,88000000,0,1630
2019-07-02,-1.0,-1.82,54.0,54.0,51.2,54.0,1410,0,13.59,76000000,0,1410
2019-07-03,-0.5,-0.93,53.5,53.5,53.5,53.5,1530,0,13.47,82000000,0,1530
2019-07-04,-3.5,-6.54,53.5,53.0,50.0,50.0,1310,0,12.59,69000000,0,1310
2019-07-05,3.0,6.0,53.5,53.5,46.5,53.0,810,0,13.34,43000000,0,810
2019-07-08,2.8,5.28,52.0,55.8,50.1,55.8,1600,0,14.05,83000000,0,1600
2019-07-09,0.0,0.0,53.2,55.8,53.2,55.8,1100,0,14.05,59000000,0,1100
2019-07-10,-3.0,-5.38,55.0,56.0,52.8,52.8,920,0,13.29,51000000,0,920
2019-07-11,2.0,3.79,54.8,54.8,54.0,54.8,1360,0,13.8,74000000,0,1360
2019-07-12,0.3,0.55,55.1,55.1,55.1,55.1,680,0,13.87,37000000,0,680
2019-07-15,0.0,0.0,55.1,55.1,52.1,55.1,1930,0,13.87,105000000,0,1930
2019-07-16,0.4,0.73,55.1,55.5,55.1,55.5,1680,0,13.97,93000000,0,1680
2019-07-17,0.5,0.9,55.5,56.0,55.5,56.0,1010,0,14.1,56000000,0,1010
2019-07-18,-0.5,-0.89,55.5,55.5,52.1,55.5,1250,0,13.97,69000000,0,1250
2019-07-19,0.5,0.9,55.5,56.0,55.5,56.0,670,0,14.1,38000000,0,670
2019-07-22,0.5,0.89,56.0,56.5,56.0,56.5,2000,0,14.22,113000000,0,2000
2019-07-23,0.0,0.0,52.7,56.5,52.7,56.5,1500,0,14.22,83000000,0,1500
2019-07-24,-0.5,-0.88,52.6,56.5,52.6,56.0,1130,0,14.1,60000000,0,1130
2019-07-25,1.0,1.79,57.0,57.0,57.0,57.0,750,0,14.35,43000000,0,750
2019-07-26,0.0,0.0,57.0,57.0,57.0,57.0,1010,0,14.35,58000000,0,1010
2019-07-29,0.1,0.18,57.1,57.1,57.1,57.1,1280,0,14.37,73000000,0,1280
2019-07-30,0.9,1.58,53.4,58.0,53.4,58.0,1200,0,14.6,69000000,0,1200
2019-07-31,-1.5,-2.59,54.0,56.5,54.0,56.5,1350,0,14.22,74000000,0,1350
2019-08-01,0.0,0.0,56.5,56.5,56.5,56.5,1090,0,14.22,62000000,0,1090
2019-08-02,-1.0,-1.77,55.0,55.5,54.0,55.5,1730,0,13.97,95000000,0,1730
2019-08-05,0.5,0.9,55.9,57.5,55.9,56.0,3410,0,14.1,192000000,0,3410
2019-08-06,0.0,0.0,56.0,56.0,56.0,56.0,2330,0,14.1,130000000,0,2330
2019-08-07,0.0,0.0,56.0,58.0,52.1,56.0,1960,0,14.1,107000000,0,1960
2019-08-08,1.0,1.79,56.0,57.0,55.0,57.0,2220,0,14.35,124000000,0,2220
2019-08-09,0.5,0.88,57.3,57.5,54.5,57.5,4250,0,14.48,241000000,0,4250
2019-08-12,-0.5,-0.87,60.0,60.0,53.6,57.0,1220,0,14.35,69000000,0,1220
2019-08-13,-1.0,-1.75,53.4,56.0,53.4,56.0,2380,0,14.1,130000000,0,2380
2019-08-14,0.0,0.0,57.0,57.0,56.0,56.0,1150,0,14.1,65000000,0,1150
2019-08-15,0.0,0.0,52.3,59.0,52.3,56.0,2040,0,14.1,112000000,0,2040
2019-08-16,0.5,0.89,56.0,56.5,52.2,56.5,1320,0,14.22,70000000,0,1320
2019-08-19,-1.5,-2.65,53.0,56.5,53.0,55.0,2010,0,13.85,109000000,0,2010
2019-08-20,0.5,0.91,57.5,57.5,55.5,55.5,990,0,13.97,56000000,0,990
2019-08-21,-1.5,-2.7,55.5,55.5,54.0,54.0,2300,0,13.59,126000000,0,2300
2019-08-22,2.5,4.63,53.1,57.0,53.1,56.5,2170,0,14.22,123000000,0,2170
2019-08-23,0.0,0.0,57.0,59.0,56.5,56.5,1500,0,14.22,86000000,0,1500
2019-08-26,0.0,0.0,53.0,56.5,53.0,56.5,2610,0,14.22,146000000,0,2610
2019-08-27,-0.1,-0.18,56.0,56.5,56.0,56.4,2830,0,14.2,159000000,0,2830
2019-08-28,-0.2,-0.35,56.2,56.2,56.2,56.2,2310,0,14.15,130000000,0,2310
2019-08-29,-1.2,-2.14,55.0,55.3,55.0,55.0,2010,0,13.85,111000000,0,2010
2019-08-30,-0.5,-0.91,51.6,54.8,51.6,54.5,1290,0,13.72,71000000,0,1290
2019-09-03,-0.5,-0.92,51.5,54.0,51.5,54.0,2100,0,13.59,110000000,0,2100
2019-09-04,0.0,0.0,51.5,54.0,54.0,54.0,2220,0,13.59,120000000,0,2220
2019-09-05,-0.1,-0.19,53.5,54.0,53.0,53.9,2260,0,13.57,122000000,0,2260
2019-09-06,-0.4,-0.74,53.4,53.5,51.0,53.5,2560,0,13.47,134000000,0,2560
2019-09-09,2.5,4.67,56.0,56.0,56.0,56.0,2200,0,14.1,123000000,0,2200
2019-09-10,0.0,0.0,56.0,56.0,56.0,56.0,1760,0,14.1,99000000,0,1760
2019-09-11,-0.2,-0.36,55.5,56.5,55.5,55.8,2280,0,14.05,128000000,0,2280
2019-09-12,2.2,3.94,55.5,58.0,55.5,58.0,2050,0,14.6,116000000,0,2050
2019-09-13,3.0,5.17,58.0,61.0,58.0,61.0,2060,0,15.36,124000000,0,2060
2019-09-16,-1.0,-1.64,60.0,60.0,60.0,60.0,1450,0,15.1,87000000,0,1450
2019-09-17,-0.9,-1.5,59.1,59.1,59.1,59.1,2580,0,14.88,152000000,0,2580
2019-09-18,-0.1,-0.17,59.1,59.0,58.9,59.0,2180,0,14.85,129000000,0,2180
2019-09-19,0.0,0.0,59.0,59.0,55.0,59.0,2040,0,14.85,120000000,0,2040
2019-09-20,1.0,1.69,63.0,63.0,60.0,60.0,2300,0,15.1,138000000,0,2300
2019-09-23,1.0,1.67,61.0,61.0,61.0,61.0,2310,0,15.36,141000000,0,2310
2019-09-24,-0.1,-0.16,60.0,60.9,58.3,60.9,1910,0,15.33,115000000,0,1910
2019-09-25,0.0,0.0,60.9,60.9,60.9,60.9,0,0,15.33,0,0,0
2019-09-26,-4.9,-8.05,55.6,59.9,55.6,56.0,1550,0,14.38,93000000,0,1550
2019-09-27,3.9,6.96,59.9,59.9,59.9,59.9,1100,0,15.38,66000000,0,1100
2019-09-30,3.0,5.01,62.0,62.9,62.0,62.9,2590,0,16.15,162000000,0,2590
2019-10-01,0.1,0.16,63.0,63.0,63.0,63.0,1680,0,16.18,106000000,0,1680
2019-10-02,4.2,6.67,67.4,67.4,67.2,67.2,1040,0,17.26,70000000,0,1040
2019-10-03,-0.4,-0.6,66.8,66.8,66.8,66.8,1290,0,17.15,86000000,0,1290
2019-10-04,0.0,0.0,66.8,66.8,66.8,66.8,1600,0,17.15,107000000,0,1600
