Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
Symbols,TNH,TNH,TNH,TNH,TNH,TNH,TNH,TNH,TNH,TNH,TNH,TNH
date,,,,,,,,,,,,
2021-01-06,30.0,inf,29.9,30.0,27.5,30.0,2041600,0,24.0,60400000000,0,2041600
2021-01-07,2.1,7.0,32.1,32.1,32.1,32.1,382300,170000,25.68,12272000000,4743000000,552300
2021-01-08,2.2,6.85,34.3,34.3,34.3,34.3,340500,346000,27.44,11679000000,10506000000,686500
2021-01-11,0.2,0.58,36.7,36.7,33.0,34.5,972000,40000,27.6,34516000000,1276000000,1012000
2021-01-12,1.1,3.19,34.1,35.6,33.3,35.6,561800,30000,28.48,19235000000,963000000,591800
2021-01-13,-0.8,-2.25,35.9,36.0,34.0,34.8,516800,0,27.84,18270000000,0,516800
2021-01-14,-0.05,-0.14,35.0,35.0,34.15,34.75,293600,0,27.8,10173000000,0,293600
2021-01-15,-0.9,-2.59,34.35,34.75,33.75,33.85,318400,0,27.08,10882000000,0,318400
2021-01-18,-2.35,-6.94,33.6,33.6,31.5,31.5,937000,0,25.2,29810000000,0,937000
2021-01-19,-2.2,-6.98,30.8,31.0,29.3,29.3,447800,0,23.44,13269000000,0,447800
2021-01-20,-0.5,-1.71,27.5,29.0,27.4,28.8,240200,300000,23.04,6701000000,8175000000,540200
2021-01-21,1.2,4.17,28.8,30.6,28.8,30.0,202300,660000,24.0,6073000000,18858000000,862300
2021-01-22,-0.5,-1.67,30.0,30.0,29.0,29.5,184300,0,23.6,5423000000,0,184300
2021-01-25,-0.8,-2.71,29.5,29.5,28.35,28.7,207500,57200,22.96,5967000000,1798940000,264700
2021-01-26,-1.5,-5.23,28.6,28.6,27.05,27.2,115100,180000,21.76,3190000000,5175000000,295100
2021-01-27,0.0,0.0,27.2,28.2,26.5,27.2,205400,0,21.76,5633000000,0,205400
2021-01-28,-1.9,-6.99,26.0,27.7,25.3,25.3,265800,0,20.24,6922000000,0,265800
2021-01-29,0.95,3.75,26.5,27.0,25.7,26.25,166000,150000,21.0,4416000000,4057500000,316000
2021-02-01,-0.65,-2.48,26.25,26.5,24.45,25.6,369900,0,20.48,9436000000,0,369900
2021-02-02,0.4,1.56,25.8,26.3,24.9,26.0,88900,51300,20.8,2276000000,1302555000,140200
2021-02-03,1.75,6.73,26.0,27.75,25.8,27.75,364700,0,22.2,9634000000,0,364700
2021-02-04,-0.75,-2.7,27.9,27.95,27.0,27.0,211200,0,21.6,5825000000,0,211200
2021-02-05,0.0,0.0,27.0,27.0,26.5,27.0,132300,50000,21.6,3528000000,1350000000,182300
2021-02-08,-0.35,-1.3,27.0,27.45,26.0,26.65,125500,218000,21.32,3345000000,6289300000,343500
2021-02-09,0.05,0.19,26.7,27.0,26.1,26.7,97000,0,21.36,2566000000,0,97000
2021-02-17,0.25,0.94,27.0,27.0,26.6,26.95,101700,100000,21.56,2729000000,2670000000,201700
2021-02-18,0.05,0.19,27.0,27.0,26.5,27.0,148900,28300,21.6,3991000000,710330000,177200
2021-02-19,0.0,0.0,27.0,27.0,26.6,27.0,75700,0,21.6,2037000000,0,75700
2021-02-22,0.5,1.85,27.0,27.6,26.7,27.5,288300,145000,22.0,7813000000,3770000000,433300
2021-02-23,1.9,6.91,27.5,29.4,27.5,29.4,646600,0,23.52,18873000000,0,646600
2021-02-24,1.5,5.1,30.05,31.45,30.05,30.9,372800,1198700,24.72,11514000000,37218500000,1571500
2021-02-25,-0.9,-2.91,30.9,30.9,29.9,30.0,401500,1590000,24.0,12071000000,52549500000,1991500
2021-02-26,-0.35,-1.17,29.5,30.0,29.0,29.65,200300,805000,23.72,5933000000,25760000000,1005300
2021-03-01,0.15,0.51,29.65,29.8,28.5,29.8,285100,0,23.84,8242000000,0,285100
2021-03-02,-0.5,-1.68,29.4,29.65,28.8,29.3,101100,0,23.44,2956000000,0,101100
2021-03-03,-0.1,-0.34,29.0,29.2,28.45,29.2,238000,0,23.36,6835000000,0,238000
2021-03-04,-0.7,-2.4,29.1,29.6,28.4,28.5,146100,0,22.8,4211000000,0,146100
2021-03-05,0.0,0.0,28.1,28.8,28.0,28.5,112100,0,22.8,3175000000,0,112100
2021-03-08,0.0,0.0,28.6,28.9,27.65,28.5,196600,0,22.8,5547000000,0,196600
2021-03-09,-0.5,-1.75,28.0,28.45,28.0,28.0,108100,0,22.4,3042000000,0,108100
2021-03-10,0.4,1.43,28.65,28.65,27.9,28.4,137800,0,22.72,3868000000,0,137800
2021-03-11,-0.1,-0.35,28.4,28.4,27.9,28.3,308700,0,22.64,8659000000,0,308700
2021-03-12,-0.2,-0.71,28.5,28.5,27.8,28.1,174400,0,22.48,4879000000,0,174400
2021-03-15,1.3,4.63,28.1,29.5,28.0,29.4,238700,0,23.52,6791000000,0,238700
2021-03-16,-0.45,-1.53,29.4,29.4,28.0,28.95,241500,0,23.16,6915000000,0,241500
2021-03-17,-0.2,-0.69,29.0,29.4,28.6,28.8,253000,0,23.04,7346000000,0,253000
2021-03-18,0.0,0.0,28.8,29.0,28.5,28.8,170100,0,23.04,4880000000,0,170100
2021-03-19,-0.3,-1.04,28.5,28.9,28.3,28.5,153900,0,22.8,4385000000,0,153900
2021-03-22,-0.1,-0.35,28.5,28.9,28.0,28.4,160600,0,22.72,4585000000,0,160600
