Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
Symbols,TNI,TNI,TNI,TNI,TNI,TNI,TNI,TNI,TNI,TNI,TNI,TNI
date,,,,,,,,,,,,
2017-05-29,2.16,19.83,11.4,13.05,11.0,13.05,5124680,0,12.47,63003000000,0,5124680
2017-05-30,0.4,3.07,13.25,13.95,13.05,13.45,4453270,0,12.86,60549000000,0,4453270
2017-05-31,-0.6,-4.46,13.5,13.85,12.85,12.85,1562860,0,12.28,21020000000,0,1562860
2017-06-01,-0.85,-6.61,12.0,12.0,12.0,12.0,743410,0,11.47,8921000000,0,743410
2017-06-02,-0.8,-6.67,11.2,11.2,11.2,11.2,924640,0,10.71,10356000000,0,924640
2017-06-05,-0.75,-6.7,10.45,10.65,10.45,10.45,2266580,0,9.99,23701000000,0,2266580
2017-06-06,-0.69,-6.6,9.72,10.1,9.72,9.76,4493100,0,9.33,43863000000,0,4493100
2017-06-07,0.06,0.61,9.78,10.25,9.7,9.82,1339010,0,9.39,13296000000,0,1339010
2017-06-08,-0.68,-6.92,9.65,9.82,9.14,9.14,725280,0,8.74,6708000000,0,725280
2017-06-09,-0.59,-6.46,8.51,8.7,8.51,8.55,1217110,0,8.17,10391000000,0,1217110
2017-06-12,-0.3,-3.51,8.3,8.5,8.1,8.25,474890,0,7.89,3902000000,0,474890
2017-06-13,0.0,0.0,8.25,8.38,8.1,8.25,441090,0,7.89,3615000000,0,441090
2017-06-14,0.4,4.85,8.26,8.67,8.2,8.65,714910,0,8.27,6039000000,0,714910
2017-06-15,0.13,1.5,8.6,8.8,8.5,8.78,552760,0,8.39,4793000000,0,552760
2017-06-16,0.24,2.73,8.78,9.2,8.61,9.02,1020660,0,8.62,9113000000,0,1020660
2017-06-19,0.01,0.11,8.95,9.12,8.95,9.03,309490,0,8.63,2802000000,0,309490
2017-06-20,0.0,0.0,9.03,9.1,8.85,9.03,323580,0,8.63,2921000000,0,323580
2017-06-21,0.07,0.78,8.9,9.15,8.9,9.1,351730,0,8.7,3178000000,0,351730
2017-06-22,0.52,5.71,9.1,9.65,9.1,9.62,1053230,0,9.2,9906000000,0,1053230
2017-06-23,0.58,6.03,9.62,10.25,9.5,10.2,1688050,0,9.75,16829000000,0,1688050
2017-06-26,-0.2,-1.96,10.35,10.7,9.88,10.0,1083220,0,9.56,11088000000,0,1083220
2017-06-27,-0.1,-1.0,10.1,10.3,9.78,9.9,639010,0,9.46,6353000000,0,639010
2017-06-28,0.0,0.0,9.85,10.0,9.68,9.9,560480,0,9.46,5546000000,0,560480
2017-06-29,0.65,6.57,9.88,10.55,9.8,10.55,2766130,21250,10.08,28426000000,210375000,2787380
2017-06-30,0.7,6.64,10.65,11.25,10.3,11.25,3403220,0,10.75,37194000000,0,3403220
2017-07-03,-0.15,-1.33,11.35,11.5,10.9,11.1,1445620,0,10.61,16141000000,0,1445620
2017-07-04,-0.6,-5.41,11.0,11.6,10.35,10.5,1766700,0,10.04,19084000000,0,1766700
2017-07-05,-0.65,-6.19,10.2,10.5,9.78,9.85,444190,0,9.42,4387000000,0,444190
2017-07-06,0.07,0.71,9.85,10.3,9.6,9.92,679320,0,9.48,6813000000,0,679320
2017-07-07,0.06,0.6,9.92,10.2,9.85,9.98,561300,0,9.54,5597000000,0,561300
2017-07-10,0.27,2.71,9.9,10.25,9.8,10.25,456150,0,9.8,4587000000,0,456150
2017-07-11,-0.15,-1.46,10.25,10.35,9.9,10.1,392960,0,9.65,3987000000,0,392960
2017-07-12,-0.2,-1.98,10.0,10.2,9.85,9.9,230490,0,9.46,2313000000,0,230490
2017-07-13,0.0,0.0,9.8,10.2,9.8,9.9,405440,0,9.46,4031000000,0,405440
2017-07-14,0.0,0.0,9.9,9.9,9.36,9.9,366250,0,9.46,3533000000,0,366250
2017-07-17,0.25,2.53,9.95,10.3,9.9,10.15,2633310,0,9.7,26790000000,0,2633310
2017-07-18,-0.15,-1.48,10.15,10.2,9.9,10.0,128910,0,9.56,1296000000,0,128910
2017-07-19,-0.2,-2.0,10.0,10.2,9.8,9.8,240410,0,9.37,2393000000,0,240410
2017-07-20,-0.05,-0.51,10.0,10.0,9.5,9.75,197230,0,9.32,1911000000,0,197230
2017-07-21,0.0,0.0,9.7,9.95,9.7,9.75,360270,0,9.32,3541000000,0,360270
2017-07-24,0.17,1.74,9.75,9.92,9.6,9.92,266380,0,9.48,2621000000,0,266380
2017-07-25,0.07,0.71,9.92,9.99,9.75,9.99,261490,0,9.55,2591000000,0,261490
2017-07-26,-0.09,-0.9,9.99,10.1,9.47,9.9,821370,0,9.46,8053000000,0,821370
2017-07-27,0.65,6.57,9.92,10.55,9.8,10.55,2351700,0,10.08,24306000000,0,2351700
2017-07-28,0.0,0.0,10.65,11.25,10.45,10.55,2347610,0,10.08,25749000000,0,2347610
2017-07-31,-0.56,-5.31,10.3,10.6,9.82,9.99,1838920,0,9.55,18118000000,0,1838920
2017-08-01,-0.69,-6.91,9.99,9.99,9.3,9.3,2051260,0,8.89,19128000000,0,2051260
2017-08-02,-0.65,-6.99,8.65,9.2,8.65,8.65,1631670,0,8.27,14114000000,0,1631670
2017-08-03,-0.42,-4.86,8.05,8.3,8.05,8.23,2490530,0,7.87,20087000000,0,2490530
2017-08-04,0.57,6.93,8.25,8.8,8.25,8.8,3140940,0,8.41,27006000000,0,3140940
2017-08-07,-0.2,-2.27,8.92,8.92,8.19,8.6,1982240,0,8.22,16715000000,0,1982240
2017-08-08,-0.6,-6.98,8.1,8.49,8.0,8.0,1967520,0,7.65,15760000000,0,1967520
2017-08-09,-0.56,-7.0,7.5,8.0,7.44,7.44,2128050,0,7.11,15835000000,0,2128050
2017-08-10,-0.04,-0.54,6.93,7.6,6.93,7.4,1396910,0,7.07,10083000000,0,1396910
2017-08-11,0.0,0.0,7.2,7.45,7.15,7.4,933540,0,7.07,6780000000,0,933540
2017-08-14,0.25,3.38,7.4,7.72,7.12,7.65,1706900,0,7.31,12630000000,0,1706900
2017-08-15,-0.1,-1.31,7.8,8.08,7.37,7.55,1541170,0,7.22,12032000000,0,1541170
2017-08-16,-0.05,-0.66,7.3,7.5,7.14,7.5,787130,0,7.17,5673000000,0,787130
2017-08-17,-0.42,-5.6,7.4,7.4,7.08,7.08,770010,0,6.77,5478000000,0,770010
2017-08-18,-0.18,-2.54,7.0,7.0,6.76,6.9,921790,0,6.6,6345000000,0,921790
2017-08-21,0.04,0.58,6.95,6.99,6.8,6.94,267900,0,6.63,1851000000,0,267900
2017-08-22,0.01,0.14,6.81,6.98,6.81,6.95,456170,0,6.64,3135000000,0,456170
2017-08-23,0.04,0.58,6.8,7.08,6.8,6.99,317920,0,6.68,2219000000,0,317920
