,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2010Q1,35165.0,3868.0,709.0,540.0,540.0,429129.0,453237.0,418890.0,274055.0,34347.0,0.0,318.0,20204.0,0.0,1.54,1.58,0.13
1,2010Q2,78856.0,7981.0,7322.0,6082.0,5911.0,235695.0,314270.0,176471.0,175690.0,137799.0,0.0,3795.0,81058.0,16.31,7.71,6.87,1.54
2,2010Q3,152540.0,11794.0,4637.0,3353.0,3353.0,0.0,0.0,0.0,0.0,0.0,0.0,5767.0,0.0,6.75,2.2,4.87,670657688000.0
3,2010Q4,265896.0,11809.0,8605.0,6408.0,6408.0,433495.0,459714.0,417881.0,376419.0,41833.0,0.0,9536.0,24608.0,2.73,2.41,30.63,2.79
4,2011Q1,59646.0,6237.0,488.0,492.0,492.0,449160.0,475888.0,433810.0,339668.0,42078.0,0.0,9508.0,24752.0,2.16,0.82,1.18,0.11
5,2011Q2,91456.0,5000.0,628.0,470.0,470.0,475784.0,507764.0,468970.0,376154.0,38794.0,0.0,6308.0,22820.0,2.92,0.51,1.16,0.1
6,2011Q3,51538.0,7398.0,733.0,518.0,518.0,484009.0,514998.0,475551.0,372524.0,39447.0,0.0,4640.0,23204.0,4.85,1.0,1.32,0.1
7,2011Q4,221680.0,7593.0,2963.0,2446.0,2446.0,353881.0,410293.0,368400.0,357189.0,41893.0,0.0,2309.0,24643.0,9.87,1.1,6.01,0.53
8,2012Q1,38480.0,5988.0,256.0,174.0,174.0,335740.0,391118.0,351981.0,325824.0,39137.0,,2122.0,23022.0,9.9,0.45,0.43,0.04
9,2012Q2,63974.0,6143.0,201.0,115.0,115.0,366658.0,420615.0,382676.0,348361.0,37938.0,,1913.0,22317.0,4.91,0.18,0.3,0.03
10,2012Q3,55642.0,5794.0,305.0,199.0,199.0,383294.0,435379.0,396786.0,357718.0,38593.0,,1725.0,22702.0,4.35,0.36,0.52,0.05
11,2012Q4,156027.0,10256.0,1673.0,1106.0,1106.0,388593.0,445778.0,406080.0,365392.0,39699.0,,937.0,23352.0,9.39,0.71,2.82,0.25
12,2013Q1,39741.0,4374.0,-615.0,-615.0,-615.0,353999.0,410033.0,373249.0,332846.0,36785.0,,473.0,21638.0,26.03,-1.55,-1.61,-0.14
13,2013Q2,26331.0,931.0,-4828.0,-4987.0,-4987.0,352003.0,406674.0,374877.0,334084.0,31798.0,,-2528.0,18704.0,-3.2,-18.94,-14.54,-1.22
14,2013Q3,57263.0,4346.0,833.0,833.0,833.0,390898.0,443872.0,411291.0,368300.0,32581.0,,-2155.0,19165.0,-3.71,1.46,2.59,0.2
15,2013Q4,83178.0,10011.0,5062.0,4973.0,4973.0,340958.0,392400.0,354859.0,293119.0,37541.0,,120.0,22083.0,50.1,5.98,14.18,1.19
16,2014Q1,20765.0,3461.0,102.0,78.0,78.0,318837.0,369137.0,331549.0,266698.0,37588.0,,527.0,22111.0,14.79,0.37,0.21,0.02
17,2014Q2,38382.0,4215.0,-1079.0,-1166.0,-1166.0,315387.0,363962.0,327540.0,272159.0,36422.0,,2775.0,21425.0,2.02,-3.04,-3.15,-0.32
18,2014Q3,34178.0,4558.0,372.0,372.0,372.0,331902.0,379297.0,345604.0,289230.0,33693.0,,2504.0,19819.0,2.4,1.09,1.06,0.1
19,2014Q4,151244.0,10459.0,5830.0,5160.0,5160.0,294052.0,343859.0,305007.0,291406.0,38852.0,,2614.0,22854.0,1.99,3.41,14.22,1.43
20,2015Q1,15451.0,3279.0,54.0,43.0,43.0,289887.0,338309.0,300373.0,295099.0,37936.0,,2593.0,22316.0,2.27,0.28,0.11,0.01
21,2015Q2,36936.0,3196.0,-1635.0,-1695.0,-1695.0,276311.0,323715.0,264474.0,259574.0,59241.0,,2282.0,14810.0,2.32,-4.59,-3.49,-0.51
22,2015Q3,49087.0,4027.0,715.0,714.0,714.0,210778.0,324272.0,264317.0,248516.0,59955.0,,2483.0,14989.0,1.89,1.45,1.2,0.22
23,2015Q4,65343.0,6178.0,1874.0,1610.0,1610.0,215532.0,307781.0,246217.0,241317.0,61564.0,,300.0,15391.0,15.01,2.46,2.65,0.51
24,2016Q1,19527.0,2973.0,84.0,22.0,22.0,257501.0,301286.0,247362.0,247359.0,53923.0,,234.0,13481.0,22.62,0.11,0.04,0.01
25,2016Q2,63001.0,4439.0,316.0,116.0,116.0,262212.0,305670.0,251652.0,237325.0,54018.0,,738.0,13504.0,8.26,0.18,0.22,0.04
26,2016Q3,36713.0,5371.0,2304.0,2288.0,2288.0,331135.0,374570.0,252646.0,252643.0,121923.0,,939.0,10160.0,5.96,6.23,2.6,0.67
27,2016Q4,60429.0,3568.0,3823.0,2708.0,2708.0,336272.0,379816.0,259106.0,259103.0,120710.0,,797.0,10059.0,12.05,4.48,2.23,0.72
28,2017Q1,15886.0,2388.0,331.0,259.0,259.0,291930.0,334647.0,242540.0,242537.0,92107.0,,645.0,7676.0,22.78,1.63,0.28,0.08
29,2017Q2,36676.0,-1455.0,14401.0,14400.0,14400.0,308558.0,342920.0,236413.0,236410.0,106507.0,,1908.0,8876.0,4.14,39.26,14.5,4.25
30,2017Q3,41791.0,3984.0,877.0,874.0,874.0,335381.0,376031.0,270063.0,270060.0,105969.0,,1520.0,8831.0,5.92,2.09,0.82,0.24
31,2017Q4,116987.0,3229.0,15209.0,14456.0,14456.0,334336.0,374276.0,253928.0,253928.0,120348.0,,2499.0,10029.0,5.52,12.36,12.77,3.85
32,2018Q1,19930.0,3444.0,105.0,82.0,82.0,363091.0,402593.0,281735.0,281735.0,120858.0,,2484.0,10072.0,7.57,0.41,0.07,0.02
33,2018Q2,20379.0,4399.0,697.0,52.0,52.0,384600.0,423539.0,302630.0,288693.0,120910.0,,1289.0,10076.0,11.17,0.25,0.04,0.01
34,2018Q3,17838.0,1498.0,-2522.0,-1861.0,-1861.0,421383.0,461975.0,342926.0,308599.0,119048.0,,1061.0,9921.0,20.08,-10.43,-1.55,-0.42
35,2018Q4,20615.0,5782.0,1865.0,1749.0,1749.0,532738.0,573835.0,453037.0,398028.0,120798.0,,2.0,10067.0,13345.45,8.49,1.46,0.34
36,2019Q1,8575.0,786.0,-1851.0,-1867.0,-1867.0,623924.0,664542.0,548596.0,490502.0,115946.0,,-161.0,9662.0,-55.41,-21.77,-1.6,-0.28
37,2019Q2,252540.0,25735.0,24883.0,2471.0,2471.0,453437.0,492041.0,373624.0,333897.0,118417.0,,41.0,9868.0,368.35,0.98,2.11,0.43
38,2019Q3,34778.0,3551.0,-688.0,-688.0,-688.0,384858.0,423200.0,304251.0,265523.0,118949.0,,139.0,9913.0,169.38,-1.98,-0.58,-0.15
39,2019Q4,80686.0,3865.0,-709.0,-738.0,-738.0,375114.0,413060.0,294849.0,266121.0,118211.0,,-69.0,9851.0,-401.2,-0.91,-0.62,-0.18
40,2020Q1,7125.0,-1608.0,-4393.0,-5375.0,-5375.0,373960.0,411560.0,300881.0,300881.0,110678.0,,-361.0,9223.0,-29.37,-75.44,-4.75,-1.3
41,2020Q2,25686.0,4065.0,872.0,871.0,871.0,407228.0,444551.0,333002.0,333002.0,111549.0,,-494.0,9296.0,-10.12,3.39,0.78,0.2
42,2020Q3,7437.0,1070.0,-1363.0,-1381.0,-1381.0,414660.0,451755.0,341968.0,319963.0,109787.0,,-552.0,9149.0,-8.7,-18.57,-1.25,-0.31
43,2020Q4,121224.0,10666.0,7767.0,6638.0,6638.0,400663.0,437062.0,320636.0,281608.0,116426.0,,63.0,9702.0,68.51,5.48,5.87,1.49
44,2021Q1,12599.0,983.0,-934.0,-1136.0,-1136.0,401594.0,450863.0,334795.0,303732.0,116068.0,,416.0,9672.0,14.42,-9.02,-0.97,-0.26
45,2021Q2,55896.0,2918.0,2731.0,1972.0,1972.0,365790.0,414697.0,296657.0,270250.0,118040.0,,508.0,9837.0,11.23,3.53,1.68,0.46
46,2021Q3,2587.0,179.0,-1845.0,-1847.0,-1847.0,270653.0,319362.0,207107.0,180700.0,112255.0,,469.0,9355.0,19.62,-71.41,-1.6,-0.5
47,2021Q4,61295.0,2949.0,9758.0,9325.0,9325.0,250561.0,343296.0,221717.0,188501.0,121579.0,,693.0,10132.0,20.06,15.21,7.98,2.81
48,2022Q1,4601.0,230.0,993.0,969.0,969.0,225955.0,318498.0,196611.0,170795.0,121887.0,,868.0,10157.0,15.43,21.07,0.8,0.3
49,2022Q2,3379.0,1209.0,268.0,101.0,101.0,267082.0,359227.0,237239.0,211239.0,121988.0,,712.0,10166.0,9.55,2.99,0.08,0.03
