Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
Symbols,VAF,VAF,VAF,VAF,VAF,VAF,VAF,VAF,VAF,VAF,VAF,VAF
date,,,,,,,,,,,,
2015-06-23,-1.6,-8.0,24.0,24.0,18.4,18.4,3510,0,8.58,84000000,0,3510
2015-06-24,-0.9,-4.89,19.0,19.6,17.5,17.5,5060,0,8.16,95000000,0,5060
2015-06-25,1.2,6.86,18.6,18.7,18.0,18.7,2810,0,8.72,52000000,0,2810
2015-06-26,-1.2,-6.42,19.1,19.1,17.5,17.5,8080,0,8.16,145000000,0,8080
2015-06-29,-1.1,-6.29,16.5,16.5,16.4,16.4,2930,0,7.65,48000000,0,2930
2015-06-30,-0.8,-4.88,16.4,16.4,15.6,15.6,7580,0,7.28,119000000,0,7580
2015-07-01,1.0,6.41,16.6,16.6,16.6,16.6,100,0,7.74,2000000,0,100
2015-07-02,0.5,3.01,17.1,17.1,17.1,17.1,10,0,7.98,0,0,10
2015-07-03,-0.3,-1.75,17.5,17.5,16.8,16.8,7080,0,7.84,120000000,0,7080
2015-07-06,0.0,0.0,16.8,16.8,16.8,16.8,0,0,7.84,0,0,0
2015-07-07,-0.2,-1.19,16.6,16.8,16.6,16.6,6570,0,7.74,110000000,0,6570
2015-07-08,0.4,2.41,17.0,17.0,17.0,17.0,1000,0,7.93,17000000,0,1000
2015-07-09,-0.5,-2.94,16.5,16.5,16.5,16.5,10,0,7.7,0,0,10
2015-07-10,0.0,0.0,16.5,16.6,16.5,16.5,5110,0,7.7,84000000,0,5110
2015-07-13,0.5,3.03,16.5,17.1,16.0,17.0,6930,0,7.93,112000000,0,6930
2015-07-14,0.0,0.0,16.1,17.0,16.1,17.0,420,0,7.93,7000000,0,420
2015-07-15,0.0,0.0,16.2,17.0,15.9,17.0,22010,0,7.93,353000000,0,22010
2015-07-16,0.0,0.0,17.0,17.0,17.0,17.0,10,0,7.93,0,0,10
2015-07-17,0.5,2.94,16.0,17.5,16.0,17.5,1910,0,8.16,31000000,0,1910
2015-07-20,0.0,0.0,17.5,17.5,17.5,17.5,10,0,8.16,0,0,10
2015-07-21,0.0,0.0,18.0,18.0,17.0,17.5,3560,0,8.16,64000000,0,3560
2015-07-22,-0.1,-0.57,17.0,17.4,17.0,17.4,100,0,8.12,2000000,0,100
2015-07-23,0.0,0.0,17.4,17.4,17.4,17.4,0,0,8.12,0,0,0
2015-07-24,0.0,0.0,17.4,17.4,17.4,17.4,0,0,8.12,0,0,0
2015-07-27,0.0,0.0,17.4,17.4,17.4,17.4,0,0,8.12,0,0,0
2015-07-28,-0.4,-2.3,17.0,17.0,17.0,17.0,140,0,7.93,2000000,0,140
2015-07-29,0.0,0.0,17.0,17.0,17.0,17.0,0,0,7.93,0,0,0
2015-07-30,0.0,0.0,17.0,17.0,16.2,17.0,2810,0,7.93,46000000,0,2810
2015-07-31,0.5,2.94,17.2,18.0,17.1,17.5,3210,0,8.16,57000000,0,3210
2015-08-03,-1.1,-6.29,16.4,16.4,16.4,16.4,10,0,7.65,0,0,10
2015-08-04,-0.8,-4.88,17.0,17.0,15.6,15.6,40,0,7.28,1000000,0,40
2015-08-05,0.6,3.85,16.2,16.6,16.1,16.2,5910,0,7.56,96000000,0,5910
2015-08-06,0.0,0.0,16.2,16.2,16.2,16.2,2560,0,7.56,41000000,0,2560
2015-08-07,-0.2,-1.23,17.0,17.0,16.0,16.0,20,0,7.46,0,0,20
2015-08-10,0.8,5.0,16.7,16.8,16.7,16.8,5490,0,7.84,92000000,0,5490
2015-08-11,0.0,0.0,16.8,17.0,16.8,16.8,1220,0,7.84,21000000,0,1220
2015-08-12,0.2,1.19,17.0,17.2,17.0,17.0,550,0,7.93,9000000,0,550
2015-08-13,-0.1,-0.59,17.4,17.5,16.8,16.9,4270,0,7.88,74000000,0,4270
2015-08-14,0.0,0.0,16.9,16.9,16.9,16.9,0,0,7.88,0,0,0
2015-08-17,-0.1,-0.59,16.8,16.8,16.8,16.8,500,0,7.84,8000000,0,500
2015-08-18,0.0,0.0,16.8,16.8,16.8,16.8,0,0,7.84,0,0,0
2015-08-19,0.0,0.0,16.8,16.8,16.8,16.8,0,0,7.84,0,0,0
2015-08-20,0.0,0.0,16.5,16.8,16.5,16.8,1300,0,7.84,22000000,0,1300
2015-08-21,-0.3,-1.79,16.8,16.8,16.5,16.5,2500,0,7.7,42000000,0,2500
2015-08-24,-0.1,-0.61,16.6,16.6,16.4,16.4,600,0,7.65,10000000,0,600
2015-08-25,0.0,0.0,16.4,16.4,16.4,16.4,500,0,7.65,8000000,0,500
2015-08-26,0.6,3.66,16.3,17.0,16.3,17.0,8310,0,7.93,138000000,0,8310
2015-08-27,0.0,0.0,17.0,17.0,17.0,17.0,0,0,7.93,0,0,0
2015-08-28,-0.2,-1.18,16.8,16.8,16.8,16.8,1000,0,7.84,17000000,0,1000
2015-08-31,0.0,0.0,16.8,16.8,16.8,16.8,3500,0,7.84,59000000,0,3500
2015-09-01,0.1,0.6,17.2,17.5,16.9,16.9,6090,0,7.88,106000000,0,6090
2015-09-03,-0.4,-2.37,16.5,16.5,16.5,16.5,10,0,7.7,0,0,10
2015-09-04,0.5,3.03,16.4,17.0,16.0,17.0,20350,0,7.93,329000000,0,20350
2015-09-07,0.3,1.76,17.3,17.3,17.3,17.3,20,0,8.07,0,0,20
2015-09-08,-0.1,-0.58,17.3,17.3,17.2,17.2,180,0,8.02,3000000,0,180
2015-09-09,-0.3,-1.74,16.6,17.3,16.6,16.9,25770,0,7.88,440000000,0,25770
2015-09-10,0.0,0.0,16.6,16.9,16.6,16.9,13820,0,7.88,229000000,0,13820
2015-09-11,-0.1,-0.59,16.5,17.3,16.5,16.8,14190,0,7.84,241000000,0,14190
2015-09-14,0.1,0.6,16.6,16.9,16.6,16.9,7010,0,7.88,117000000,0,7010
2015-09-15,0.3,1.78,16.8,17.2,16.4,17.2,6720,0,8.02,111000000,0,6720
2015-09-16,-0.1,-0.58,17.2,17.2,17.1,17.1,5010,0,7.98,86000000,0,5010
2015-09-17,-0.2,-1.17,17.0,17.0,16.7,16.9,2930,0,7.88,49000000,0,2930
2015-09-18,-0.3,-1.78,16.7,16.7,16.6,16.6,5410,0,7.74,90000000,0,5410
2015-09-21,0.3,1.81,16.9,17.0,16.6,16.9,4880,0,7.88,81000000,0,4880
2015-09-22,0.1,0.59,17.0,17.0,17.0,17.0,980,0,7.93,17000000,0,980
2015-09-23,-0.1,-0.59,16.9,16.9,16.8,16.9,7250,0,7.88,123000000,0,7250
2015-09-24,-0.2,-1.18,16.9,16.9,16.7,16.7,4610,0,7.79,78000000,0,4610
2015-09-25,0.3,1.8,16.5,17.0,16.5,17.0,6340,0,7.93,105000000,0,6340
2015-09-28,0.0,0.0,17.0,17.0,17.0,17.0,10,0,7.93,0,0,10
2015-09-29,0.0,0.0,17.0,17.0,17.0,17.0,0,0,7.93,0,0,0
2015-09-30,-1.0,-5.88,17.0,17.0,16.0,16.0,110,0,7.46,2000000,0,110
2015-10-01,1.0,6.25,17.0,17.0,17.0,17.0,10,0,7.93,0,0,10
2015-10-02,-1.0,-5.88,17.2,17.2,16.0,16.0,21020,0,7.46,343000000,0,21020
2015-10-05,0.0,0.0,16.0,16.0,16.0,16.0,0,0,7.46,0,0,0
2015-10-06,0.5,3.13,16.0,16.5,15.6,16.5,14940,0,7.7,235000000,0,14940
2015-10-07,0.2,1.21,16.7,16.7,16.7,16.7,30,0,7.79,1000000,0,30
2015-10-08,0.4,2.4,17.1,17.1,17.1,17.1,20,0,7.98,0,0,20
2015-10-09,-1.0,-5.85,16.0,16.3,16.0,16.1,6010,0,7.51,97000000,0,6010
2015-10-12,0.0,0.0,16.1,16.1,16.1,16.1,5000,0,7.51,81000000,0,5000
2015-10-13,1.1,6.83,17.2,17.2,17.2,17.2,2000,0,8.02,34000000,0,2000
2015-10-14,-0.9,-5.23,16.3,17.2,16.3,16.3,1540,0,7.6,25000000,0,1540
2015-10-15,0.2,1.23,16.5,16.5,16.5,16.5,80,0,7.7,1000000,0,80
2015-10-16,0.4,2.42,16.9,16.9,16.1,16.9,4040,0,7.88,65000000,0,4040
2015-10-19,0.0,0.0,16.9,16.9,16.9,16.9,150,0,7.88,3000000,0,150
2015-10-20,0.0,0.0,16.9,16.9,16.9,16.9,0,0,7.88,0,0,0
2015-10-21,0.0,0.0,16.9,16.9,16.9,16.9,0,0,7.88,0,0,0
2015-10-22,-0.3,-1.78,16.6,16.6,16.6,16.6,910,0,7.74,15000000,0,910
2015-10-23,0.4,2.41,17.0,17.0,17.0,17.0,10,0,7.93,0,0,10
2015-10-26,-0.1,-0.59,16.0,16.9,16.0,16.9,18130,0,7.88,295000000,0,18130
2015-10-27,0.0,0.0,16.9,16.9,16.9,16.9,10,0,7.88,0,0,10
2015-10-28,-0.4,-2.37,16.9,16.9,16.5,16.5,4000,0,7.7,67000000,0,4000
2015-10-29,-0.2,-1.21,16.5,16.5,16.3,16.3,8000,0,7.6,132000000,0,8000
2015-10-30,0.2,1.23,16.5,16.5,16.5,16.5,10,0,7.7,0,0,10
2015-11-02,0.0,0.0,16.5,16.5,16.5,16.5,0,0,7.7,0,0,0
2015-11-03,0.0,0.0,16.5,16.5,16.5,16.5,0,0,7.7,0,0,0
2015-11-04,0.4,2.42,16.9,16.9,16.9,16.9,10,0,7.88,0,0,10
2015-11-05,0.0,0.0,16.2,16.9,16.0,16.9,1120,0,7.88,18000000,0,1120
2015-11-06,-0.7,-4.14,16.2,16.2,16.0,16.2,400,0,7.56,6000000,0,400
2015-11-09,0.3,1.85,16.7,16.7,16.5,16.5,300,0,7.7,5000000,0,300
2015-11-10,0.0,0.0,16.5,16.5,16.5,16.5,0,0,7.7,0,0,0
2015-11-11,0.0,0.0,16.5,16.5,16.5,16.5,0,0,7.7,0,0,0
2015-11-12,-0.2,-1.21,16.0,16.5,16.0,16.3,2260,0,7.6,37000000,0,2260
2015-11-13,0.2,1.23,16.4,16.5,16.4,16.5,1100,0,7.7,18000000,0,1100
2015-11-16,0.0,0.0,16.5,16.5,16.5,16.5,10,0,7.7,0,0,10
2015-11-17,-0.2,-1.21,16.3,16.3,16.3,16.3,820,0,7.6,13000000,0,820
2015-11-18,0.0,0.0,16.2,16.3,16.1,16.3,880,0,7.6,14000000,0,880
2015-11-19,0.2,1.23,16.4,16.5,16.4,16.5,4300,0,7.7,71000000,0,4300
2015-11-20,0.0,0.0,16.5,16.5,16.5,16.5,0,0,7.7,0,0,0
2015-11-23,0.0,0.0,16.5,16.5,16.5,16.5,0,0,7.7,0,0,0
2015-11-24,0.0,0.0,16.5,16.5,16.5,16.5,8000,0,7.7,132000000,0,8000
2015-11-25,0.0,0.0,16.5,16.5,16.5,16.5,0,0,7.7,0,0,0
2015-11-26,0.3,1.82,16.5,16.8,16.5,16.8,2510,0,7.84,42000000,0,2510
2015-11-27,0.0,0.0,16.8,16.8,16.8,16.8,0,0,7.84,0,0,0
2015-11-30,-0.7,-4.17,16.8,16.8,16.1,16.1,120,0,7.51,2000000,0,120
2015-12-01,0.0,0.0,16.1,16.1,16.1,16.1,0,0,7.51,0,0,0
2015-12-02,0.1,0.62,16.1,16.4,16.2,16.2,1000,0,7.56,16000000,0,1000
