Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
Symbols,VCB,VCB,VCB,VCB,VCB,VCB,VCB,VCB,VCB,VCB,VCB,VCB
date,,,,,,,,,,,,
2009-06-30,10.0,20.0,60.0,60.0,60.0,60.0,294070,0,16.25,17644200000,0,294070
2009-07-01,0.5,0.83,63.0,63.0,59.5,60.5,6248390,3410000,16.38,389785020000,212430000000,9658390
2009-07-02,-2.5,-4.13,59.5,60.0,57.5,58.0,1515670,40000,15.7,88933635000,2310000000,1555670
2009-07-03,-2.0,-3.45,56.5,57.0,56.0,56.0,899720,42000,15.16,50678150000,2541000000,941720
2009-07-06,2.5,4.46,56.0,58.5,56.0,58.5,1571740,0,15.84,90182635000,0,1571740
2009-07-07,-2.0,-3.42,57.5,58.0,56.5,56.5,1115420,91000,15.3,63717185000,5283500000,1206420
2009-07-08,-1.0,-1.77,55.0,56.0,54.5,55.5,763030,654470,15.03,42239810000,38488730000,1417500
2009-07-09,-1.5,-2.7,54.5,56.0,53.5,54.0,982430,0,14.62,53459805000,0,982430
2009-07-10,-2.5,-4.63,53.0,53.5,51.5,51.5,1973450,20000,13.94,102576855000,1030000000,1993450
2009-07-13,-2.5,-4.85,50.0,51.5,49.0,49.0,812260,71000,13.27,40330986000,3479000000,883260
2009-07-14,-1.2,-2.45,49.2,49.2,47.5,47.8,847840,0,12.94,40790859000,0,847840
2009-07-15,1.2,2.51,48.0,49.8,48.0,49.0,807250,50000,13.27,39407961000,2275000000,857250
2009-07-16,0.8,1.63,50.0,50.0,49.4,49.8,638990,90000,13.48,31778266000,4230000000,728990
2009-07-17,-0.7,-1.41,49.5,49.7,48.8,49.1,311000,71000,13.29,15314726000,3479000000,382000
2009-07-20,-2.3,-4.68,47.1,47.3,46.7,46.8,869220,0,12.67,40673023000,0,869220
2009-07-21,0.1,0.21,47.2,47.7,46.8,46.9,483900,0,12.7,22801343000,0,483900
2009-07-22,0.6,1.28,47.5,47.6,47.2,47.5,411780,0,12.86,19539362000,0,411780
2009-07-23,2.3,4.84,47.0,49.8,47.0,49.8,929090,0,13.48,44721601000,0,929090
2009-07-24,2.2,4.42,52.0,52.0,52.0,52.0,624760,0,14.08,32487520000,0,624760
2009-07-27,2.5,4.81,54.5,54.5,52.5,54.5,1535460,0,14.76,83350605000,0,1535460
2009-07-28,-1.5,-2.75,54.5,56.0,52.5,53.0,1192800,50000,14.35,64556865000,2850000000,1242800
2009-07-29,-0.5,-0.94,53.5,54.0,51.5,52.5,924570,0,14.21,48800875000,0,924570
2009-07-30,-1.0,-1.9,52.0,52.5,50.5,51.5,606660,0,13.94,31253340000,0,606660
2009-07-31,2.5,4.85,53.5,54.0,53.0,54.0,1125450,60000,14.62,60493850000,3240000000,1185450
2009-08-03,2.5,4.63,56.5,56.5,55.0,56.5,2707260,0,15.3,152840955000,0,2707260
2009-08-04,2.0,3.54,59.0,59.0,57.0,58.5,1869220,40000,15.84,109447975000,2360000000,1909220
2009-08-05,-0.5,-0.85,58.0,59.0,57.0,58.0,1654270,0,15.7,96337540000,0,1654270
2009-08-06,-1.0,-1.72,58.0,59.0,56.5,57.0,1656340,40000,15.43,95888840000,2420000000,1696340
2009-08-07,-0.5,-0.88,56.5,57.5,56.5,56.5,1017420,0,15.3,57689020000,0,1017420
2009-08-10,1.0,1.77,57.0,58.0,56.5,57.5,689300,0,15.57,39585270000,0,689300
2009-08-11,-0.5,-0.87,57.0,58.0,56.5,57.0,1207840,0,15.43,68675225000,0,1207840
2009-08-12,-0.5,-0.88,57.5,57.5,56.5,56.5,996150,0,15.3,56682905000,0,996150
2009-08-13,0.5,0.88,57.5,57.5,56.5,57.0,896790,0,15.43,51186195000,0,896790
2009-08-14,0.0,0.0,56.5,57.5,56.5,57.0,709790,0,15.43,40347180000,0,709790
2009-08-17,-1.0,-1.75,56.5,57.0,56.0,56.0,622790,25000,15.16,35091020000,1362500000,647790
2009-08-18,-0.5,-0.89,55.0,56.0,55.0,55.5,927850,0,15.03,51274120000,0,927850
2009-08-19,0.0,0.0,56.5,56.5,55.0,55.5,719390,0,15.03,39781060000,0,719390
2009-08-20,0.0,0.0,56.0,56.0,55.0,55.5,578130,0,15.03,32096405000,0,578130
2009-08-21,0.5,0.9,56.0,58.0,56.0,56.0,1444220,25000,15.16,81851880000,1325000000,1469220
2009-08-24,0.5,0.89,57.0,57.0,56.0,56.5,634370,0,15.3,35952900000,0,634370
2009-08-25,-1.0,-1.77,56.5,56.5,55.5,55.5,577480,0,15.03,32358455000,0,577480
2009-08-26,0.5,0.9,56.0,56.5,55.5,56.0,516120,130000,15.16,28921490000,7525000000,646120
2009-08-27,0.0,0.0,56.0,56.0,55.5,56.0,538870,0,15.16,30092420000,0,538870
2009-08-28,0.5,0.89,56.5,56.5,56.0,56.5,639140,30000,15.3,36029875000,1650000000,669140
2009-08-31,1.0,1.77,57.5,57.5,56.5,57.5,874340,0,15.57,49959495000,0,874340
2009-09-01,-0.5,-0.87,56.5,57.5,56.5,57.0,847070,50000,15.43,48250970000,2825000000,897070
2009-09-03,-1.0,-1.75,56.0,56.5,54.5,56.0,1078760,46500,15.16,60194460000,2534250000,1125260
2009-09-04,-1.5,-2.68,56.0,56.0,54.5,54.5,1015060,0,14.76,56006445000,0,1015060
2009-09-07,-1.5,-2.75,53.0,54.5,52.0,53.0,954060,0,14.35,50612880000,0,954060
2009-09-08,0.5,0.94,54.0,54.0,53.0,53.5,687300,46500,14.49,36887760000,2348250000,733800
2009-09-09,0.0,0.0,53.5,54.0,53.0,53.5,682660,47440,14.49,36523825000,2419440000,730100
2009-09-10,-0.5,-0.93,53.0,53.5,53.0,53.0,412250,0,14.35,21942585000,0,412250
2009-09-11,0.0,0.0,53.0,53.5,52.5,53.0,416470,0,14.35,22079135000,0,416470
2009-09-14,0.0,0.0,53.0,53.5,52.5,53.0,588470,0,14.35,31235350000,0,588470
2009-09-15,-0.5,-0.94,53.5,53.5,52.5,52.5,727020,0,14.21,38319460000,0,727020
2009-09-16,2.5,4.76,55.0,55.0,55.0,55.0,879780,46500,14.89,48387900000,2320350000,926280
2009-09-17,1.0,1.82,57.5,57.5,54.0,56.0,2195540,100000,15.16,123958675000,5250000000,2295540
2009-09-18,0.5,0.89,55.0,56.5,54.0,56.5,850000,0,15.3,47192155000,0,850000
2009-09-21,-1.5,-2.65,56.5,56.5,55.0,55.0,761980,0,14.89,42262245000,0,761980
2009-09-22,-1.0,-1.82,54.0,55.0,54.0,54.0,658880,0,14.62,35785925000,0,658880
2009-09-23,0.5,0.93,55.0,56.0,54.5,54.5,757950,0,14.76,41805730000,0,757950
2009-09-24,-1.0,-1.83,54.0,54.5,53.5,53.5,541670,0,14.49,29180660000,0,541670
2009-09-25,2.0,3.74,53.5,56.0,53.0,55.5,933140,0,15.03,50736535000,0,933140
2009-09-28,-1.0,-1.8,56.0,56.0,54.5,54.5,561480,0,14.76,30973685000,0,561480
2009-09-29,-0.5,-0.92,55.0,55.0,53.5,54.0,750310,0,14.62,40495860000,0,750310
2009-09-30,-0.5,-0.93,54.0,54.5,53.0,53.5,712000,0,14.49,38111670000,0,712000
2009-10-01,-1.0,-1.87,53.5,53.5,52.5,52.5,875180,0,14.21,46244965000,0,875180
2009-10-02,-1.5,-2.86,51.5,51.5,50.0,51.0,1416100,112790,13.81,72098700000,5752290000,1528890
2009-10-05,0.0,0.0,51.5,51.5,50.0,51.0,606370,0,13.81,30779625000,0,606370
2009-10-06,-0.5,-0.98,51.5,51.5,50.5,50.5,460990,0,13.67,23384050000,0,460990
2009-10-07,0.5,0.99,51.0,51.5,50.5,51.0,596580,0,13.81,30462010000,0,596580
2009-10-08,0.0,0.0,51.5,51.5,50.5,51.0,448600,0,13.81,22775940000,0,448600
2009-10-09,0.5,0.98,51.5,52.0,51.0,51.5,794860,0,13.94,40827930000,0,794860
2009-10-12,1.5,2.91,52.0,53.0,51.5,53.0,759120,0,14.35,39645185000,0,759120
2009-10-13,-1.0,-1.89,53.0,53.0,51.0,52.0,513610,0,14.08,26791385000,0,513610
2009-10-14,2.5,4.81,51.5,54.5,51.5,54.5,1359110,0,14.76,72213220000,0,1359110
2009-10-15,2.5,4.59,57.0,57.0,56.0,57.0,3378300,0,15.43,192129430000,0,3378300
2009-10-16,-0.5,-0.88,57.5,59.0,56.5,56.5,2239820,110000,15.3,128724810000,6270000000,2349820
2009-10-19,-1.5,-2.65,55.0,56.5,54.5,55.0,1015080,25000,14.89,56103850000,1412500000,1040080
2009-10-20,-0.5,-0.91,55.5,56.0,54.5,54.5,909450,200000,14.76,50066175000,11500000000,1109450
2009-10-21,-0.5,-0.92,54.5,54.5,54.0,54.0,1038410,95000,14.62,56268080000,5130000000,1133410
2009-10-22,1.0,1.85,54.5,55.0,54.0,55.0,865390,280000,14.89,47328960000,15625000000,1145390
2009-10-23,1.5,2.73,55.5,57.5,55.0,56.5,3946240,145000,15.3,225332730000,8290000000,4091240
2009-10-26,-1.5,-2.65,57.0,57.5,54.5,55.0,1130810,0,14.89,63209890000,0,1130810
2009-10-27,-2.0,-3.64,53.0,54.5,52.5,53.0,1594080,425500,14.35,84750180000,23902500000,2019580
2009-10-28,0.0,0.0,54.0,54.0,52.5,53.0,623620,80000,14.35,33212055000,4365000000,703620
2009-10-29,-2.0,-3.77,51.5,52.5,50.5,51.0,3489050,130000,13.81,177408135000,6650000000,3619050
2009-10-30,1.0,1.96,52.5,53.0,51.0,52.0,1302800,0,14.08,68053210000,0,1302800
2009-11-02,1.0,1.92,52.0,53.0,50.5,53.0,2142950,90000,14.35,111117760000,4701000000,2232950
2009-11-03,-1.5,-2.83,52.5,53.0,50.5,51.5,1390550,0,13.94,71813025000,0,1390550
2009-11-04,0.0,0.0,52.0,52.5,51.0,51.5,788110,110000,13.94,40729075000,5610000000,898110
2009-11-05,1.5,2.91,51.5,53.5,51.5,53.0,997290,50000,14.35,52163420000,2700000000,1047290
2009-11-06,-1.5,-2.83,53.0,53.5,51.5,51.5,905910,0,13.94,47206685000,0,905910
2009-11-09,-1.0,-1.94,51.0,52.0,50.5,50.5,1193030,80000,13.67,61028250000,3920000000,1273030
2009-11-10,-0.9,-1.78,51.0,51.5,49.6,49.6,813300,160000,13.43,40759109000,8480000000,973300
2009-11-11,0.4,0.81,50.0,50.5,49.5,50.0,657810,22000,13.54,32827724000,1038400000,679810
2009-11-12,0.5,1.0,50.5,51.0,49.8,50.5,948480,0,13.67,47699186000,0,948480
2009-11-13,-0.7,-1.39,50.0,50.0,49.6,49.8,703390,100000,13.48,35117431000,5050000000,803390
2009-11-16,-0.2,-0.4,49.5,50.0,49.5,49.6,770120,0,13.43,38285948000,0,770120
2009-11-17,-0.7,-1.41,49.4,49.5,48.9,48.9,601790,113797,13.24,29518024000,5427218000,715587
2009-11-18,-0.6,-1.23,48.5,48.8,48.1,48.3,536330,0,13.08,25933588000,0,536330
2009-11-19,0.6,1.24,48.4,49.3,48.0,48.9,533380,0,13.24,25974058000,0,533380
2009-11-20,-0.7,-1.43,48.9,48.9,48.2,48.2,585050,0,13.05,28362185000,0,585050
2009-11-23,-1.0,-2.07,48.0,48.1,47.2,47.2,771170,0,12.78,36696468000,0,771170
2009-11-24,-0.9,-1.91,47.0,47.1,46.3,46.3,585000,0,12.54,27254482000,0,585000
2009-11-25,-2.3,-4.97,46.0,46.0,44.0,44.0,1319610,35008,11.91,58501067000,1610368000,1354618
