Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
Symbols,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI
date,,,,,,,,,,,,
2017-07-07,9.6,20.0,57.6,57.6,57.6,57.6,114260,0,13.66,6581000000,0,114260
2017-07-10,2.5,4.34,61.6,61.6,58.0,60.1,2677240,344950,14.25,162224000000,18569320000,3022190
2017-07-11,-1.1,-1.83,60.2,60.2,58.0,59.0,838360,785000,13.99,49390000000,46310750000,1623360
2017-07-12,0.2,0.34,59.0,59.9,58.6,59.2,376520,1538060,14.04,22297000000,91113152000,1914580
2017-07-13,-0.9,-1.52,59.1,59.1,58.3,58.3,780690,0,13.83,45766000000,0,780690
2017-07-14,-0.9,-1.54,58.1,58.6,57.3,57.4,605590,1279198,13.61,34863000000,73881484000,1884788
2017-07-17,0.8,1.39,57.9,59.0,57.2,58.2,469140,1620000,13.8,27233000000,94985500000,2089140
2017-07-18,-0.6,-1.03,58.0,58.2,57.6,57.6,319370,275800,13.66,18517000000,15996400000,595170
2017-07-19,0.1,0.17,58.0,58.3,57.5,57.7,279130,0,13.68,16168000000,0,279130
2017-07-20,0.1,0.17,57.8,58.0,57.5,57.8,342050,2412610,13.71,19745000000,139252597000,2754660
2017-07-21,-0.1,-0.17,57.8,58.0,57.6,57.7,140450,560000,13.68,8115000000,32473000000,700450
2017-07-24,0.0,0.0,57.7,57.8,57.7,57.7,282460,40000,13.68,16302000000,2330000000,322460
2017-07-25,-0.2,-0.35,57.5,58.0,57.3,57.5,198020,1000000,13.64,11418000000,57700000000,1198020
2017-07-26,1.4,2.43,57.7,59.5,57.6,58.9,307260,100000,13.97,17829000000,5770000000,407260
2017-07-27,1.1,1.87,59.4,61.4,58.9,60.0,438580,555000,14.23,26505000000,33181500000,993580
2017-07-28,1.0,1.67,61.0,61.4,60.0,61.0,600310,1000000,14.47,36588000000,61000000000,1600310
2017-07-31,0.0,0.0,60.5,61.2,60.5,61.0,145430,100000,14.47,8861000000,6100000000,245430
2017-08-01,-1.0,-1.64,61.0,61.0,60.0,60.0,198280,0,14.23,11992000000,0,198280
2017-08-02,0.0,0.0,60.0,61.0,59.8,60.0,530950,0,14.23,31898000000,0,530950
2017-08-03,1.0,1.67,60.1,61.1,60.1,61.0,476970,1540000,14.47,29049000000,93670000000,2016970
2017-08-04,-0.4,-0.66,61.0,61.0,60.5,60.6,267610,312000,14.37,16227000000,18899022000,579610
2017-08-07,0.4,0.66,60.6,61.2,60.6,61.0,447390,225000,14.47,27286000000,13725000000,672390
2017-08-08,-0.5,-0.82,61.0,61.0,60.3,60.5,236400,1255000,14.35,14295000000,76427500000,1491400
2017-08-09,-0.5,-0.83,60.1,60.9,59.5,60.0,384710,0,14.23,23105000000,0,384710
2017-08-10,0.1,0.17,59.2,60.5,59.1,60.1,172920,54390,14.25,10380000000,3263400000,227310
2017-08-11,0.0,0.0,59.9,60.3,59.9,60.1,125740,26800,14.25,7566000000,1621400000,152540
2017-08-14,-0.1,-0.17,60.5,60.5,59.5,60.0,168300,0,14.23,10078000000,0,168300
2017-08-15,0.0,0.0,61.0,61.0,58.0,60.0,151120,0,14.23,8990000000,0,151120
2017-08-16,0.0,0.0,59.0,60.2,59.0,60.0,73300,0,14.23,4381000000,0,73300
2017-08-17,0.0,0.0,60.0,60.1,59.5,60.0,190470,272400,14.23,11416000000,16344000000,462870
2017-08-18,0.0,0.0,59.9,60.0,59.9,60.0,159680,29310,14.23,9580000000,1758600000,188990
2017-08-21,0.0,0.0,60.0,60.4,59.8,60.0,176960,0,14.23,10635000000,0,176960
2017-08-22,-0.1,-0.17,60.0,60.0,59.7,59.9,71320,0,14.2,4272000000,0,71320
2017-08-23,-0.1,-0.17,60.0,60.0,59.7,59.8,61150,67620,14.18,3662000000,4057200000,128770
2017-08-24,0.1,0.17,59.9,59.9,59.7,59.9,199860,0,14.2,11968000000,0,199860
2017-08-25,-0.2,-0.33,59.7,59.9,59.5,59.7,60460,0,14.16,3611000000,0,60460
2017-08-28,-0.4,-0.67,59.5,59.7,59.3,59.3,58920,1000000,14.06,3504000000,61000000000,1058920
2017-08-29,0.0,0.0,59.2,59.5,59.0,59.3,49710,0,14.06,2945000000,0,49710
2017-08-30,0.0,0.0,59.3,59.3,59.0,59.3,72360,0,14.06,4290000000,0,72360
2017-08-31,-0.1,-0.17,59.3,59.3,59.0,59.2,63060,782600,14.04,3731000000,46288180000,845660
2017-09-01,0.0,0.0,59.5,59.5,59.2,59.2,19610,0,14.04,1165000000,0,19610
2017-09-05,-0.2,-0.34,59.0,59.1,58.8,59.0,41150,0,13.99,2429000000,0,41150
2017-09-06,-1.0,-1.69,58.8,58.8,58.0,58.0,63080,0,13.75,3679000000,0,63080
2017-09-07,-0.4,-0.69,58.0,58.0,57.5,57.6,174740,1000000,13.66,10074000000,61240000000,1174740
2017-09-08,-0.2,-0.35,58.3,58.3,57.4,57.4,81480,0,13.61,4704000000,0,81480
2017-09-11,-2.2,-3.83,57.5,57.5,55.2,55.2,95710,0,13.09,5385000000,0,95710
2017-09-12,0.8,1.45,55.1,56.2,55.1,56.0,110930,220380,13.28,6205000000,12359853400,331310
2017-09-13,1.9,3.39,56.0,57.9,55.8,57.9,109080,434550,13.73,6137000000,24334800000,543630
2017-09-14,-1.6,-2.76,57.0,57.1,56.3,56.3,57710,0,13.35,3270000000,0,57710
2017-09-15,-0.8,-1.42,56.3,56.4,55.5,55.5,170940,0,13.16,9576000000,0,170940
2017-09-18,0.5,0.9,55.5,56.0,55.0,56.0,97640,0,13.28,5406000000,0,97640
2017-09-19,-0.1,-0.18,56.0,56.0,55.5,55.9,131570,30240,13.26,7324000000,1678320000,161810
2017-09-20,0.6,1.07,56.0,57.1,55.9,56.5,122020,0,13.4,6831000000,0,122020
2017-09-21,-0.5,-0.88,56.5,56.5,55.7,56.0,19560,0,13.28,1096000000,0,19560
2017-09-22,0.5,0.89,56.0,56.8,56.0,56.5,75900,133840,13.4,4280000000,7561960000,209740
2017-09-25,-0.1,-0.18,56.4,56.5,55.6,56.4,23790,100000,13.37,1334000000,5600000000,123790
2017-09-26,1.8,3.19,56.5,58.4,56.2,58.2,115860,108000,13.8,6650000000,6305500000,223860
2017-09-27,0.2,0.34,58.2,58.8,57.8,58.4,162700,0,13.85,9494000000,0,162700
2017-09-28,0.5,0.86,58.8,59.5,58.4,58.9,135840,230000,13.97,8016000000,13600000000,365840
2017-09-29,0.8,1.36,59.0,59.8,59.0,59.7,146220,322400,14.16,8708000000,19281720000,468620
2017-10-02,-1.5,-2.51,60.0,60.0,58.2,58.2,32020,0,13.8,1880000000,0,32020
2017-10-03,-0.1,-0.17,59.0,59.0,58.0,58.1,40260,0,13.78,2344000000,0,40260
2017-10-04,0.9,1.55,58.0,59.0,58.0,59.0,15340,0,13.99,898000000,0,15340
2017-10-05,0.0,0.0,58.5,59.1,58.5,59.0,34120,0,13.99,2012000000,0,34120
2017-10-06,-0.1,-0.17,59.2,59.2,58.5,58.9,23010,0,13.97,1356000000,0,23010
2017-10-09,0.2,0.34,59.0,59.5,59.0,59.1,105800,0,14.01,6259000000,0,105800
2017-10-10,0.1,0.17,59.4,59.4,59.1,59.2,70890,70000,14.04,4197000000,4137000000,140890
2017-10-11,0.2,0.34,59.3,59.4,59.2,59.4,40670,74000,14.09,2413000000,4395600000,114670
2017-10-12,1.6,2.69,59.5,61.0,59.5,61.0,489320,0,14.47,29500000000,0,489320
2017-10-13,2.0,3.28,61.5,63.4,61.5,63.0,289190,600000,14.94,18149000000,37785000000,889190
2017-10-16,3.0,4.76,64.2,66.0,63.1,66.0,255590,260000,15.65,16472000000,16885000000,515590
2017-10-17,-1.2,-1.82,66.9,67.0,64.0,64.8,164700,27000,15.37,10754000000,1782000000,191700
2017-10-18,-1.3,-2.01,65.0,65.0,63.5,63.5,164000,0,15.06,10600000000,0,164000
2017-10-19,0.7,1.1,64.4,64.4,63.0,64.2,82610,0,15.22,5273000000,0,82610
2017-10-20,-0.4,-0.62,63.9,64.1,63.0,63.8,85110,0,15.13,5430000000,0,85110
2017-10-23,-0.8,-1.25,63.0,63.9,63.0,63.0,97230,20000,14.94,6150000000,1280000000,117230
2017-10-24,0.2,0.32,62.0,63.2,62.0,63.2,45500,0,14.99,2871000000,0,45500
2017-10-25,0.0,0.0,64.4,64.4,63.2,63.2,71080,0,14.99,4521000000,0,71080
2017-10-26,-0.7,-1.11,62.3,64.9,62.3,62.5,10540,0,14.82,661000000,0,10540
2017-10-27,0.5,0.8,62.5,63.0,62.0,63.0,33230,95000,14.94,2082000000,5947000000,128230
2017-10-30,-0.4,-0.63,63.2,64.0,62.1,62.6,85240,112000,14.84,5348000000,7056000000,197240
2017-10-31,0.0,0.0,62.6,63.5,62.5,62.6,107550,0,14.84,6733000000,0,107550
