,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2007Q4,68915.0,19728.0,9182.0,12571.0,12571.0,237148.0,472194.0,300176.0,175458.0,172018.0,0.0,1257.0,10000.0,62.05,18.24,14.62,5.32
1,2008Q1,87405.0,27432.0,18493.0,20740.0,20740.0,249555.0,474311.0,271236.0,202245.0,203075.0,0.0,3331.0,10000.0,10.36,23.73,10.76,4.39
2,2008Q2,93284.0,30075.0,20406.0,18906.0,18906.0,355419.0,584965.0,290846.0,121859.0,294120.0,0.0,5222.0,10000.0,4.71,20.27,7.61,3.57
3,2008Q3,90117.0,29770.0,19452.0,20333.0,20333.0,369669.0,602658.0,290262.0,121282.0,312396.0,0.0,6815.0,24123.0,6.31,22.56,6.7,3.42
4,2008Q4,101764.0,30358.0,16304.0,17563.0,17563.0,357299.0,584852.0,257598.0,118437.0,327254.0,0.0,6871.0,25271.0,3.78,17.26,5.49,2.96
5,2009Q1,92681.0,27852.0,17213.0,17684.0,18047.0,350692.0,605246.0,260273.0,118002.0,317453.0,27520.0,6251.0,24514.0,4.74,19.08,5.85,3.01
6,2009Q2,145265.0,44958.0,24709.0,23302.0,24047.0,377827.0,621317.0,261299.0,118943.0,332585.0,27433.0,6303.0,22172.0,7.52,16.04,7.4,3.92
7,2009Q3,130736.0,40622.0,27619.0,28431.0,28354.0,449429.0,687489.0,299073.0,156868.0,359499.0,28917.0,6556.0,23967.0,8.45,21.75,8.19,4.33
8,2009Q4,152673.0,32918.0,21281.0,24238.0,23217.0,690175.0,974054.0,557239.0,236538.0,381443.0,35372.0,6708.0,25430.0,8.65,15.88,6.27,2.79
9,2010Q1,190619.0,34996.0,21573.0,22301.0,22301.0,701869.0,954820.0,589518.0,430809.0,365302.0,0.0,6783.0,24353.0,7.67,11.7,5.98,2.3
10,2010Q2,185637.0,42486.0,18494.0,42918.0,42510.0,831352.0,1216201.0,774380.0,489799.0,406024.0,35797.0,7788.0,27068.0,6.1,23.12,11.02,3.92
11,2010Q3,193244.0,34901.0,19286.0,22926.0,22639.0,871537.0,1299756.0,825492.0,495783.0,436864.0,37401.0,7362.0,27737.0,6.13,11.86,5.37,1.8
12,2010Q4,240336.0,46221.0,31584.0,31483.0,29306.0,1014764.0,1483600.0,736398.0,394323.0,707286.0,39916.0,7666.0,33574.0,4.32,13.1,5.12,2.11
13,2011Q1,234900.0,31406.0,35447.0,41258.0,40739.0,919648.0,1795318.0,1019111.0,506136.0,738758.0,37449.0,8197.0,35068.0,3.93,17.56,5.66,2.49
14,2011Q2,193098.0,63369.0,23392.0,25880.0,25567.0,900966.0,2574737.0,1549218.0,766451.0,998467.0,27053.0,6573.0,32140.0,5.32,13.4,2.94,1.17
15,2011Q3,206097.0,86212.0,41925.0,36667.0,36481.0,919983.0,2604119.0,1543617.0,708974.0,1032975.0,27526.0,6168.0,33250.0,3.88,17.79,3.59,1.41
