Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
Symbols,VHM,VHM,VHM,VHM,VHM,VHM,VHM,VHM,VHM,VHM,VHM,VHM
date,,,,,,,,,,,,
2018-05-17,18.4,19.98,110.5,110.5,110.5,110.5,18000,0,64.36,1989000000,0,18000
2018-05-18,0.0,0.0,110.5,110.5,110.5,110.5,0,267800000,64.36,0,30716660000000,267800000
2018-05-21,0.0,0.0,110.5,110.5,110.5,110.5,0,0,64.36,0,0,0
2018-05-22,7.7,6.97,118.2,118.2,118.2,118.2,20,0,68.85,2000000,0,20
2018-05-23,-7.9,-6.68,114.5,114.5,110.0,110.3,4839580,484300,64.25,536081000000,53273000000,5323880
2018-05-24,4.2,3.81,110.8,114.8,110.1,114.5,1937240,650000,66.69,217951000000,73117500000,2587240
2018-05-25,3.0,2.62,114.8,119.9,114.5,117.5,1749720,350000,68.44,205392000000,41353000000,2099720
2018-05-28,-0.5,-0.43,111.0,118.0,111.0,117.0,2944740,109220,68.15,341683000000,12779832200,3053960
2018-05-29,-1.0,-0.85,117.0,117.2,113.1,116.0,884320,800000,67.57,102091000000,91760000000,1684320
2018-05-30,1.0,0.86,116.0,117.0,113.0,117.0,2448260,0,68.15,280923000000,0,2448260
2018-05-31,-1.9,-1.62,117.0,117.5,115.1,115.1,1178690,0,67.04,137164000000,0,1178690
2018-06-01,1.4,1.22,115.1,117.5,114.5,116.5,814870,289000,67.86,94617000000,33479440000,1103870
2018-06-04,1.4,1.2,116.0,117.9,115.5,117.9,1762630,96000,68.67,206081000000,11223360000,1858630
2018-06-05,0.1,0.08,117.9,119.0,117.0,118.0,1229890,470000,68.73,144998000000,55293000000,1699890
2018-06-06,2.0,1.69,117.5,120.9,117.0,120.0,712230,285510,69.9,84388000000,33827224800,997740
2018-06-07,0.0,0.0,122.0,122.0,111.6,120.0,1167210,50000,69.9,138712000000,5931000000,1217210
2018-06-08,0.0,0.0,120.0,120.9,117.5,120.0,462940,0,69.9,55260000000,0,462940
2018-06-11,0.0,0.0,120.8,120.8,119.0,120.0,425790,500000,69.9,51039000000,59764000000,925790
2018-06-12,-2.0,-1.67,120.0,120.0,117.0,118.0,816310,400000,68.73,96566000000,47100000000,1216310
2018-06-13,0.0,0.0,118.0,118.4,117.6,118.0,289590,0,68.73,34157000000,0,289590
2018-06-14,-1.0,-0.85,118.0,118.5,116.3,117.0,624230,20000,68.15,73029000000,2200000000,644230
2018-06-15,-0.5,-0.43,117.7,117.7,116.5,116.5,213150,0,67.86,24926000000,0,213150
2018-06-18,0.0,0.0,116.5,118.0,116.0,116.5,626280,0,67.86,72971000000,0,626280
2018-06-19,-1.5,-1.29,116.5,116.5,114.7,115.0,770730,600000,66.98,89026000000,69262000000,1370730
2018-06-20,0.0,0.0,107.1,116.0,107.1,115.0,613980,0,66.98,69934000000,0,613980
2018-06-21,0.0,0.0,115.0,115.1,114.0,115.0,117280,0,66.98,13436000000,0,117280
2018-06-22,-0.8,-0.7,115.0,115.0,114.0,114.2,83230,0,66.52,9525000000,0,83230
2018-06-25,1.3,1.14,114.2,115.9,114.2,115.5,214260,0,67.28,24668000000,0,214260
2018-06-26,-0.5,-0.43,115.5,115.5,114.1,115.0,112440,0,66.98,12895000000,0,112440
2018-06-27,-5.0,-4.35,112.5,114.1,110.0,110.0,305740,0,64.07,34173000000,0,305740
2018-06-28,0.0,0.0,110.0,113.0,108.0,110.0,185920,45000,64.07,20404000000,4948650000,230920
2018-06-29,2.4,2.18,113.0,113.0,108.5,112.4,321730,385690,65.47,35727000000,42133055000,707420
2018-07-02,-1.1,-0.98,112.5,112.5,110.0,111.3,456190,79310,64.83,50732000000,8824823700,535500
2018-07-03,-7.7,-6.92,111.3,111.3,103.6,103.6,165430,0,60.34,17746000000,0,165430
2018-07-04,7.2,6.95,102.1,110.8,102.1,110.8,1358170,248850,64.54,148516000000,27211747500,1607020
2018-07-05,3.2,2.89,110.8,115.0,110.8,114.0,1208630,248700,66.4,137134000000,28219989000,1457330
2018-07-06,-1.5,-1.32,111.5,113.9,111.5,112.5,497040,0,65.53,56199000000,0,497040
2018-07-09,0.3,0.27,112.5,113.4,112.5,112.8,134390,175290,65.7,15171000000,19788488100,309680
2018-07-10,-1.8,-1.6,112.7,112.8,108.5,111.0,298180,466000,64.65,32744000000,51124860000,764180
2018-07-11,-1.3,-1.17,110.0,111.0,108.0,109.7,86370,200000,63.9,9480000000,21952000000,286370
2018-07-12,0.3,0.27,110.0,110.8,108.0,110.0,113470,0,64.07,12475000000,0,113470
2018-07-13,-0.7,-0.64,107.3,111.0,107.3,109.3,57420,100000,63.66,6300000000,10972000000,157420
2018-07-16,-3.3,-3.02,110.5,110.5,106.0,106.0,93750,0,61.74,10150000000,0,93750
2018-07-17,0.0,0.0,109.0,111.0,106.0,106.0,410540,256000,61.74,44492000000,27742720000,666540
2018-07-18,1.4,1.32,110.0,110.0,107.0,107.4,115930,0,62.56,12503000000,0,115930
