,Quý,Thu nhập lãi thuần(MilVND),Chi phí hoạt động(MilVND),Tổng TNTT(MilVND),Tổng LNST(MilVND),LNST của CĐ Ngân hàng mẹ(MilVND),Tổng tài sản(MilVND)," - Tiền, vàng gửi và cho vay các TCTD(MilVND)", - Cho vay khách hàng(MilVND),Nợ phải trả(MilVND), - Tiền gửi và vay các TCTD(MilVND), - Tiền gửi của khách hàng(MilVND),Vốn và các quỹ(MilVND), - Vốn của TCTD(MilVND), - Lợi nhuận chưa phân phối(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROEA(%),ROAA(%)
0,2012Q2,740151.0,514789.0,183094.0,149371.0,149371.0,73989012.0,9151257.0,35261252.0,65687361.0,7963875.0,46311020.0,7839434.0,6802951.0,,351.0,18446.0,0.0,3.81,0.4
1,2012Q3,,,,,,63783506.0,5250627.0,31475767.0,55491458.0,8010516.0,41545682.0,8230586.0,6802951.0,391153.0,351.0,19366.0,0.0,0.0,0.0
2,2012Q4,614376.0,391119.0,205598.0,170494.0,170494.0,65036087.0,7350702.0,33425492.0,56548123.0,11244628.0,38970090.0,8427484.0,6802951.0,585329.0,753.0,19829.0,0.0,2.05,0.26
3,2013Q1,597643.0,397669.0,207015.0,166265.0,166265.0,66286410.0,7691735.0,32569989.0,57731726.0,11759475.0,41461269.0,8496241.0,6802951.0,653957.0,1144.0,19991.0,0.0,1.97,0.25
4,2013Q2,524754.0,392181.0,21847.0,15421.0,14959.0,68395373.0,9504096.0,33116561.0,59736340.0,17943149.0,36617052.0,8600127.0,6802951.0,682320.0,828.0,20236.0,0.0,0.18,0.02
5,2013Q3,439799.0,374281.0,-202857.0,-155681.0,-155681.0,65919597.0,7785249.0,33366016.0,57483342.0,11564826.0,40039997.0,8436255.0,6802951.0,518449.0,461.0,19850.0,0.0,-1.83,-0.23
6,2013Q4,547828.0,471147.0,56757.0,26257.0,26257.0,76896085.0,7966816.0,34335299.0,68933932.0,19036314.0,43261571.0,7962152.0,6802951.0,44389.0,122.0,18734.0,0.0,0.32,0.04
7,2014Q1,511268.0,379235.0,57016.0,44476.0,44476.0,74112800.0,5835007.0,37299986.0,66022755.0,23253188.0,40571807.0,8090046.0,6802951.0,179714.0,-165.0,19035.0,0.0,0.55,0.06
8,2014Q2,528983.0,366279.0,98958.0,85065.0,85065.0,71267956.0,5089978.0,35269376.0,63193022.0,16037747.0,41554763.0,8074934.0,6802951.0,146208.0,0.0,19000.0,0.0,1.05,0.12
9,2014Q3,567418.0,410841.0,83441.0,60547.0,60547.0,76242480.0,7297115.0,36264696.0,68084087.0,19406005.0,43969185.0,8158393.0,6802951.0,206687.0,509.0,19196.0,0.0,0.75,0.08
10,2014Q4,695347.0,441166.0,414413.0,341513.0,341513.0,80712682.0,7492224.0,37289570.0,72205732.0,19761129.0,49051908.0,8506950.0,6802951.0,578338.0,1251.0,20016.0,0.0,4.1,0.44
