,timestamp,delta_volume,date
0,1360256400,227648160,2013-02-08
1,1363885200,34833,2013-03-22
2,1368378000,139333,2013-05-13
3,1370883600,174166,2013-06-11
4,1375203600,174166,2013-07-31
5,1393347600,34833,2014-02-26
6,1394038800,796800,2014-03-06
7,1400518800,796800,2014-05-20
8,1410282000,1125383,2014-09-10
9,1411318800,472559419,2014-09-22
10,1411923600,16987944,2014-09-29
11,1412614800,1339743,2014-10-07
12,1413738000,8306409,2014-10-20
13,1414515600,7770510,2014-10-29
14,1414947600,15326666,2014-11-03
15,1415638800,1500512,2014-11-11
16,1431536400,3268974,2015-05-14
17,1431882000,964613,2015-05-18
18,1437930000,382768764,2015-07-27
19,1439398800,1146128,2015-08-13
20,1440349200,3370967,2015-08-24
21,1445965200,2359676,2015-10-28
22,1447002000,14832250000,2015-11-09
23,1448557200,12135483,2015-11-27
24,1449421200,1887741,2015-12-07
25,1450371600,4247418,2015-12-18
26,1455728400,14629999,2016-02-18
27,1456765200,10584836,2016-03-01
28,1457542800,46451929,2016-03-10
29,1469552400,213379941,2016-07-27
30,1476637200,484473162,2016-10-17
31,1532538000,553913276,2018-07-26
32,1559494800,154314159,2019-06-03
33,1576602000,22640167,2019-12-18
34,1581872400,13855034,2020-02-17
35,1632070800,422784201,2021-09-20
36,1645376400,8720770,2022-02-21
