,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2007Q2,86808.0,62405.0,71582.0,65827.0,65648.0,359011.0,811977.0,116281.0,67924.0,665648.0,30048.0,1094.0,11094.0,0.0,75.83,19.72,16.17
1,2007Q3,46363.0,32465.0,103962.0,89551.0,89551.0,1326122.0,1868140.0,138521.0,86946.0,1729620.0,0.0,1940.0,21620.0,80.93,193.15,7.48,6.68
2,2007Q4,46906.0,33379.0,149629.0,130999.0,130999.0,2017364.0,3090237.0,1229619.0,182701.0,1860619.0,0.0,3577.0,23258.0,43.33,279.28,7.3,5.28
3,2008Q1,62799.0,47836.0,43844.0,38313.0,38352.0,2826667.0,3813647.0,1364530.0,310225.0,2281564.0,167553.0,3474.0,19016.0,24.61,61.01,1.86,1.1
4,2008Q2,64585.0,48216.0,32829.0,38745.0,39943.0,4165812.0,5356523.0,3440825.0,382007.0,1800562.0,115136.0,2945.0,15007.0,31.75,59.99,1.96,0.87
5,2008Q3,76625.0,61437.0,45999.0,38942.0,37469.0,3031833.0,5534922.0,3703794.0,474767.0,1705713.0,125415.0,2341.0,14216.0,40.59,50.82,2.14,0.69
6,2008Q4,74391.0,60448.0,15059.0,6095.0,6266.0,2512360.0,6041956.0,4411291.0,1122605.0,1505971.0,124694.0,1071.0,12552.0,74.24,8.19,0.39,0.11
7,2009Q1,61113.0,47842.0,15734.0,10218.0,11563.0,2263100.0,6225540.0,4603156.0,498640.0,1498781.0,123603.0,833.0,12492.0,48.25,16.72,0.77,0.19
8,2009Q2,62570.0,47073.0,74130.0,64092.0,55034.0,1901535.0,6333115.0,4633138.0,406361.0,1553719.0,146258.0,987.0,12949.0,75.45,102.43,3.61,0.88
9,2009Q3,69792.0,47681.0,122256.0,95662.0,95781.0,3336445.0,8176758.0,5524235.0,878740.0,2374153.0,278370.0,1289.0,11893.0,49.67,137.07,4.88,1.32
10,2009Q4,1766613.0,1202908.0,890609.0,688681.0,616854.0,6982196.0,14549355.0,10818464.0,1744367.0,2112203.0,1618688.0,5158.0,10581.0,18.22,38.98,27.5,5.43
11,2010Q1,104359.0,77464.0,58636.0,38214.0,33327.0,6084538.0,14535763.0,10616306.0,1008992.0,2112498.0,1806960.0,4725.0,10582.0,18.94,36.62,1.59,0.23
12,2010Q2,183274.0,127171.0,128519.0,83985.0,105370.0,7159683.0,17238080.0,12053706.0,1389174.0,3432378.0,1751995.0,4274.0,9520.0,16.26,45.82,3.8,0.66
13,2010Q3,309645.0,228398.0,86603.0,14853.0,51176.0,7647737.0,19307550.0,13646651.0,3335586.0,3786064.0,1874835.0,3363.0,10282.0,18.14,4.8,1.42,0.28
14,2010Q4,3275702.0,2512921.0,2696070.0,2294964.0,2117026.0,13326422.0,26146849.0,16593209.0,5250152.0,6842651.0,2710989.0,8030.0,18363.0,12.14,70.06,39.84,9.31
15,2011Q1,473957.0,320341.0,162742.0,130200.0,96633.0,13535477.0,27618525.0,17131836.0,6080238.0,7472723.0,3013965.0,7173.0,19584.0,18.26,27.47,1.35,0.36
16,2011Q2,386090.0,234129.0,401305.0,331421.0,252717.0,16230547.0,29323115.0,20153194.0,11377172.0,6029303.0,3140618.0,6813.0,15414.0,20.11,85.84,3.74,0.89
17,2011Q3,266633.0,144115.0,311983.0,350955.0,225662.0,18595527.0,33289829.0,24622479.0,16323272.0,6254944.0,2412405.0,7065.0,15991.0,14.16,131.62,3.67,0.72
18,2011Q4,1187059.0,308879.0,433968.0,260521.0,245650.0,18646705.0,35242085.0,26991271.0,21358853.0,6500614.0,1750200.0,2120.0,16619.0,46.93,21.95,3.85,0.72
19,2012Q1,1882707.0,1449004.0,1033021.0,675819.0,712399.0,21339375.0,43412328.0,34956552.0,25591432.0,8863236.0,-407461.0,3422.0,16133.0,28.05,35.9,9.27,1.81
20,2012Q2,1903049.0,798950.0,858365.0,677014.0,544240.0,23088185.0,45906159.0,36719831.0,24174770.0,9722872.0,-536543.0,3733.0,13881.0,22.5,35.58,5.86,1.22
21,2012Q3,1282353.0,501816.0,151760.0,120717.0,95439.0,27002934.0,51119547.0,41539544.0,24188606.0,9818310.0,-238308.0,2946.0,14017.0,28.17,9.41,0.98,0.2
22,2012Q4,2836363.0,1062646.0,520354.0,373118.0,219235.0,28387279.0,55818379.0,44944748.0,25637625.0,10556569.0,317062.0,2523.0,15071.0,31.71,13.15,2.15,0.41
23,2013Q1,983723.0,524751.0,397066.0,264661.0,287066.0,31359746.0,58849026.0,47301714.0,29600327.0,10845725.0,701587.0,1651.0,11685.0,38.47,26.9,2.68,0.5
24,2013Q2,2147212.0,960109.0,5029411.0,3774696.0,3771873.0,31528577.0,58538159.0,43487132.0,25935351.0,14637821.0,413206.0,5572.0,15763.0,11.22,175.8,29.6,6.43
