,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2006Q4,212443.0,36675.0,37259.0,37107.0,37107.0,376574.0,690197.0,236627.0,31524.0,453570.0,0.0,1057.0,12922.0,53.92,17.47,16.36,10.75
1,2007Q1,240277.0,34390.0,23002.0,22802.0,22802.0,206432.0,1273921.0,844784.0,125447.0,429137.0,0.0,1520.0,12226.0,60.54,9.49,5.17,2.32
2,2007Q2,247969.0,53967.0,37230.0,37265.0,37265.0,246538.0,1291674.0,755072.0,64232.0,536602.0,0.0,2386.0,12740.0,33.53,15.03,7.72,2.9
3,2007Q3,238917.0,42582.0,26613.0,26728.0,26728.0,299067.0,1335223.0,771893.0,97803.0,563330.0,0.0,3008.0,13374.0,28.59,11.19,4.86,2.03
4,2007Q4,329102.0,40878.0,53035.0,60243.0,60243.0,523669.0,1560454.0,768246.0,118146.0,774496.0,17713.0,3510.0,12950.0,15.39,18.31,9.01,4.16
5,2008Q1,278919.0,43457.0,27888.0,27831.0,27834.0,425735.0,1521394.0,714371.0,82040.0,795896.0,11127.0,3267.0,13308.0,8.51,9.98,3.54,1.81
6,2008Q2,374355.0,35355.0,25009.0,22923.0,22918.0,340076.0,1410100.0,637784.0,39059.0,757314.0,15002.0,2716.0,12662.0,7.92,6.12,2.95,1.56
7,2008Q3,360945.0,45743.0,29500.0,29183.0,29188.0,495679.0,1561454.0,759739.0,176447.0,786717.0,14997.0,2544.0,13154.0,6.96,8.09,3.78,1.96
8,2008Q4,235934.0,52737.0,-6998.0,-2070.0,-2070.0,395544.0,1446315.0,664949.0,77362.0,781366.0,0.0,1313.0,13065.0,7.69,-0.88,-0.26,-0.14
9,2009Q1,211748.0,45028.0,26997.0,26997.0,26997.0,424581.0,1467769.0,658194.0,86449.0,809575.0,0.0,1304.0,13536.0,7.28,12.75,3.39,1.85
