,Quý,Doanh thu thuần(MilVND),LN gộp(MilVND),LN thuần từ HĐKD(MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ(MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản(MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2006Q1,68313.0,7643.0,3110.0,5213.0,5213.0,453722.0,958870.0,589977.0,375271.0,368893.0,0.0,152.0,10755.0,281.59,7.63,6.89,2.65
1,2006Q2,136625.0,14217.0,5125.0,29244.0,29244.0,506921.0,1012497.0,629183.0,394054.0,383313.0,0.0,1005.0,11175.0,36.33,21.4,6.63,2.51
2,2006Q3,705747.0,26219.0,11379.0,45658.0,45658.0,432637.0,956622.0,557656.0,324988.0,398966.0,0.0,2336.0,11632.0,14.77,6.47,6.37,2.66
3,2006Q4,875555.0,35647.0,15919.0,60543.0,60543.0,499167.0,874726.0,464051.0,228308.0,410675.0,0.0,4101.0,11973.0,11.46,6.91,36.02,14.8
4,2007Q1,80485.0,9552.0,4961.0,16669.0,16669.0,646770.0,1018457.0,602990.0,364744.0,415466.0,0.0,4435.0,12113.0,20.97,20.71,37.83,15.75
5,2007Q2,80087.0,18637.0,13535.0,25073.0,25073.0,724406.0,1098351.0,664946.0,407271.0,433405.0,0.0,4313.0,12636.0,18.55,31.31,35.68,14.99
6,2007Q3,67116.0,7527.0,1700.0,11050.0,11050.0,886618.0,1266992.0,671792.0,402751.0,595201.0,0.0,3304.0,17353.0,19.97,16.46,24.44,10.65
7,2007Q4,875555.0,35647.0,15919.0,60468.0,60468.0,583921.0,1215049.0,601080.0,311103.0,613969.0,0.0,3302.0,17900.0,18.32,6.91,22.01,9.85
8,2008Q1,109984.0,13824.0,6531.0,27200.0,27200.0,1147989.0,2676893.0,778627.0,468906.0,1898267.0,0.0,3436.0,28240.0,7.71,24.73,13.98,7.91
9,2008Q2,128183.0,27989.0,8895.0,51345.0,51345.0,2029046.0,2775098.0,865716.0,539740.0,1909382.0,0.0,3408.0,28406.0,8.77,40.06,11.96,7.57
