Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
Symbols,VRC,VRC,VRC,VRC,VRC,VRC,VRC,VRC,VRC,VRC,VRC,VRC
date,,,,,,,,,,,,
2010-07-26,7.2,20.0,43.2,43.2,41.5,43.2,468840,0,18.34,20200099000,0,468840
2010-07-27,-1.6,-3.7,43.2,43.2,41.6,41.6,107590,20000,17.66,4530968000,822000000,127590
2010-07-28,-1.4,-3.37,41.5,41.7,40.1,40.2,86770,50000,17.07,3504210000,2052000000,136770
2010-07-29,-0.2,-0.5,40.2,41.3,40.0,40.0,112230,0,16.98,4521470000,0,112230
2010-07-30,0.4,1.0,40.4,40.8,40.0,40.4,135010,0,17.15,5444566000,0,135010
2010-08-02,-0.4,-0.99,40.8,40.8,39.8,40.0,74140,0,16.98,2965840000,0,74140
2010-08-03,-0.2,-0.5,40.0,40.0,39.6,39.8,126820,20000,16.9,5051390000,760000000,146820
2010-08-04,0.0,0.0,39.8,39.9,39.0,39.8,174320,0,16.9,6905012000,0,174320
2010-08-05,0.0,0.0,39.6,39.8,39.2,39.8,150230,0,16.9,5936339000,0,150230
2010-08-06,-0.4,-1.01,39.5,39.6,39.4,39.4,49800,0,16.73,1964740000,0,49800
2010-08-09,-1.4,-3.55,39.5,39.5,37.6,38.0,56580,0,16.13,2153756000,0,56580
2010-08-10,-1.9,-5.0,36.6,36.7,36.1,36.1,120820,0,15.33,4385253000,0,120820
2010-08-11,1.7,4.71,36.0,37.8,36.0,37.8,97460,0,16.05,3573188000,0,97460
2010-08-12,-1.8,-4.76,36.6,36.6,36.0,36.0,31010,20000,15.28,1121975000,792000000,51010
2010-08-13,0.0,0.0,36.0,36.1,35.0,36.0,56320,0,15.28,1991700000,0,56320
2010-08-16,1.5,4.17,37.0,37.7,36.5,37.5,68530,0,15.92,2539960000,0,68530
2010-08-17,-1.5,-4.0,36.1,37.0,36.0,36.0,66960,0,15.28,2418547000,0,66960
2010-08-18,-1.0,-2.78,35.9,36.0,34.6,35.0,25610,22000,14.86,900755000,831600000,47610
